Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-10-06,CPIL,EQ,310.0,461.1,664.0,436.1,660.0,628.15,570.91,22596469,1290051926990000.0,,1825989,0.0808
2010-10-07,CPIL,EQ,628.15,650.0,714.4,592.65,627.25,624.7,637.08,12977955,826796708100000.0,,509041,0.0392
2010-10-08,CPIL,EQ,624.7,634.0,634.0,572.0,593.0,591.25,592.12,2804611,166066475165000.0,,153123,0.0546
2010-10-11,CPIL,EQ,591.25,550.0,605.95,550.0,569.0,577.65,583.82,2737236,159806029525000.0,,118062,0.0431
2010-10-12,CPIL,EQ,577.65,570.1,577.9,553.0,555.55,557.6,566.23,602929,34139777310000.004,,68439,0.1135
2010-10-13,CPIL,EQ,557.6,559.95,562.8,527.5,531.0,530.9,543.2,545616,29637928275000.0,,89206,0.1635
2010-10-14,CPIL,EQ,530.9,535.8,541.75,506.5,508.5,512.2,521.38,476942,24866933135000.0,,83660,0.1754
2010-10-15,CPIL,EQ,512.2,512.0,524.4,487.0,490.0,491.7,505.07,1206540,60939028170000.01,,112392,0.0932
2010-10-18,CPIL,EQ,491.7,492.0,496.75,472.1,487.15,487.2,483.29,297147,14360681819999.998,,63209,0.2127
2010-10-19,CPIL,EQ,487.2,483.0,535.7,483.0,501.7,503.25,517.5,1904184,98540997600000.0,,138497,0.0727
2010-10-20,CPIL,EQ,503.25,500.0,513.7,492.05,495.1,495.1,504.74,412802,20835775110000.0,,49199,0.1192
2010-10-21,CPIL,EQ,495.1,499.9,511.0,497.0,506.0,505.85,505.68,230040,11632754650000.0,,59508,0.25870000000000004
2010-10-22,CPIL,EQ,505.85,506.0,514.0,492.1,492.95,496.4,504.35,158976,8017984200000.0,,29728,0.187
2010-10-25,CPIL,EQ,496.4,499.8,511.95,497.0,502.7,502.15,506.04,207146,10482359595000.0,,35752,0.17260000000000003
2010-10-26,CPIL,EQ,502.15,503.95,506.75,493.5,496.5,497.35,498.32,78279,3900770750000.0,,21206,0.27090000000000003
2010-10-27,CPIL,EQ,497.35,497.35,498.9,481.1,483.15,483.95,489.01,69003,3374329779999.9995,,22433,0.3251
2010-10-28,CPIL,EQ,483.95,488.0,497.5,478.15,481.0,481.0,489.16,99799,4881756630000.0,,19955,0.2
2010-10-29,CPIL,EQ,481.0,484.0,484.0,465.0,471.0,470.45,472.96,64852,3067247250000.0,,22998,0.3546
2010-11-01,CPIL,EQ,470.45,475.0,482.0,456.35,457.1,460.85,468.71,94101,4410627640000.0,,41263,0.4385
2010-11-02,CPIL,EQ,460.85,460.2,505.9,451.15,480.75,480.0,483.12,477401,23064145350000.0,,88177,0.1847
2010-11-03,CPIL,EQ,480.0,485.75,494.5,474.0,477.0,476.05,484.58,117238,5681136825000.0,,22972,0.1959
2010-11-04,CPIL,EQ,476.05,478.4,482.5,473.0,481.2,478.8,477.04,101512,4842515980000.0,,85041,0.8377
2010-11-05,CPIL,EQ,478.8,483.0,488.0,481.2,484.5,485.8,485.08,30458,1477456035000.0,,21660,0.7111
2010-11-08,CPIL,EQ,485.8,480.25,484.0,475.15,481.0,480.5,480.24,40155,1928409205000.0,,17604,0.43840000000000007
2010-11-09,CPIL,EQ,480.5,481.0,485.0,471.1,472.2,473.8,477.45,24630,1175967695000.0,,10812,0.439
2010-11-10,CPIL,EQ,473.8,475.4,475.4,460.1,469.75,470.3,468.69,80079,3753186929999.9995,,35388,0.44189999999999996
2010-11-11,CPIL,EQ,470.3,470.0,472.8,460.0,461.0,461.55,466.43,21406,998446390000.0,,9476,0.44270000000000004
2010-11-12,CPIL,EQ,461.55,457.1,466.0,446.0,447.0,449.45,455.73,29307,1335622305000.0,,13062,0.4457
2010-11-15,CPIL,EQ,449.45,452.0,461.0,434.5,456.0,455.85,452.3,43236,1955575230000.0,,16995,0.3931
2010-11-16,CPIL,EQ,455.85,452.75,460.0,449.75,450.0,450.35,453.4,27065,1227131210000.0,,17637,0.6517000000000001
2010-11-18,CPIL,EQ,450.35,455.0,455.0,415.1,422.9,421.8,427.4,42368,1810813475000.0,,19761,0.46640000000000004
2010-11-19,CPIL,EQ,421.8,425.9,432.5,408.55,409.0,411.15,422.51,84944,3588969250000.0,,33478,0.39409999999999995
2010-11-22,CPIL,EQ,411.15,411.5,418.4,395.1,409.1,410.0,408.84,109758,4487320070000.0,,76121,0.6935
2010-11-23,CPIL,EQ,410.0,407.3,428.0,398.6,426.0,422.55,412.75,79095,3264631000000.0,,38031,0.4808
2010-11-24,CPIL,EQ,422.55,423.0,436.85,418.0,426.3,425.1,427.55,38338,1639150290000.0,,12925,0.3371
2010-11-25,CPIL,EQ,425.1,420.0,425.0,398.4,399.0,401.2,409.48,41205,1687259570000.0,,27675,0.6716
2010-11-26,CPIL,EQ,401.2,400.0,405.0,375.0,386.7,382.55,388.84,65622,2551646685000.0,,50819,0.7744
2010-11-29,CPIL,EQ,382.55,383.0,395.0,381.0,387.0,387.2,386.85,12360,478147045000.0,,3736,0.3023
2010-11-30,CPIL,EQ,387.2,381.0,446.4,381.0,415.0,418.2,425.5,225156,9580288040000.0,,53122,0.2359
2010-12-01,CPIL,EQ,418.2,418.2,437.4,416.5,419.95,420.9,427.04,71321,3045663450000.0,,18257,0.256
2010-12-02,CPIL,EQ,420.9,424.8,439.9,420.1,423.0,422.8,430.31,43101,1854672225000.0,,9647,0.2238
2010-12-03,CPIL,EQ,422.8,422.0,426.6,405.25,408.75,409.3,418.93,20047,839829425000.0,,4317,0.21530000000000002
2010-12-06,CPIL,EQ,409.3,412.0,419.0,395.1,396.45,398.65,406.13,18552,753450915000.0,,8996,0.48490000000000005
