Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-11-09,CELEBRITY,EQ,14.9,17.45,17.9,17.45,17.9,17.9,17.88,71372,127633380000.0,,71372,1.0
2010-11-10,CELEBRITY,EQ,17.9,21.45,21.5,20.9,21.5,21.5,21.45,28537,61204305000.00001,,28526,0.9995999999999999
2010-11-11,CELEBRITY,EQ,21.5,23.65,23.65,23.65,23.65,23.65,23.65,7312,17292880000.0,,7312,1.0
2010-11-12,CELEBRITY,EQ,23.65,26.0,26.05,24.0,26.05,26.05,25.94,175374,454963740000.00006,,113974,0.6498999999999999
2010-11-15,CELEBRITY,EQ,26.05,27.85,28.7,26.75,28.7,28.7,28.44,117337,333701515000.0,,58453,0.49820000000000003
2010-11-16,CELEBRITY,EQ,28.7,29.95,29.95,27.3,27.3,27.3,28.49,32227,91804290000.0,,27376,0.8495
2010-11-18,CELEBRITY,EQ,27.3,25.95,28.7,25.95,26.05,26.1,27.18,170686,463977280000.0,,77784,0.4557
2010-11-19,CELEBRITY,EQ,26.1,25.25,25.65,24.8,24.8,24.8,25.05,29821,74713550000.0,,17358,0.5821000000000001
2010-11-22,CELEBRITY,EQ,24.8,24.9,24.9,23.6,23.6,23.6,23.87,7427,17730990000.0,,4011,0.5401
2010-11-23,CELEBRITY,EQ,23.6,23.2,23.5,22.45,22.45,22.45,22.57,12594,28424509999.999996,,9796,0.7778
2010-11-24,CELEBRITY,EQ,22.45,21.35,22.95,21.35,21.45,21.5,21.93,15898,34866590000.0,,11051,0.6951
2010-11-25,CELEBRITY,EQ,21.5,20.5,22.4,20.5,20.7,20.7,21.33,3063,6533380000.0,,2405,0.7852
2010-11-26,CELEBRITY,EQ,20.7,20.05,21.75,19.7,21.75,21.75,20.82,7620,15864804999.999998,,4977,0.6531
2010-11-29,CELEBRITY,EQ,21.75,21.0,22.25,20.7,21.5,20.95,21.2,5567,11804700000.0,,4331,0.778
2010-11-30,CELEBRITY,EQ,20.95,21.95,21.95,20.05,21.9,21.05,21.09,3045,6422335000.0,,2228,0.7317
2010-12-01,CELEBRITY,EQ,21.05,20.5,22.1,20.5,22.1,21.8,21.71,12935,28081415000.000004,,6200,0.4793
2010-12-02,CELEBRITY,EQ,21.8,22.85,22.9,21.85,22.6,22.55,22.56,5974,13476970000.000002,,4288,0.7178
2010-12-03,CELEBRITY,EQ,22.55,23.0,23.0,21.55,22.55,22.0,22.38,4474,10013680000.0,,2927,0.6542
2010-12-06,CELEBRITY,EQ,22.0,22.85,22.85,21.05,21.05,21.5,21.71,1661,3605800000.0,,1187,0.7145999999999999
2010-12-07,CELEBRITY,EQ,21.5,20.85,21.95,20.55,20.55,20.65,20.78,2517,5229185000.0,,1872,0.7437
