Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-10-04,CENTRALBK,EQ,200.7,202.75,206.8,198.6,199.8,199.8,202.5,1307829,26483378860000.0,,676509,0.5173
2010-10-05,CENTRALBK,EQ,199.8,200.0,202.0,197.15,197.65,197.65,199.33,713280,14218166269999.998,,400407,0.5614
2010-10-06,CENTRALBK,EQ,197.65,199.1,202.3,198.1,199.6,200.35,200.37,937078,18775871055000.0,,508669,0.5428000000000001
2010-10-07,CENTRALBK,EQ,200.35,201.45,201.95,196.25,197.0,197.2,199.17,519432,10345590845000.0,,292037,0.5622
2010-10-08,CENTRALBK,EQ,197.2,198.1,199.0,192.9,194.3,194.15,195.71,467055,9140846500000.0,,220153,0.47140000000000004
2010-10-11,CENTRALBK,EQ,194.15,195.3,197.4,193.05,193.95,193.7,194.68,446832,8698984520000.0,,212143,0.4748
2010-10-12,CENTRALBK,EQ,193.7,193.7,194.8,191.3,192.25,192.2,193.05,388453,7498950790000.001,,187590,0.4829
2010-10-13,CENTRALBK,EQ,192.2,193.1,197.3,192.5,195.65,195.3,194.92,633327,12344493975000.0,,300547,0.4746
2010-10-14,CENTRALBK,EQ,195.3,197.0,198.45,194.5,197.0,197.3,196.54,1255954,24684539320000.0,,748269,0.5958
2010-10-15,CENTRALBK,EQ,197.3,198.0,199.0,195.8,196.8,197.0,196.96,535452,10546133680000.0,,363217,0.6783
2010-10-18,CENTRALBK,EQ,197.0,197.0,197.0,191.5,196.6,196.15,194.69,225696,4394073385000.0,,88332,0.3914
2010-10-19,CENTRALBK,EQ,196.15,197.9,203.6,196.0,198.3,200.4,201.06,1222484,24579811630000.0,,441994,0.3616
2010-10-20,CENTRALBK,EQ,200.4,201.0,212.0,200.0,209.95,209.95,207.26,3034697,62897474890000.0,,1063599,0.3505
2010-10-21,CENTRALBK,EQ,209.95,211.7,225.65,211.5,224.5,223.85,219.53,4584268,100639226865000.0,,1540210,0.336
2010-10-22,CENTRALBK,EQ,223.85,224.95,229.4,218.8,228.75,227.75,224.62,2327147,52273510925000.0,,586625,0.2521
2010-10-25,CENTRALBK,EQ,227.75,229.8,242.5,227.15,239.7,238.7,237.45,3708800,88063763030000.0,,1078778,0.2909
2010-10-26,CENTRALBK,EQ,238.7,241.7,249.2,236.0,239.0,238.75,241.78,7327864,177173781545000.0,,1714393,0.23399999999999999
2010-10-27,CENTRALBK,EQ,238.75,240.0,242.8,237.0,238.25,239.15,240.51,1994586,47971650655000.0,,848858,0.42560000000000003
2010-10-28,CENTRALBK,EQ,239.15,240.0,241.0,230.5,234.3,234.05,234.28,1298024,30410548339999.996,,497607,0.3834
2010-10-29,CENTRALBK,EQ,234.05,237.6,237.6,223.05,225.8,226.25,228.81,1390965,31826351645000.0,,572810,0.4118
2010-11-01,CENTRALBK,EQ,226.25,229.0,238.9,226.4,235.75,236.35,233.58,1306162,30509852739999.996,,650313,0.4979
2010-11-02,CENTRALBK,EQ,236.35,237.0,238.5,231.0,232.0,233.25,234.99,1285899,30217450155000.0,,472808,0.3677
2010-11-03,CENTRALBK,EQ,233.25,235.15,236.95,232.05,233.0,233.1,234.76,757028,17771986415000.0,,394220,0.5207
2010-11-04,CENTRALBK,EQ,233.1,235.0,243.0,233.5,239.5,239.8,240.14,1872076,44955641025000.0,,774467,0.41369999999999996
2010-11-05,CENTRALBK,EQ,239.8,242.0,245.0,241.2,243.0,243.05,243.27,441543,10741375700000.0,,225009,0.5096
2010-11-08,CENTRALBK,EQ,243.05,249.4,249.4,237.3,242.2,243.25,241.42,815648,19691122925000.0,,294249,0.3608
2010-11-09,CENTRALBK,EQ,243.25,243.0,243.0,238.0,242.1,241.45,240.56,702148,16891197680000.002,,285052,0.406
2010-11-10,CENTRALBK,EQ,241.45,241.95,246.9,240.0,241.4,240.9,242.85,811852,19716172805000.0,,309432,0.3811
2010-11-11,CENTRALBK,EQ,240.9,241.2,244.5,234.5,236.0,236.1,239.89,822127,19722028210000.0,,376717,0.4582
2010-11-12,CENTRALBK,EQ,236.1,236.1,236.35,222.55,228.85,227.75,228.95,1389081,31802572555000.0,,615399,0.443
2010-11-15,CENTRALBK,EQ,227.75,229.9,235.0,222.0,234.8,233.55,228.59,787224,17995238485000.0,,224643,0.2854
2010-11-16,CENTRALBK,EQ,233.55,233.0,238.35,220.25,220.25,223.55,227.28,1398184,31777237960000.004,,648068,0.4635
2010-11-18,CENTRALBK,EQ,223.55,224.5,226.7,211.15,224.2,224.3,220.45,1061755,23406829405000.0,,315009,0.2967
2010-11-19,CENTRALBK,EQ,224.3,225.0,225.0,214.05,216.5,216.7,220.59,761930,16807328440000.0,,265273,0.3482
2010-11-22,CENTRALBK,EQ,216.7,218.6,223.25,212.2,222.35,221.9,219.09,943601,20673062155000.0,,317787,0.3368
2010-11-23,CENTRALBK,EQ,221.9,219.1,219.8,210.1,216.45,215.7,215.57,1146777,24721057030000.0,,549783,0.4794
2010-11-24,CENTRALBK,EQ,215.7,215.95,221.8,191.4,203.0,198.25,202.53,4407261,89261272175000.0,,1192864,0.2707
2010-11-25,CENTRALBK,EQ,198.25,197.0,213.7,196.2,212.0,209.25,205.7,8041921,165426295610000.0,,1042428,0.12960000000000002
2010-11-26,CENTRALBK,EQ,209.25,211.35,211.35,184.0,188.0,188.4,194.26,4334006,84193330910000.0,,812822,0.1875
2010-11-29,CENTRALBK,EQ,188.4,189.8,193.0,183.0,183.85,185.5,186.83,2285638,42701599080000.0,,827489,0.36200000000000004
2010-11-30,CENTRALBK,EQ,185.5,183.1,192.7,180.0,188.1,188.75,187.41,4026022,75451143125000.0,,1601925,0.3979
2010-12-01,CENTRALBK,EQ,188.75,190.0,203.6,189.0,201.7,199.55,198.44,2754995,54670690840000.0,,512668,0.1861
2010-12-02,CENTRALBK,EQ,199.55,202.0,205.65,197.25,198.3,198.8,200.95,1493126,30004157835000.004,,468712,0.3139
2010-12-03,CENTRALBK,EQ,198.8,199.0,200.0,192.7,195.0,195.0,195.55,1054377,20618833350000.0,,388758,0.36869999999999997
2010-12-06,CENTRALBK,EQ,195.0,196.85,198.6,190.1,192.7,192.2,194.15,1009795,19604710070000.0,,460128,0.4557
2010-12-07,CENTRALBK,EQ,192.2,192.0,192.95,184.65,187.05,186.6,186.74,804774,15028222715000.0,,197175,0.245
