Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2018-04-04,CENTRUM,EQ,64.05,65.0,66.9,61.75,62.5,62.4,64.35,659062,4240765790000.0,4318,320715,0.4866
2018-04-05,CENTRUM,EQ,62.4,64.0,64.75,61.2,62.5,62.1,62.65,266945,1672509475000.0,1488,173005,0.6481
2018-04-06,CENTRUM,EQ,62.1,62.7,64.4,62.2,62.75,62.95,63.32,258764,1638452730000.0,1562,125065,0.4833
2018-04-09,CENTRUM,EQ,62.95,63.2,63.8,62.05,62.05,62.25,62.67,151588,950070035000.0,997,92376,0.6093999999999999
2018-04-10,CENTRUM,EQ,62.25,62.7,63.45,61.0,61.8,61.65,62.09,217406,1349952640000.0,973,125918,0.5792
2018-04-11,CENTRUM,EQ,61.65,62.25,62.95,61.0,61.5,61.5,61.8,119636,739300405000.0,869,70098,0.5859000000000001
2018-04-12,CENTRUM,EQ,61.5,61.95,63.0,60.6,62.0,62.0,62.15,160427,997020094999.9999,904,70176,0.4374
2018-04-13,CENTRUM,EQ,62.0,62.75,63.2,61.1,61.95,61.75,62.02,255432,1584258160000.0,1000,138555,0.5424
2018-04-16,CENTRUM,EQ,61.75,61.8,62.2,59.85,60.4,60.2,61.05,241424,1473811300000.0,717,184363,0.7636000000000001
2018-04-17,CENTRUM,EQ,60.2,61.0,62.6,60.55,61.8,61.7,61.65,335769,2070182695000.0,1030,217585,0.648
2018-04-18,CENTRUM,EQ,61.7,61.5,63.0,61.5,62.0,61.85,62.15,158843,987236765000.0,529,102263,0.6437999999999999
2018-04-19,CENTRUM,EQ,61.85,62.15,62.7,60.8,61.35,61.1,61.39,138138,848007350000.0,446,108794,0.7876000000000001
2018-04-20,CENTRUM,EQ,61.1,61.65,61.7,60.65,61.0,61.3,61.22,132802,812974105000.0,1037,80442,0.6057
2018-04-23,CENTRUM,EQ,61.3,60.3,61.85,60.05,60.4,60.35,60.91,184460,1123545615000.0,2078,135320,0.7336
2018-04-24,CENTRUM,EQ,60.35,60.85,61.0,58.2,58.9,58.7,59.31,354548,2102817180000.0,2581,239817,0.6764
2018-04-25,CENTRUM,EQ,58.7,58.95,60.0,58.2,58.8,58.5,58.58,145196,850583505000.0001,966,96800,0.6667000000000001
2018-04-26,CENTRUM,EQ,58.5,58.9,59.85,58.0,59.0,58.5,58.8,141584,832447130000.0,1179,84889,0.5996
2018-04-27,CENTRUM,EQ,58.5,57.4,59.5,57.4,59.0,58.85,58.89,138204,813916590000.0,635,109776,0.7943000000000001
2018-04-30,CENTRUM,EQ,58.85,57.2,63.15,57.2,59.75,59.8,61.44,470293,2889692145000.0,1978,291182,0.6192000000000001
2018-05-02,CENTRUM,EQ,59.8,60.4,60.4,57.5,58.7,58.4,58.69,216751,1272126200000.0,1058,155874,0.7191
2018-05-03,CENTRUM,EQ,58.4,58.1,58.7,57.0,57.45,57.45,57.62,410497,2365293820000.0,1203,327418,0.7976000000000001
2018-05-04,CENTRUM,EQ,57.45,57.2,57.7,56.25,57.25,57.15,57.02,158730,905113905000.0001,996,108568,0.684
2018-05-07,CENTRUM,EQ,57.15,55.8,59.6,55.75,56.35,56.7,57.08,177259,1011755750000.0,1100,99130,0.5592
2018-05-08,CENTRUM,EQ,56.7,57.0,57.1,54.1,55.4,54.95,54.99,416645,2291060635000.0,3941,285038,0.6840999999999999
2018-05-09,CENTRUM,EQ,54.95,55.4,57.7,55.0,57.1,57.35,56.51,228569,1291672775000.0,1570,143079,0.626
2018-05-10,CENTRUM,EQ,57.35,57.1,57.1,53.95,54.5,54.45,54.87,399849,2194014980000.0,1914,236579,0.5917
