Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-12-03,CENTUM,EQ,136.85,135.25,136.0,132.0,135.0,134.95,134.11,4213,56500150000.0,,2970,0.705
2010-12-06,CENTUM,EQ,134.95,134.0,135.0,129.05,129.15,129.15,131.02,15432,202197640000.0,,14275,0.925
2010-12-07,CENTUM,EQ,129.15,123.2,128.5,123.2,126.55,126.55,127.01,3454,43868580000.0,,3403,0.9852
2010-12-08,CENTUM,EQ,126.55,122.0,126.7,122.0,123.0,123.2,123.44,2932,36192650000.0,,2566,0.8752
2010-12-09,CENTUM,EQ,123.2,119.0,123.2,117.25,117.35,117.25,118.97,34348,408644375000.0,,29651,0.8633
2010-12-10,CENTUM,EQ,117.25,111.4,123.15,111.4,121.7,123.0,121.71,3064,37291565000.0,,1746,0.5698
2010-12-13,CENTUM,EQ,123.0,122.0,126.85,120.1,125.0,125.0,124.0,1358,16838915000.0,,648,0.4772
2010-12-14,CENTUM,EQ,125.0,126.0,129.0,119.0,126.75,126.8,126.25,971,12258975000.0,,919,0.9464
2010-12-15,CENTUM,EQ,126.8,129.0,129.9,124.5,125.0,125.0,125.14,389,4867855000.0,,325,0.8355
2010-12-16,CENTUM,EQ,125.0,128.85,128.85,122.65,123.0,123.0,123.46,210,2592620000.0,,208,0.9905
2010-12-20,CENTUM,EQ,123.0,120.0,128.8,120.0,126.7,123.3,121.83,516,6286525000.0,,495,0.9593
2010-12-21,CENTUM,EQ,123.3,126.0,127.9,124.0,125.3,125.3,125.1,3700,46285210000.0,,3300,0.8919
2010-12-22,CENTUM,EQ,125.3,130.0,130.0,125.35,128.25,128.25,127.48,353,4500030000.0,,337,0.9547
2010-12-23,CENTUM,EQ,128.25,125.1,128.0,125.0,128.0,128.0,125.86,349,4392350000.0,,339,0.9712999999999999
2010-12-24,CENTUM,EQ,128.0,125.5,128.0,125.0,125.0,125.0,125.48,148,1857100000.0,,141,0.9527
2010-12-27,CENTUM,EQ,125.0,119.05,131.0,119.05,125.0,124.85,122.95,5981,73538900000.0,,3019,0.5048
2010-12-29,CENTUM,EQ,124.85,125.2,125.2,125.2,125.2,125.2,125.2,8,100160000.0,,8,1.0
2010-12-30,CENTUM,EQ,125.2,127.0,127.0,123.15,125.0,125.0,125.02,21654,270712575000.0,,21629,0.9988
2010-12-31,CENTUM,EQ,125.0,125.2,125.2,121.05,121.05,121.45,123.64,7232,89413505000.0,,6328,0.875
2011-01-03,CENTUM,EQ,121.45,119.45,125.95,119.45,122.65,122.7,123.33,1686,20793150000.0,,1292,0.7663
2011-01-04,CENTUM,EQ,122.7,126.45,128.85,126.45,128.85,128.85,127.47,3884,49507815000.0,,3884,1.0
2011-01-05,CENTUM,EQ,128.85,135.3,135.3,130.2,135.3,135.3,135.02,7073,95502155000.0,,3371,0.47659999999999997
2011-01-06,CENTUM,EQ,135.3,142.1,142.1,130.1,131.0,131.0,136.14,144965,1973574330000.0,,110516,0.7624
2011-01-07,CENTUM,EQ,131.0,135.0,139.0,122.2,122.6,123.45,124.6,6640,82734785000.0,,6001,0.9037999999999999
2011-01-10,CENTUM,EQ,123.45,120.1,122.35,119.2,122.35,122.0,120.1,3999,48027760000.0,,3250,0.8127
2011-01-11,CENTUM,EQ,122.0,122.0,123.3,112.0,123.3,118.95,119.35,1536,18332665000.0,,923,0.6009000000000001
2011-01-12,CENTUM,EQ,118.95,115.0,125.0,114.0,115.25,117.3,116.69,881,10280765000.0,,728,0.8262999999999999
2011-01-13,CENTUM,EQ,117.3,112.3,120.7,112.3,116.2,117.15,117.15,137,1605015000.0,,135,0.9854
2011-01-14,CENTUM,EQ,117.15,115.0,118.9,115.0,115.25,116.1,115.47,4667,53889365000.0,,4516,0.9676000000000001
2011-01-17,CENTUM,EQ,116.1,113.0,113.0,111.5,111.5,111.5,112.44,40,449750000.0,,40,1.0
2011-01-18,CENTUM,EQ,111.5,113.55,118.0,113.55,118.0,118.0,117.31,84,985370000.0000001,,84,1.0
2011-01-19,CENTUM,EQ,118.0,108.0,118.9,108.0,115.05,115.1,109.18,1792,19564490000.0,,1715,0.9570000000000001
2011-01-20,CENTUM,EQ,115.1,117.6,117.6,115.05,115.05,115.05,116.81,185,2160925000.0,,160,0.8649
2011-01-21,CENTUM,EQ,115.05,113.35,116.0,113.35,116.0,116.0,114.9,135,1551165000.0,,135,1.0
2011-01-24,CENTUM,EQ,116.0,114.0,120.8,114.0,115.25,117.7,117.62,418,4916450000.0,,368,0.8804000000000001
2011-01-25,CENTUM,EQ,117.7,125.0,125.0,114.0,114.0,114.0,116.12,929,10787320000.0,,846,0.9107
2011-01-27,CENTUM,EQ,114.0,112.85,120.7,111.5,111.55,111.55,113.81,919,10458725000.0,,572,0.6224000000000001
2011-01-28,CENTUM,EQ,111.55,110.0,111.0,102.25,102.25,102.25,108.89,940,10235750000.0,,710,0.7553000000000001
2011-01-31,CENTUM,EQ,102.25,100.0,112.35,98.0,112.35,112.35,100.37,1407,14121475000.0,,907,0.6446
2011-02-01,CENTUM,EQ,112.35,106.05,113.0,105.0,105.0,105.1,105.65,982,10374455000.0,,800,0.8147
2011-02-02,CENTUM,EQ,105.1,104.0,109.0,104.0,109.0,109.0,106.12,723,7672400000.0,,383,0.5297
2011-02-03,CENTUM,EQ,109.0,104.4,111.3,104.4,111.3,110.2,108.84,434,4723790000.0,,282,0.6498
2011-02-04,CENTUM,EQ,110.2,111.35,111.35,107.0,107.0,108.05,109.1,1610,17565300000.0,,1010,0.6273
