Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-10-04,CERA,EQ,171.55,174.5,176.0,170.0,174.1,174.1,174.76,16072,280869355000.0,,12133,0.7549
2010-10-05,CERA,EQ,174.1,170.6,177.0,170.6,172.0,173.25,175.11,12849,224992450000.0,,11976,0.9320999999999999
2010-10-06,CERA,EQ,173.25,177.0,177.0,170.15,172.0,172.4,173.62,10055,174576145000.0,,6773,0.6736
2010-10-07,CERA,EQ,172.4,172.2,177.05,172.2,175.1,174.3,174.48,19579,341622870000.0,,18538,0.9468000000000001
2010-10-08,CERA,EQ,174.3,175.0,175.0,170.2,170.55,171.1,171.37,7619,130564280000.0,,6373,0.8365
2010-10-11,CERA,EQ,171.1,169.25,175.9,169.25,175.4,174.5,173.16,5837,101072360000.0,,4687,0.8029999999999999
2010-10-12,CERA,EQ,174.5,173.3,191.0,173.0,185.0,185.3,185.0,108205,2001806814999.9998,,42732,0.39490000000000003
2010-10-13,CERA,EQ,185.3,191.0,194.4,184.45,186.1,185.75,186.9,38565,720765965000.0,,21021,0.5451
2010-10-14,CERA,EQ,185.75,187.0,187.0,177.0,178.9,178.2,180.64,16438,296943950000.0,,10836,0.6592
2010-10-15,CERA,EQ,178.2,180.0,191.5,177.6,181.6,182.25,186.01,35336,657277210000.0,,14246,0.4032
2010-10-18,CERA,EQ,182.25,181.1,184.45,176.0,180.05,180.95,180.89,16242,293800300000.0,,7960,0.4901
2010-10-19,CERA,EQ,180.95,183.0,189.95,179.95,181.9,182.45,185.38,33513,621267245000.0,,15455,0.4612
2010-10-20,CERA,EQ,182.45,182.3,182.3,175.2,178.25,178.25,179.96,8002,144006050000.0,,5169,0.6459999999999999
2010-10-21,CERA,EQ,178.25,181.0,184.5,176.0,183.6,182.05,181.9,10477,190575000000.0,,6104,0.5826
2010-10-22,CERA,EQ,182.05,185.8,188.0,182.0,186.0,186.6,186.0,26520,493271005000.0,,17794,0.6709999999999999
2010-10-25,CERA,EQ,186.6,186.6,188.9,184.4,185.95,185.6,186.07,9709,180656550000.0,,9243,0.9520000000000001
2010-10-26,CERA,EQ,185.6,184.0,188.95,184.0,186.0,185.25,186.24,8120,151226595000.0,,4762,0.5865
2010-10-27,CERA,EQ,185.25,184.1,189.0,170.4,183.5,182.85,183.91,23530,432743830000.0,,11904,0.5059
2010-10-28,CERA,EQ,182.85,183.0,191.0,180.5,181.8,182.65,184.72,13395,247427554999.99997,,6215,0.46399999999999997
2010-10-29,CERA,EQ,182.65,184.9,185.0,175.0,176.05,177.4,178.92,7638,136660864999.99998,,4107,0.5377000000000001
2010-11-01,CERA,EQ,177.4,175.0,183.0,175.0,179.0,179.05,180.69,12480,225500895000.00003,,10008,0.8019
2010-11-02,CERA,EQ,179.05,184.5,186.8,180.0,184.0,183.3,183.52,17435,319965010000.0,,11745,0.6736
2010-11-03,CERA,EQ,183.3,185.0,186.0,183.1,183.2,183.2,184.03,4172,76779015000.0,,3684,0.883
2010-11-04,CERA,EQ,183.2,183.5,185.65,183.05,184.0,184.35,184.21,10418,191907065000.0,,8231,0.7901
2010-11-05,CERA,EQ,184.35,185.0,185.0,182.0,184.0,184.35,184.43,2149,39634700000.0,,2137,0.9944
2010-11-08,CERA,EQ,184.35,184.0,186.8,180.0,184.0,184.55,184.72,3826,70675650000.0,,2952,0.7716
2010-11-09,CERA,EQ,184.55,185.7,185.7,182.5,182.5,182.55,183.09,2871,52564210000.0,,2578,0.8979
2010-11-10,CERA,EQ,182.55,187.0,187.0,181.3,183.0,182.3,182.71,6096,111377960000.00002,,5680,0.9318000000000001
2010-11-11,CERA,EQ,182.3,184.3,184.6,180.5,182.0,182.0,182.7,16909,308935410000.0,,15524,0.9181
2010-11-12,CERA,EQ,182.0,183.1,183.4,170.1,172.5,173.15,173.09,9661,167224355000.0,,7201,0.7454000000000001
2010-11-15,CERA,EQ,173.15,177.85,177.85,172.0,176.9,175.25,173.37,2721,47173940000.0,,1723,0.6332
2010-11-16,CERA,EQ,175.25,174.1,176.95,170.1,170.1,170.9,173.07,17714,306567370000.0,,15138,0.8545999999999999
2010-11-18,CERA,EQ,170.9,171.35,172.6,165.1,168.8,167.7,167.28,13358,223452385000.0,,11924,0.8926000000000001
2010-11-19,CERA,EQ,167.7,169.0,169.0,161.0,161.55,164.45,164.32,5865,96374420000.0,,3603,0.6143
2010-11-22,CERA,EQ,164.45,164.25,171.5,163.1,165.85,166.65,166.58,3293,54854600000.0,,2956,0.8976999999999999
2010-11-23,CERA,EQ,166.65,166.75,166.75,155.95,156.0,157.35,159.62,23674,377874520000.0,,16501,0.6970000000000001
2010-11-24,CERA,EQ,157.35,156.25,160.9,150.0,150.15,151.65,153.7,14695,225869175000.0,,11269,0.7669
2010-11-25,CERA,EQ,151.65,159.8,160.0,153.0,154.0,154.45,157.93,3946,62317630000.00001,,2310,0.5854
