Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2019-02-08,CESCVENT,EQ,475.35,470.0,547.8,440.0,492.5,498.75,496.71,472395,23464292385000.0,10947,229867,0.4866
2019-02-11,CESCVENT,EQ,498.75,485.0,516.0,412.0,438.1,441.15,458.81,418890,19219072845000.0,12524,197889,0.47240000000000004
2019-02-12,CESCVENT,EQ,441.15,436.0,448.9,411.1,418.0,421.15,421.31,207442,8739761070000.0,7275,147317,0.7101999999999999
2019-02-13,CESCVENT,EQ,421.15,425.0,425.0,405.0,411.0,411.45,416.33,74995,3122233360000.0,3154,55189,0.7359
2019-02-14,CESCVENT,EQ,411.45,415.0,415.0,388.0,408.5,403.15,401.32,45221,1814825645000.0,1887,31312,0.6924
2019-02-15,CESCVENT,EQ,403.15,403.0,409.85,397.35,403.5,402.6,401.34,36070,1447643625000.0,926,27890,0.7732
2019-02-18,CESCVENT,EQ,402.6,405.9,405.9,382.1,388.0,386.9,387.76,31873,1235908910000.0,1066,21649,0.6792
2019-02-19,CESCVENT,EQ,386.9,386.0,433.9,386.0,406.0,407.15,413.94,55225,2285960910000.0,3011,25532,0.4623
2019-02-20,CESCVENT,EQ,407.15,415.0,421.05,403.0,412.1,411.95,416.19,27037,1125241680000.0,1624,20637,0.7633
2019-02-21,CESCVENT,EQ,411.95,423.9,444.95,412.1,431.5,428.65,429.01,57345,2460165220000.0,4288,34501,0.6016
2019-02-22,CESCVENT,EQ,428.65,431.5,453.7,420.55,442.0,435.0,445.69,91953,4098297140000.0,3679,61182,0.6654000000000001
2019-02-25,CESCVENT,EQ,435.0,430.5,463.0,429.0,461.8,455.7,439.65,276781,12168745190000.0,4879,243583,0.8801000000000001
2019-02-26,CESCVENT,EQ,455.7,452.4,464.4,435.0,458.2,459.9,453.02,254458,11527418135000.0,1987,237343,0.9327
2019-02-27,CESCVENT,EQ,459.9,478.0,478.8,436.0,470.0,470.8,461.02,83592,3853759170000.0005,7341,55447,0.6633
2019-02-28,CESCVENT,EQ,470.8,468.05,504.8,468.05,495.55,498.35,498.75,846964,42241960030000.0,10039,707453,0.8353
2019-03-01,CESCVENT,EQ,498.35,500.0,527.95,495.0,523.0,523.2,507.15,252605,12810846770000.0,4277,194735,0.7709
2019-03-05,CESCVENT,EQ,523.2,520.8,526.5,486.4,490.0,496.15,515.59,561043,28927042605000.0,9532,489022,0.8715999999999999
2019-03-06,CESCVENT,EQ,496.15,492.95,517.2,492.7,497.7,500.7,506.94,169334,8584217880000.0,4185,90615,0.5351
2019-03-07,CESCVENT,EQ,500.7,502.0,515.0,493.4,510.0,505.8,509.0,77562,3947898990000.0,1994,55416,0.7145
2019-03-08,CESCVENT,EQ,505.8,502.05,512.0,496.45,508.0,503.4,507.54,101068,5129652045000.0,2289,86909,0.8599
2019-03-11,CESCVENT,EQ,503.4,498.0,521.3,498.0,519.3,514.95,513.57,179514,9219380110000.0,1910,161891,0.9018
2019-03-12,CESCVENT,EQ,514.95,511.5,534.8,511.5,530.5,530.4,523.95,163933,8589216230000.0,2028,136055,0.8299
2019-03-13,CESCVENT,EQ,530.4,525.35,594.0,519.8,570.0,583.85,563.7,228195,12863373395000.0,7731,91335,0.40020000000000006
2019-03-14,CESCVENT,EQ,583.85,578.0,648.9,571.0,621.0,622.5,617.13,459949,28385042155000.0,20074,184896,0.402
2019-03-15,CESCVENT,EQ,622.5,621.0,630.0,595.0,609.0,614.1,610.31,101256,6179789715000.0,4643,56544,0.5584
2019-03-18,CESCVENT,EQ,614.1,625.0,625.0,590.0,622.0,622.75,609.31,73821,4498010865000.0,3865,49471,0.6701
2019-03-19,CESCVENT,EQ,622.75,625.0,628.0,600.35,600.35,603.05,618.48,52154,3225642650000.0,1733,39453,0.7565000000000001
2019-03-20,CESCVENT,EQ,603.05,603.05,618.0,595.0,597.8,598.65,606.41,208075,12617845435000.0,1476,188505,0.9059
2019-03-22,CESCVENT,EQ,598.65,598.0,600.0,576.2,582.0,580.45,587.58,43393,2549670060000.0,1483,34980,0.8061
2019-03-25,CESCVENT,EQ,580.45,570.3,590.95,557.1,583.0,582.05,572.99,64296,3684095920000.0005,2334,34138,0.531
2019-03-26,CESCVENT,EQ,582.05,589.0,597.7,579.0,586.9,584.9,590.35,25619,1512416165000.0,2089,14403,0.5622
