Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2019-11-20,CHEMBOND,EQ,207.05,209.5,213.95,202.45,213.95,205.25,206.91,1716,35504925000.0,81,1244,0.7249
2019-11-21,CHEMBOND,EQ,205.25,218.0,218.0,200.95,209.6,204.8,206.62,963,19897985000.0,48,658,0.6833
2019-11-22,CHEMBOND,EQ,204.8,209.9,218.0,205.0,205.0,205.95,207.37,862,17875005000.0,87,393,0.4559
2019-11-25,CHEMBOND,EQ,205.95,208.0,227.85,208.0,225.0,224.0,219.82,2083,45788880000.0,136,1151,0.5526
2019-11-26,CHEMBOND,EQ,224.0,210.4,232.0,210.4,226.0,226.2,226.24,3160,71490830000.0,570,2657,0.8408
2019-11-27,CHEMBOND,EQ,226.2,238.5,238.5,220.95,226.0,226.85,228.69,779,17815260000.0,328,545,0.6996
2019-11-28,CHEMBOND,EQ,226.85,225.0,233.0,222.0,228.0,226.85,225.79,1416,31972559999.999996,266,665,0.4696
2019-11-29,CHEMBOND,EQ,226.85,240.4,240.4,221.15,229.6,229.15,224.17,3381,75791085000.0,567,2861,0.8462000000000001
2019-12-02,CHEMBOND,EQ,229.15,224.0,240.6,219.1,227.95,221.4,223.64,498,11137460000.0,256,140,0.2811
2019-12-03,CHEMBOND,EQ,221.4,235.0,235.0,219.0,224.0,225.5,226.05,1497,33839940000.000004,239,257,0.17170000000000002
2019-12-04,CHEMBOND,EQ,225.5,229.4,233.0,215.05,233.0,229.55,227.19,1341,30466770000.0,379,512,0.38180000000000003
2019-12-05,CHEMBOND,EQ,229.55,233.85,233.85,220.0,229.0,229.0,226.76,1088,24671065000.0,195,541,0.4972
2019-12-06,CHEMBOND,EQ,229.0,221.05,227.95,218.0,218.0,218.25,222.28,1026,22805850000.0,282,647,0.6306
