Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-10-04,CHOLAFIN,EQ,176.15,177.1,178.5,172.85,175.5,175.15,175.18,106509,1865790050000.0,,58019,0.5447
2010-10-05,CHOLAFIN,EQ,175.15,173.0,179.5,173.0,174.55,177.25,175.94,198028,3484055870000.0005,,88183,0.44530000000000003
2010-10-06,CHOLAFIN,EQ,177.25,175.0,188.0,173.0,187.3,187.05,184.79,841059,15541611190000.0,,258579,0.3074
2010-10-07,CHOLAFIN,EQ,187.05,187.0,190.75,176.2,184.2,183.0,185.07,500955,9271073470000.0,,214335,0.4279
2010-10-08,CHOLAFIN,EQ,183.0,184.4,185.5,180.2,183.0,181.85,182.68,112202,2049711570000.0,,50905,0.4537
2010-10-11,CHOLAFIN,EQ,181.85,183.0,188.9,182.25,184.25,185.25,186.21,142665,2656572330000.0,,89700,0.6287
2010-10-12,CHOLAFIN,EQ,185.25,187.5,188.5,183.05,183.8,184.85,185.6,110093,2043346814999.9998,,38336,0.3482
2010-10-13,CHOLAFIN,EQ,184.85,186.0,189.95,182.0,187.5,186.9,186.26,155506,2896377715000.0,,83250,0.5353
2010-10-14,CHOLAFIN,EQ,186.9,186.05,186.9,183.0,183.05,185.1,184.69,82652,1526500410000.0,,52425,0.6343
2010-10-15,CHOLAFIN,EQ,185.1,184.0,185.0,176.7,180.0,181.3,181.54,97912,1777531230000.0,,53987,0.5514
2010-10-18,CHOLAFIN,EQ,181.3,179.0,182.9,178.05,178.9,179.25,180.1,42544,766233985000.0,,23194,0.5452
2010-10-19,CHOLAFIN,EQ,179.25,180.95,181.35,174.1,174.55,175.1,177.52,44050,781961490000.0,,29929,0.6794
2010-10-20,CHOLAFIN,EQ,175.1,176.9,176.9,166.55,171.0,171.0,172.42,119133,2054037895000.0,,66485,0.5581
2010-10-21,CHOLAFIN,EQ,171.0,171.0,181.3,171.0,177.7,175.9,177.54,127255,2259276505000.0,,58575,0.46030000000000004
2010-10-22,CHOLAFIN,EQ,175.9,178.0,179.0,175.0,175.55,176.3,176.6,34428,607988695000.0,,19269,0.5597
2010-10-25,CHOLAFIN,EQ,176.3,177.9,178.45,175.2,177.0,177.25,176.68,23802,420545305000.0,,14792,0.6215
