Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2012-05-29,CHROMATIC,EQ,87.6,88.45,88.5,85.0,87.1,86.9,86.3,42283,364903875000.0,119,20626,0.4878
2012-05-30,CHROMATIC,EQ,86.9,87.0,88.8,87.0,88.0,88.0,87.47,40652,355566190000.0,118,20918,0.5146000000000001
2012-05-31,CHROMATIC,EQ,88.0,86.95,88.95,86.0,88.95,88.0,86.99,104222,906620980000.0001,232,73927,0.7093
2012-06-01,CHROMATIC,EQ,88.0,89.9,89.9,86.2,86.2,86.2,88.16,52804,465520125000.0,135,34198,0.6476000000000001
2012-06-04,CHROMATIC,EQ,86.2,92.8,92.8,86.0,89.25,89.5,89.89,54459,489508720000.0,54,30355,0.5574
2012-06-05,CHROMATIC,EQ,89.5,88.9,91.4,86.15,88.35,87.65,88.92,49666,441621425000.0,245,24216,0.4876
2012-06-06,CHROMATIC,EQ,87.65,87.0,87.0,85.5,85.55,86.0,86.42,53908,465892470000.0,181,41133,0.763
2012-06-07,CHROMATIC,EQ,86.0,86.25,89.25,86.25,89.25,88.2,87.31,26530,231640110000.0,51,21450,0.8085
2012-06-08,CHROMATIC,EQ,88.2,87.35,94.7,85.0,89.0,89.5,86.96,136129,1183761030000.0,435,88001,0.6465000000000001
2012-06-11,CHROMATIC,EQ,89.5,86.9,88.6,85.0,85.0,86.05,87.02,23897,207959580000.0,128,22066,0.9234
2012-06-12,CHROMATIC,EQ,86.05,84.0,88.4,82.3,83.0,83.9,85.35,20551,175399025000.0,153,11344,0.552
2012-06-13,CHROMATIC,EQ,83.9,85.0,87.9,83.0,83.2,83.95,85.33,63377,540794305000.0,154,41845,0.6603
2012-06-14,CHROMATIC,EQ,83.95,86.6,87.35,83.0,83.05,83.8,85.35,40239,343438300000.0,296,14875,0.3697
2012-06-15,CHROMATIC,EQ,83.8,83.05,86.8,82.0,83.5,84.7,85.17,51277,436744659999.99994,242,14525,0.2833
2012-06-18,CHROMATIC,EQ,84.7,88.9,88.9,80.6,84.0,83.05,84.59,79695,674131010000.0,150,41739,0.5236999999999999
2012-06-19,CHROMATIC,EQ,83.05,82.6,84.9,82.0,82.0,82.05,82.64,47584,393214415000.0,226,28489,0.5987
2012-06-20,CHROMATIC,EQ,82.05,81.1,83.95,81.0,82.0,82.7,82.7,36936,305473405000.0,301,15175,0.4108
2012-06-21,CHROMATIC,EQ,82.7,71.3,83.9,71.3,82.0,81.95,81.83,53999,441898709999.99994,150,28100,0.5204
2012-06-22,CHROMATIC,EQ,81.95,83.85,83.85,81.05,81.05,82.05,82.12,62271,511385709999.99994,404,29300,0.4705
2012-06-25,CHROMATIC,EQ,82.05,80.4,83.8,80.4,83.0,82.7,82.46,63810,526207830000.0,367,39325,0.6163000000000001
2012-06-26,CHROMATIC,EQ,82.7,83.75,83.75,81.1,81.5,81.6,81.86,76641,627386190000.0,381,32105,0.4189
2012-06-27,CHROMATIC,EQ,81.6,83.95,83.95,81.0,81.0,81.85,81.85,26608,217786354999.99997,175,56,0.0021
2012-06-28,CHROMATIC,EQ,81.85,82.0,83.0,81.5,81.5,82.45,81.9,49332,404011975000.0,629,24100,0.48850000000000005
2012-06-29,CHROMATIC,EQ,82.45,81.55,84.0,81.1,84.0,81.75,81.86,45751,374525770000.0,742,25554,0.5585
2012-07-02,CHROMATIC,EQ,81.75,87.75,88.8,81.0,82.75,83.2,84.05,66339,557605285000.0,350,44103,0.6648000000000001
2012-07-03,CHROMATIC,EQ,83.2,81.1,83.95,81.1,82.95,82.3,82.63,35235,291134700000.0,327,20137,0.5715
2012-07-04,CHROMATIC,EQ,82.3,83.95,84.0,81.0,84.0,83.15,82.52,59243,488879940000.00006,1824,31706,0.5352
2012-07-05,CHROMATIC,EQ,83.15,85.0,85.0,81.1,83.0,82.65,82.81,36351,301027185000.0,308,15433,0.42460000000000003
2012-07-06,CHROMATIC,EQ,82.65,81.0,86.85,81.0,86.0,84.05,83.86,90060,755259675000.0,797,45060,0.5003
2012-07-09,CHROMATIC,EQ,84.05,82.55,87.0,82.5,87.0,84.45,83.37,48940,407992290000.0,732,28442,0.5811999999999999
