Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2014-10-13,CIGNITITEC,EQ,460.2,494.0,494.0,474.0,484.05,481.85,480.23,85680,4114639765000.0,720,65975,0.77
2014-10-14,CIGNITITEC,EQ,481.85,489.65,499.5,471.2,481.0,485.65,493.23,66077,3259129490000.0,812,31012,0.4693
2014-10-16,CIGNITITEC,EQ,485.65,485.0,489.5,472.0,472.0,474.55,481.79,19852,956458160000.0,223,14805,0.7458
2014-10-17,CIGNITITEC,EQ,474.55,480.0,483.0,465.0,465.0,467.8,474.11,13466,638432450000.0,178,9163,0.6805
2014-10-20,CIGNITITEC,EQ,467.8,487.0,487.0,469.8,479.5,477.6,477.17,22931,1094199369999.9999,369,12711,0.5543
2014-10-21,CIGNITITEC,EQ,477.6,478.0,479.0,472.0,478.0,474.75,476.68,7589,361754410000.0,94,5313,0.7001000000000001
2014-10-22,CIGNITITEC,EQ,474.75,479.0,500.0,477.0,493.15,494.95,487.68,59069,2880697775000.0,484,40081,0.6785
2014-10-23,CIGNITITEC,EQ,494.95,500.0,500.0,490.0,493.0,493.3,496.13,12330,611726115000.0,143,11001,0.8922
2014-10-27,CIGNITITEC,EQ,493.3,500.0,505.0,476.3,480.0,482.15,491.51,12133,596344740000.0,219,9250,0.7624
2014-10-28,CIGNITITEC,EQ,482.15,488.8,489.0,475.15,475.2,478.05,482.56,15832,763983790000.0,132,14899,0.9411
2014-10-29,CIGNITITEC,EQ,478.05,485.0,488.95,480.0,480.0,482.9,483.35,8233,397939710000.0,122,5341,0.6487
2014-10-30,CIGNITITEC,EQ,482.9,490.0,490.0,483.0,485.45,484.0,485.49,14455,701776340000.0,121,8392,0.5806
2014-10-31,CIGNITITEC,EQ,484.0,489.5,491.0,475.0,480.0,477.75,483.0,8399,405670565000.0,207,7054,0.8399
2014-11-03,CIGNITITEC,EQ,477.75,490.0,490.0,480.0,480.0,481.8,483.15,7526,363617540000.0,96,6700,0.8902
2014-11-05,CIGNITITEC,EQ,481.8,489.3,489.4,480.0,482.0,484.85,484.36,16952,821082360000.0,171,14187,0.8369
2014-11-07,CIGNITITEC,EQ,484.85,494.9,497.5,485.0,488.0,489.8,492.1,24863,1223506900000.0,381,20293,0.8162
2014-11-10,CIGNITITEC,EQ,489.8,497.0,497.0,488.0,488.0,489.15,490.75,10394,510090490000.00006,104,8375,0.8058
2014-11-11,CIGNITITEC,EQ,489.15,494.75,494.75,486.0,488.0,488.05,491.18,16034,787554130000.0,87,14321,0.8932
2014-11-12,CIGNITITEC,EQ,488.05,493.0,493.0,485.0,485.0,487.8,490.65,40794,2001544510000.0002,208,32823,0.8046
2014-11-13,CIGNITITEC,EQ,487.8,498.45,498.45,475.0,475.0,478.2,482.3,29810,1437744820000.0,247,25540,0.8568000000000001
2014-11-14,CIGNITITEC,EQ,478.2,484.9,488.0,473.0,473.0,477.45,480.06,15658,751673030000.0,576,9434,0.6025
2014-11-17,CIGNITITEC,EQ,477.45,482.0,485.0,470.0,477.0,482.35,479.76,15935,764494140000.0,321,10846,0.6806
2014-11-18,CIGNITITEC,EQ,482.35,483.05,483.05,475.0,477.0,476.9,479.28,19487,933976555000.0001,346,14860,0.7626000000000001
2014-11-19,CIGNITITEC,EQ,476.9,482.0,485.0,470.1,475.25,480.55,479.94,23873,1145760710000.0,269,20251,0.8483
2014-11-20,CIGNITITEC,EQ,480.55,479.55,482.0,472.0,475.0,474.7,477.39,16019,764730880000.0,132,15296,0.9549
2014-11-21,CIGNITITEC,EQ,474.7,479.9,479.95,471.0,477.9,475.95,476.22,18448,878533175000.0,202,17103,0.9270999999999999
2014-11-24,CIGNITITEC,EQ,475.95,480.0,485.05,477.0,477.05,478.25,481.82,23129,1114395000000.0,303,17725,0.7664
2014-11-25,CIGNITITEC,EQ,478.25,479.4,482.05,461.1,470.0,471.95,472.56,17004,803540550000.0,292,9472,0.557
2014-11-26,CIGNITITEC,EQ,471.95,479.0,479.0,468.0,468.0,471.55,472.51,4315,203885985000.0,196,2768,0.6415000000000001
2014-11-27,CIGNITITEC,EQ,471.55,488.8,488.8,445.0,470.0,468.95,472.5,29286,1383771535000.0,282,26177,0.8937999999999999
2014-11-28,CIGNITITEC,EQ,468.95,474.4,477.0,459.0,461.25,461.35,466.99,15392,718788030000.0,220,11513,0.748
2014-12-01,CIGNITITEC,EQ,461.35,464.0,477.0,464.0,465.0,467.1,471.68,60371,2847585490000.0,655,54639,0.9051
2014-12-02,CIGNITITEC,EQ,467.1,468.6,472.5,435.05,469.0,468.8,465.72,42757,1991290930000.0,544,36209,0.8469
2014-12-03,CIGNITITEC,EQ,468.8,467.0,480.0,467.0,478.0,477.25,474.35,15160,719108750000.0,215,11749,0.775
2014-12-04,CIGNITITEC,EQ,477.25,484.0,484.0,462.0,462.0,464.3,468.65,11309,529996584999.99994,356,9929,0.878
2014-12-05,CIGNITITEC,EQ,464.3,473.0,478.0,457.0,460.15,464.75,472.88,252713,11950212685000.0,568,244726,0.9684
2014-12-08,CIGNITITEC,EQ,464.75,470.8,475.0,450.0,457.0,459.35,461.01,17599,811333455000.0,296,13767,0.7823000000000001
2014-12-09,CIGNITITEC,EQ,459.35,458.0,469.8,458.0,461.0,462.9,464.25,9859,457705745000.0,210,7685,0.7795000000000001
2014-12-10,CIGNITITEC,EQ,462.9,455.0,524.4,455.0,468.0,467.9,473.15,18377,869514405000.0001,528,13829,0.7525000000000001
2014-12-11,CIGNITITEC,EQ,467.9,465.0,471.0,460.9,467.5,466.55,466.57,29085,1357028525000.0,193,27498,0.9454000000000001
2014-12-12,CIGNITITEC,EQ,466.55,470.0,472.0,458.15,460.0,460.7,464.4,16538,768027620000.0,357,14123,0.8540000000000001
2014-12-15,CIGNITITEC,EQ,460.7,464.0,466.95,452.1,455.0,455.95,460.46,14023,645709230000.0,415,12288,0.8763
2014-12-16,CIGNITITEC,EQ,455.95,458.0,460.8,435.0,445.0,441.65,448.45,17086,766219915000.0,620,12651,0.7404000000000001
2014-12-17,CIGNITITEC,EQ,441.65,445.0,450.0,425.25,433.75,432.15,436.3,16799,732934815000.0,256,14446,0.8599
2014-12-18,CIGNITITEC,EQ,432.15,435.0,456.0,435.0,448.0,442.3,442.6,25279,1118849740000.0,358,16500,0.6527
2014-12-19,CIGNITITEC,EQ,442.3,445.0,450.0,436.5,438.0,439.75,443.1,11910,527729990000.00006,277,8921,0.7490000000000001
2014-12-22,CIGNITITEC,EQ,439.75,443.0,447.45,430.0,439.9,439.75,440.43,7123,313714880000.0,152,4002,0.5618
2014-12-23,CIGNITITEC,EQ,439.75,437.0,440.0,431.05,433.0,432.45,434.31,9512,413120380000.0,166,6279,0.6601
2014-12-24,CIGNITITEC,EQ,432.45,429.55,450.0,429.55,443.0,442.15,445.02,58046,2583158580000.0,451,29201,0.5031
2014-12-26,CIGNITITEC,EQ,442.15,441.0,463.5,441.0,463.5,456.45,453.98,6896,313062780000.0,265,4481,0.6498
2014-12-29,CIGNITITEC,EQ,456.45,460.0,475.05,460.0,467.0,466.5,468.15,16388,767202965000.0,374,9346,0.5703
2014-12-30,CIGNITITEC,EQ,466.5,469.0,470.5,458.0,461.05,461.1,465.47,5414,252003154999.99997,236,3643,0.6729
2014-12-31,CIGNITITEC,EQ,461.1,464.0,469.0,458.0,458.0,460.8,465.33,7816,363705695000.0,148,6371,0.8151
2015-01-01,CIGNITITEC,EQ,460.8,464.0,470.0,459.0,461.0,463.05,465.04,3580,166485425000.0,172,2410,0.6731999999999999
2015-01-02,CIGNITITEC,EQ,463.05,466.0,473.9,445.0,469.1,469.2,467.58,13244,619262220000.0,301,9502,0.7175
2015-01-05,CIGNITITEC,EQ,469.2,470.0,475.0,466.1,467.75,468.45,471.08,31898,1502646005000.0,379,26004,0.8151999999999999
2015-01-06,CIGNITITEC,EQ,468.45,469.0,471.0,460.0,465.0,466.15,467.17,49177,2297416250000.0,921,36378,0.7397
2015-01-07,CIGNITITEC,EQ,466.15,465.0,467.0,458.0,463.0,459.4,462.36,15162,701029555000.0,256,13398,0.8837
2015-01-08,CIGNITITEC,EQ,459.4,468.0,470.0,464.0,467.5,466.15,467.54,10396,486051959999.99994,219,7538,0.7251000000000001
2015-01-09,CIGNITITEC,EQ,466.15,469.0,469.0,462.0,462.55,466.3,465.77,9205,428739959999.99994,204,7906,0.8589
2015-01-12,CIGNITITEC,EQ,466.3,468.8,469.0,456.2,460.0,459.45,462.74,6075,281117015000.0,391,3755,0.6181
2015-01-13,CIGNITITEC,EQ,459.45,464.0,467.95,455.05,459.0,458.0,460.19,5007,230418565000.0,124,2544,0.5081
2015-01-14,CIGNITITEC,EQ,458.0,462.0,462.0,449.9,452.0,450.25,454.06,11361,515858495000.0,137,10479,0.9224
2015-01-15,CIGNITITEC,EQ,450.25,457.0,457.0,428.7,445.2,447.4,448.93,9295,417283445000.0,208,6057,0.6516
2015-01-16,CIGNITITEC,EQ,447.4,455.5,455.5,440.05,441.2,443.3,445.29,14295,636542880000.0,284,8804,0.6159
2015-01-19,CIGNITITEC,EQ,443.3,445.0,451.55,438.2,444.85,444.5,445.35,14831,660494125000.0,277,11285,0.7609
2015-01-20,CIGNITITEC,EQ,444.5,444.0,444.0,438.0,438.05,439.1,440.02,29602,1302542970000.0,489,24622,0.8318000000000001
2015-01-21,CIGNITITEC,EQ,439.1,444.8,445.0,432.95,437.0,436.85,437.22,17007,743578525000.0,389,11507,0.6766
2015-01-22,CIGNITITEC,EQ,436.85,440.0,445.0,435.8,437.75,437.0,439.72,9495,417518755000.0,157,6249,0.6581
2015-01-23,CIGNITITEC,EQ,437.0,440.0,445.0,432.9,440.0,439.45,438.78,46883,2057135285000.0002,421,41973,0.8953
2015-01-27,CIGNITITEC,EQ,439.45,442.0,442.0,436.55,438.5,438.7,438.78,35755,1568844805000.0,130,33529,0.9377
2015-01-28,CIGNITITEC,EQ,438.7,427.0,442.0,427.0,440.0,439.95,438.71,9971,437441645000.0,240,6820,0.684
2015-01-29,CIGNITITEC,EQ,439.95,444.8,444.9,430.0,431.0,432.6,432.97,31806,1377096515000.0,262,29915,0.9405
2015-01-30,CIGNITITEC,EQ,432.6,436.0,436.75,422.0,433.0,430.7,432.09,33520,1448366355000.0,332,21541,0.6426000000000001
2015-02-02,CIGNITITEC,EQ,430.7,440.0,440.0,423.25,425.0,426.8,431.48,22691,979075430000.0001,1611,20831,0.918
2015-02-03,CIGNITITEC,EQ,426.8,431.9,432.0,428.05,432.0,430.85,429.83,13305,571888215000.0,142,11489,0.8634999999999999
2015-02-04,CIGNITITEC,EQ,430.85,435.0,449.9,430.0,446.7,445.55,440.54,31288,1378363950000.0,499,25308,0.8089000000000001
2015-02-05,CIGNITITEC,EQ,445.55,465.0,465.0,444.15,444.15,446.75,451.24,31196,1407701405000.0,487,25074,0.8038
2015-02-06,CIGNITITEC,EQ,446.75,452.9,452.9,439.35,442.0,444.7,444.35,11264,500510705000.0,211,7917,0.7029000000000001
2015-02-09,CIGNITITEC,EQ,444.7,447.6,447.6,438.05,441.0,443.45,443.45,14662,650182655000.0,612,11855,0.8086
2015-02-10,CIGNITITEC,EQ,443.45,447.0,447.0,433.45,435.0,435.8,439.41,19424,853514225000.0,248,17949,0.9241
2015-02-11,CIGNITITEC,EQ,435.8,438.0,447.0,436.0,443.0,443.9,443.31,9899,438836755000.0,186,6965,0.7036
2015-02-12,CIGNITITEC,EQ,443.9,458.8,458.8,444.0,449.2,447.35,446.83,15436,689729150000.0,141,12436,0.8056000000000001
2015-02-13,CIGNITITEC,EQ,447.35,450.0,452.0,445.0,449.0,450.7,449.17,27102,1217330645000.0,411,22634,0.8351000000000001
2015-02-16,CIGNITITEC,EQ,450.7,450.0,457.0,445.0,451.5,452.9,453.3,15855,718701925000.0,381,11877,0.7491
2015-02-18,CIGNITITEC,EQ,452.9,455.0,458.6,443.5,449.0,447.8,451.78,48945,2211215875000.0,712,26974,0.5511
2015-02-19,CIGNITITEC,EQ,447.8,453.0,453.9,444.0,449.1,449.05,449.2,29034,1304203805000.0,292,14492,0.4991
2015-02-20,CIGNITITEC,EQ,449.05,449.05,450.3,442.0,443.5,445.75,446.57,24552,1096408794999.9999,361,15284,0.6225
2015-02-23,CIGNITITEC,EQ,445.75,447.95,459.9,423.5,450.0,449.8,455.32,146709,6679981385000.0,576,134039,0.9136
2015-02-24,CIGNITITEC,EQ,449.8,452.4,455.0,445.0,446.0,446.05,449.16,6817,306193395000.0,131,4884,0.7164
2015-02-25,CIGNITITEC,EQ,446.05,449.9,490.0,440.0,481.5,480.65,469.21,127693,5991424480000.0,1991,60142,0.47100000000000003
2015-02-26,CIGNITITEC,EQ,480.65,484.6,494.0,473.0,476.0,477.5,484.5,45313,2195427105000.0,1058,26955,0.5949
2015-02-27,CIGNITITEC,EQ,477.5,481.0,490.0,477.0,480.0,479.3,482.93,26488,1279175200000.0,400,18986,0.7168000000000001
2015-02-28,CIGNITITEC,EQ,479.3,482.05,486.0,469.95,475.0,476.05,478.41,8588,410855845000.0,294,5673,0.6606000000000001
2015-03-02,CIGNITITEC,EQ,476.05,484.0,484.0,469.0,473.25,473.8,474.1,9317,441721384999.99994,185,7022,0.7537
2015-03-03,CIGNITITEC,EQ,473.8,475.05,490.0,467.95,473.8,473.3,480.32,35186,1690044275000.0,659,23441,0.6662
2015-03-04,CIGNITITEC,EQ,473.3,477.0,484.0,470.1,472.0,472.45,475.45,19977,949808735000.0,319,16581,0.8300000000000001
2015-03-05,CIGNITITEC,EQ,472.45,476.9,482.75,469.0,469.0,472.15,474.31,37407,1774245405000.0,411,32937,0.8805
