Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2012-06-27,CINEPRO,EQ,14.6,16.0,17.5,15.35,17.5,17.5,17.05,108928,185703520000.0,1194,34456,0.31629999999999997
2012-06-28,CINEPRO,EQ,17.5,18.5,20.0,16.2,18.8,19.1,18.93,145357,275198130000.0,1036,41918,0.2884
2012-06-29,CINEPRO,EQ,19.1,19.35,19.65,17.4,18.2,18.15,18.47,44263,81758370000.0,329,18221,0.4117
2012-07-02,CINEPRO,EQ,18.15,18.0,19.0,17.5,17.5,17.65,18.12,16059,29104284999.999996,108,9649,0.6008
2012-07-03,CINEPRO,EQ,17.65,17.9,18.4,17.0,17.25,17.1,17.44,16492,28754505000.0,75,11055,0.6703
2012-07-04,CINEPRO,EQ,17.1,17.1,20.5,16.05,18.95,19.35,19.69,244162,480649715000.00006,1156,45043,0.1845
2012-07-05,CINEPRO,EQ,19.35,20.0,20.0,18.4,19.0,18.85,19.11,46302,88468180000.0,216,32257,0.6967
2012-07-06,CINEPRO,EQ,18.85,18.95,18.95,17.8,17.8,18.05,18.26,9083,16583665000.0,75,6051,0.6662
2012-07-09,CINEPRO,EQ,18.05,17.9,18.0,17.25,17.5,17.5,17.48,3924,6860275000.0,37,2784,0.7095
2012-07-10,CINEPRO,EQ,17.5,18.0,18.0,17.0,17.35,17.35,17.46,5959,10404245000.0,39,4547,0.763
2012-07-11,CINEPRO,EQ,17.35,17.0,17.9,17.0,17.7,17.3,17.36,6011,10436610000.0,65,4667,0.7764
2012-07-12,CINEPRO,EQ,17.3,17.0,17.7,17.0,17.3,17.45,17.31,3916,6777725000.0,37,1712,0.4372
2012-07-13,CINEPRO,EQ,17.45,17.5,17.55,16.55,16.95,17.0,17.16,6780,11634780000.0,61,5002,0.7378
2012-07-16,CINEPRO,EQ,17.0,17.5,19.5,16.2,17.2,16.6,17.08,26153,44667630000.0,110,7662,0.29300000000000004
2012-07-17,CINEPRO,EQ,16.6,18.4,18.4,16.85,17.0,16.9,17.3,6944,12014885000.0,66,5618,0.809
2012-07-18,CINEPRO,EQ,16.9,17.1,17.1,16.8,16.9,16.9,16.84,495,833350000.0,10,440,0.8889
2012-07-19,CINEPRO,EQ,16.9,16.7,17.85,16.5,17.4,17.2,17.15,12398,21262510000.0,122,4600,0.371
2012-07-20,CINEPRO,EQ,17.2,16.8,17.45,16.55,16.65,16.65,16.8,3779,6349250000.0,26,2477,0.6555
2012-07-23,CINEPRO,EQ,16.65,16.55,16.95,16.25,16.35,16.35,16.55,4604,7618170000.0,55,4499,0.9772
2012-07-24,CINEPRO,EQ,16.35,16.5,16.5,16.1,16.45,16.45,16.27,2225,3619575000.0,23,1643,0.7384000000000001
2012-07-25,CINEPRO,EQ,16.45,16.5,16.5,15.8,16.45,15.9,16.03,5394,8648535000.0,58,4510,0.8361000000000001
2012-07-26,CINEPRO,EQ,15.9,15.7,16.0,15.4,16.0,15.45,15.59,2349,3662950000.0,27,1739,0.7403000000000001
2012-07-27,CINEPRO,EQ,15.45,15.45,16.4,15.15,15.95,15.55,15.42,13723,21159395000.0,69,7594,0.5534
2012-07-30,CINEPRO,EQ,15.55,15.85,16.95,15.5,16.65,16.3,16.1,5620,9048145000.0,33,4100,0.7295
2012-07-31,CINEPRO,EQ,16.3,16.0,16.6,15.65,16.55,16.45,16.02,899,1439910000.0,22,765,0.8509000000000001
2012-08-01,CINEPRO,EQ,16.45,16.0,17.7,15.55,16.4,16.8,16.89,17517,29594780000.0,143,9237,0.5273
2012-08-02,CINEPRO,EQ,16.8,17.55,17.8,16.9,16.9,16.9,17.3,3636,6289510000.0,37,2796,0.7690000000000001
2012-08-03,CINEPRO,EQ,16.9,17.5,19.2,16.3,16.85,16.45,16.9,6633,11209420000.0,51,4491,0.6770999999999999
2012-08-06,CINEPRO,EQ,16.45,16.15,16.8,16.15,16.75,16.75,16.53,3131,5175225000.0,24,2336,0.7461
2012-08-07,CINEPRO,EQ,16.75,16.4,16.9,16.4,16.75,16.5,16.5,2067,3411219999.9999995,14,2056,0.9947
2012-08-08,CINEPRO,EQ,16.5,17.45,17.45,16.3,16.55,16.6,16.62,2930,4870000000.0,32,1732,0.5911
