Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2017-04-18,CLEDUCATE,EQ,425.7,418.1,474.95,418.1,430.55,432.5,449.76,142012,6387120485000.0,8697,53432,0.3762
2017-04-19,CLEDUCATE,EQ,432.5,432.95,450.5,432.95,440.0,439.95,442.39,54425,2407731120000.0,4609,22998,0.4226
2017-04-20,CLEDUCATE,EQ,439.95,441.0,453.0,440.0,441.75,441.65,445.11,24498,1090440790000.0,1711,9349,0.3816
2017-04-21,CLEDUCATE,EQ,441.65,444.85,446.95,431.0,434.9,434.75,436.87,21124,922844490000.0,1248,11989,0.5676
2017-04-24,CLEDUCATE,EQ,434.75,443.9,443.9,428.45,438.95,438.1,435.42,24444,1064344480000.0001,1883,17069,0.6983
2017-04-25,CLEDUCATE,EQ,438.1,432.0,449.95,432.0,437.7,436.75,439.1,26309,1155226240000.0,2038,11450,0.43520000000000003
2017-04-26,CLEDUCATE,EQ,436.75,431.55,442.9,431.55,436.0,437.2,438.48,21599,947062405000.0001,1780,13993,0.6479
2017-04-27,CLEDUCATE,EQ,437.2,431.5,445.0,431.5,437.0,438.0,438.94,17067,749147080000.0,1141,9799,0.5740999999999999
2017-04-28,CLEDUCATE,EQ,438.0,432.5,469.0,432.5,465.0,456.9,449.44,50359,2263349055000.0,3591,32359,0.6426000000000001
2017-05-02,CLEDUCATE,EQ,456.9,469.0,469.0,446.05,455.0,451.8,453.1,19806,897408380000.0001,1843,9697,0.48960000000000004
2017-05-03,CLEDUCATE,EQ,451.8,453.3,454.45,441.55,442.0,442.15,446.35,8723,389349500000.0,839,4955,0.568
2017-05-04,CLEDUCATE,EQ,442.15,447.95,448.0,440.6,442.0,441.65,442.76,12607,558193460000.0,1449,8369,0.6638
2017-05-05,CLEDUCATE,EQ,441.65,443.15,446.0,439.0,445.0,443.25,442.01,12853,568112805000.0,651,10758,0.8370000000000001
2017-05-08,CLEDUCATE,EQ,443.25,448.0,448.0,435.0,441.0,441.6,439.46,12527,550508630000.0,1915,8657,0.6911
2017-05-09,CLEDUCATE,EQ,441.6,442.0,443.45,439.0,440.0,440.1,440.19,11730,516338805000.0,896,9484,0.8085
2017-05-10,CLEDUCATE,EQ,440.1,442.05,465.15,437.0,460.05,460.9,455.04,42792,1947226114999.9998,2742,34310,0.8018000000000001
2017-05-11,CLEDUCATE,EQ,460.9,458.0,470.0,453.0,465.0,468.6,465.06,44112,2051491889999.9998,5151,25436,0.5766
2017-05-12,CLEDUCATE,EQ,468.6,465.05,467.4,447.05,448.0,448.9,454.8,7059,321042080000.0,644,3179,0.45030000000000003
2017-05-15,CLEDUCATE,EQ,448.9,459.0,459.0,442.0,442.0,442.45,446.8,4824,215534535000.0,526,2932,0.6078
2017-05-16,CLEDUCATE,EQ,442.45,442.9,448.35,439.5,440.0,440.15,441.71,4872,215198990000.0,459,3623,0.7436
2017-05-17,CLEDUCATE,EQ,440.15,440.9,444.8,439.9,440.0,440.1,440.55,4173,183840110000.0,358,3371,0.8078000000000001
2017-05-18,CLEDUCATE,EQ,440.1,435.0,439.0,435.0,438.8,438.05,437.86,5047,220990370000.00003,311,4562,0.9039
2017-05-19,CLEDUCATE,EQ,438.05,439.9,439.9,418.0,420.0,421.05,427.14,9142,390495070000.0,1204,6854,0.7497
2017-05-22,CLEDUCATE,EQ,421.05,422.05,428.5,418.15,426.0,425.3,424.7,4384,186187580000.0,316,3659,0.8346
2017-05-23,CLEDUCATE,EQ,425.3,420.15,423.15,410.0,420.0,420.75,418.81,5071,212381070000.00003,357,4340,0.8558
2017-05-24,CLEDUCATE,EQ,420.75,430.0,430.0,415.25,420.0,420.25,419.96,13005,546161984999.99994,674,11862,0.9120999999999999
2017-05-25,CLEDUCATE,EQ,420.25,420.05,428.95,418.0,426.0,425.45,424.54,5636,239268715000.0,396,4572,0.8112
2017-05-26,CLEDUCATE,EQ,425.45,425.1,428.35,424.25,425.0,425.0,425.29,4027,171264535000.0,581,3169,0.7869
2017-05-29,CLEDUCATE,EQ,425.0,415.55,430.0,415.55,430.0,425.45,424.7,5453,231588320000.00003,442,4428,0.812
