Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-10-04,CLNINDIA,EQ,759.75,774.0,779.85,759.25,760.5,761.8,767.42,14173,1087658944999.9999,,10059,0.7097
2010-10-05,CLNINDIA,EQ,761.8,771.95,776.0,765.0,771.55,772.1,772.3,11694,903126930000.0001,,8523,0.7288
2010-10-06,CLNINDIA,EQ,772.1,781.1,798.0,775.0,790.8,789.2,795.47,107817,8576563505000.0,,95555,0.8863
2010-10-07,CLNINDIA,EQ,789.2,797.2,803.4,782.65,785.3,786.0,796.76,17687,1409232310000.0,,10971,0.6203000000000001
2010-10-08,CLNINDIA,EQ,786.0,796.75,801.1,777.0,790.0,785.75,789.95,41040,3241956755000.0,,32842,0.8002
2010-10-11,CLNINDIA,EQ,785.75,793.0,801.9,789.55,796.0,794.2,795.51,11285,897737625000.0,,7337,0.6502
2010-10-12,CLNINDIA,EQ,794.2,795.1,803.5,790.0,801.0,800.3,797.81,25459,2031142420000.0,,22837,0.897
2010-10-13,CLNINDIA,EQ,800.3,804.7,840.0,800.1,814.5,818.1,820.21,46129,3783563210000.0,,24257,0.5259
2010-10-14,CLNINDIA,EQ,818.1,825.0,834.0,802.1,808.0,804.8,819.09,30927,2533186445000.0,,15397,0.4978
2010-10-15,CLNINDIA,EQ,804.8,829.9,830.0,781.1,818.75,814.45,816.57,11837,966577355000.0001,,8869,0.7493000000000001
2010-10-18,CLNINDIA,EQ,814.45,820.0,827.9,787.0,820.0,814.45,810.5,10242,830112070000.0,,6913,0.675
2010-10-19,CLNINDIA,EQ,814.45,805.2,835.0,805.1,825.65,823.3,827.5,14174,1172901000000.0,,8646,0.61
2010-10-20,CLNINDIA,EQ,823.3,825.0,839.0,801.0,821.3,821.3,826.06,31406,2594324365000.0,,22422,0.7139
2010-10-21,CLNINDIA,EQ,821.3,824.1,824.1,780.15,787.9,793.2,801.36,26235,2102366355000.0,,18240,0.6953
2010-10-22,CLNINDIA,EQ,793.2,805.0,805.05,790.0,800.9,799.45,798.38,4953,395437765000.0,,3558,0.7184
2010-10-25,CLNINDIA,EQ,799.45,810.0,814.65,780.0,785.0,784.5,794.43,12667,1006304940000.0,,9762,0.7706999999999999
2010-10-26,CLNINDIA,EQ,784.5,775.0,790.0,763.5,768.0,766.9,776.86,12420,964854265000.0,,9081,0.7312000000000001
2010-10-27,CLNINDIA,EQ,766.9,786.7,786.7,758.0,765.35,766.8,767.57,6410,492011825000.0,,4231,0.6601
2010-10-28,CLNINDIA,EQ,766.8,777.0,778.8,761.1,770.0,770.25,770.83,5989,461647880000.0,,3790,0.6328
2010-10-29,CLNINDIA,EQ,770.25,767.5,779.4,760.2,764.05,767.6,769.49,12061,928085469999.9999,,8780,0.728
2010-11-01,CLNINDIA,EQ,767.6,778.8,779.95,760.0,765.0,772.8,771.77,4189,323292855000.0,,2911,0.6949
2010-11-02,CLNINDIA,EQ,772.8,775.0,775.0,762.25,767.0,767.15,766.74,4937,378540615000.0,,3733,0.7561
2010-11-03,CLNINDIA,EQ,767.15,765.05,769.9,750.1,765.9,760.45,758.32,14387,1091001960000.0,,10154,0.7058
2010-11-04,CLNINDIA,EQ,760.45,753.0,768.95,753.0,759.0,758.75,758.89,4758,361077680000.0,,3479,0.7312000000000001
2010-11-05,CLNINDIA,EQ,758.75,761.0,763.8,755.05,763.0,762.7,762.4,5549,423056495000.0,,5122,0.923
2010-11-08,CLNINDIA,EQ,762.7,756.0,764.6,747.0,748.2,749.35,750.97,21820,1638607995000.0,,17938,0.8220999999999999
2010-11-09,CLNINDIA,EQ,749.35,760.0,760.0,740.5,741.3,742.7,747.66,19799,1480282765000.0,,17757,0.8969
2010-11-10,CLNINDIA,EQ,742.7,759.8,759.8,742.0,744.0,744.8,749.35,18482,1384955620000.0,,11974,0.6479
2010-11-11,CLNINDIA,EQ,744.8,752.8,756.85,746.1,751.5,750.45,753.7,16806,1266671685000.0,,16194,0.9636
2010-11-12,CLNINDIA,EQ,750.45,748.8,748.8,739.0,740.0,740.05,742.21,2621,194532110000.0,,2228,0.8501000000000001
2010-11-15,CLNINDIA,EQ,740.05,740.0,740.0,730.1,738.5,735.4,735.77,6274,461619120000.0,,5370,0.8559000000000001
2010-11-16,CLNINDIA,EQ,735.4,738.5,744.0,715.0,727.9,723.75,723.35,11950,864408894999.9999,,7874,0.6589
2010-11-18,CLNINDIA,EQ,723.75,737.0,746.0,706.4,746.0,735.55,725.29,9582,694971270000.0,,8302,0.8664000000000001
2010-11-19,CLNINDIA,EQ,735.55,726.8,735.0,710.0,734.0,721.55,724.1,28831,2087640760000.0002,,26544,0.9207
2010-11-22,CLNINDIA,EQ,721.55,717.0,729.45,710.3,727.6,722.1,719.64,4586,330027600000.0,,2744,0.5982999999999999
2010-11-23,CLNINDIA,EQ,722.1,715.0,728.75,715.0,720.5,723.75,720.48,3581,258002340000.0,,3128,0.8734999999999999
2010-11-24,CLNINDIA,EQ,723.75,717.0,728.95,705.05,712.0,716.0,718.37,3253,233684854999.99997,,2325,0.7147
2010-11-25,CLNINDIA,EQ,716.0,746.0,746.0,707.1,719.0,713.85,712.58,4881,347812575000.0,,3432,0.7031000000000001
2010-11-26,CLNINDIA,EQ,713.85,707.0,722.9,650.1,722.9,711.05,695.21,37341,2595975865000.0,,30770,0.8240000000000001
2010-11-29,CLNINDIA,EQ,711.05,717.15,717.15,640.65,717.0,711.9,704.87,5357,377599730000.0,,3444,0.6429
2010-11-30,CLNINDIA,EQ,711.9,715.85,729.75,701.0,728.5,728.3,720.73,3322,239426940000.0,,2341,0.7047
2010-12-01,CLNINDIA,EQ,728.3,711.05,732.0,706.5,732.0,728.45,723.02,8692,628451450000.0,,7387,0.8499
2010-12-02,CLNINDIA,EQ,728.45,721.0,732.8,717.1,721.0,721.5,721.07,4539,327291885000.0,,2868,0.6319
