Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2016-06-24,CONTROLPR,EQ,286.2,284.95,291.9,281.95,291.7,291.55,288.13,11682,336597380000.0,179,9071,0.7765000000000001
2016-06-27,CONTROLPR,EQ,291.55,291.7,295.0,286.0,286.55,290.15,293.2,12422,364214145000.0,137,11375,0.9157
2016-06-28,CONTROLPR,EQ,290.15,294.95,294.95,287.1,293.5,292.9,291.03,2235,65044310000.0,61,1937,0.8667
2016-06-29,CONTROLPR,EQ,292.9,290.7,296.95,288.0,293.0,295.05,292.95,4386,128488355000.0,75,3594,0.8194
2016-06-30,CONTROLPR,EQ,295.05,299.9,300.95,297.0,300.95,300.5,300.22,6343,190429915000.0,73,5923,0.9338
2016-07-01,CONTROLPR,EQ,300.5,305.0,305.0,296.2,301.5,303.3,300.97,4749,142931480000.0,95,3715,0.7823000000000001
2016-07-04,CONTROLPR,EQ,303.3,315.0,315.0,305.0,306.95,308.85,308.62,2780,85796885000.0,135,2389,0.8593999999999999
2016-07-05,CONTROLPR,EQ,308.85,315.0,315.0,294.0,305.0,302.6,304.34,2955,89931115000.0,149,1943,0.6575
2016-07-07,CONTROLPR,EQ,302.6,313.7,317.7,289.0,317.7,317.7,310.36,36466,1131749555000.0,791,11784,0.3232
2016-07-08,CONTROLPR,EQ,317.7,323.05,328.5,302.5,313.05,315.15,316.22,8121,256799785000.0,320,6560,0.8078000000000001
2016-07-11,CONTROLPR,EQ,315.15,324.2,324.2,305.7,310.0,310.2,313.02,5293,165679300000.0,197,3864,0.73
2016-07-12,CONTROLPR,EQ,310.2,319.0,319.0,304.0,304.75,305.6,306.92,1940,59543294999.99999,135,1554,0.8009999999999999
2016-07-13,CONTROLPR,EQ,305.6,310.0,310.9,298.0,300.1,302.3,302.57,2688,81329795000.0,192,1621,0.6031000000000001
2016-07-14,CONTROLPR,EQ,302.3,305.9,308.9,298.2,307.0,306.55,304.19,2522,76715805000.0,78,2174,0.8620000000000001
2016-07-15,CONTROLPR,EQ,306.55,300.1,306.9,298.0,300.0,301.25,300.74,3369,101320880000.0,89,2994,0.8887
2016-07-18,CONTROLPR,EQ,301.25,301.25,310.0,297.0,300.1,302.0,305.21,7116,217187515000.0,135,5753,0.8085
2016-07-19,CONTROLPR,EQ,302.0,302.0,303.05,295.0,295.0,296.35,297.62,3311,98540405000.0,129,2783,0.8405
2016-07-20,CONTROLPR,EQ,296.35,300.0,306.9,291.65,300.0,300.0,296.46,4755,140966480000.0,119,3173,0.6673
2016-07-21,CONTROLPR,EQ,300.0,300.0,306.0,290.1,291.0,291.15,295.61,6969,206009940000.0,230,5022,0.7206
2016-07-22,CONTROLPR,EQ,291.15,297.0,297.95,290.1,293.3,290.85,292.45,2041,59689765000.0,106,1691,0.8285
2016-07-25,CONTROLPR,EQ,290.85,300.0,305.0,290.6,302.1,303.6,300.42,4988,149850515000.0,156,4566,0.9154000000000001
2016-07-26,CONTROLPR,EQ,303.6,304.0,306.2,292.0,303.0,303.35,303.66,2612,79315690000.0,114,1967,0.7531
2016-07-27,CONTROLPR,EQ,303.35,303.0,308.0,297.55,305.95,304.4,302.06,5726,172959955000.0,168,4028,0.7034999999999999
2016-07-28,CONTROLPR,EQ,304.4,303.0,310.0,299.2,300.0,300.5,303.23,3001,90998855000.0,119,2291,0.7634000000000001
2016-07-29,CONTROLPR,EQ,300.5,301.0,302.9,293.2,297.8,295.65,298.17,3819,113871814999.99998,130,3442,0.9013
2016-08-01,CONTROLPR,EQ,295.65,300.0,308.0,296.2,307.2,305.45,304.33,6712,204263540000.0,162,5011,0.7465999999999999
2016-08-02,CONTROLPR,EQ,305.45,307.0,308.05,293.0,298.95,298.95,299.88,7675,230159135000.0,225,6365,0.8293
2016-08-03,CONTROLPR,EQ,298.95,300.0,305.0,292.1,302.95,300.35,301.08,3817,114922195000.0,158,2516,0.6592
2016-08-04,CONTROLPR,EQ,300.35,300.0,304.85,295.0,301.55,300.6,300.84,3037,91366290000.0,103,2318,0.7633
2016-08-05,CONTROLPR,EQ,300.6,302.0,303.0,297.0,300.0,300.3,299.62,6442,193015015000.0,184,4352,0.6756000000000001
2016-08-08,CONTROLPR,EQ,300.3,294.5,300.0,278.55,283.0,281.85,285.52,24489,699202015000.0,542,18777,0.7668
2016-08-09,CONTROLPR,EQ,281.85,287.0,295.0,283.0,286.0,285.75,289.2,18295,529083640000.00006,551,12491,0.6828000000000001
