Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-10-04,COROMANDEL,EQ,623.55,624.0,634.45,615.6,621.95,620.75,624.82,19339,1208336010000.0,,11481,0.5937
2010-10-05,COROMANDEL,EQ,620.75,618.0,638.4,597.7,623.25,622.55,626.17,56229,3520902629999.9995,,29616,0.5267000000000001
2010-10-06,COROMANDEL,EQ,622.55,629.9,642.8,625.0,631.0,632.5,633.26,74967,4747341280000.0,,53519,0.7139
2010-10-07,COROMANDEL,EQ,632.5,633.0,638.95,617.15,625.0,624.3,627.01,52462,3289442385000.0,,40343,0.7690000000000001
2010-10-08,COROMANDEL,EQ,624.3,634.75,634.75,616.0,619.9,618.25,624.24,11082,691781065000.0,,7055,0.6365999999999999
2010-10-11,COROMANDEL,EQ,618.25,634.4,635.95,615.0,617.0,617.75,625.21,107331,6710390485000.0,,67921,0.6328
2010-10-12,COROMANDEL,EQ,617.75,620.0,625.0,612.0,612.0,617.15,619.12,33938,2101157389999.9998,,18919,0.5575
2010-10-13,COROMANDEL,EQ,617.15,618.0,623.75,614.0,615.0,617.5,619.65,19309,1196477315000.0,,9819,0.5085000000000001
2010-10-14,COROMANDEL,EQ,617.5,618.0,669.3,618.0,653.0,654.05,652.02,327762,21370799220000.0,,124648,0.3803
2010-10-15,COROMANDEL,EQ,654.05,659.0,683.0,646.15,651.0,652.3,670.25,172682,11574096405000.0,,48236,0.2793
2010-10-18,COROMANDEL,EQ,652.3,659.0,659.0,630.0,631.5,634.6,639.29,38216,2443120305000.0,,21173,0.554
2010-10-19,COROMANDEL,EQ,634.6,638.35,678.5,638.0,667.15,665.2,664.26,334038,22188924985000.0,,151134,0.4524
2010-10-20,COROMANDEL,EQ,665.2,674.4,722.1,668.55,682.9,682.9,692.52,498999,34556496575000.0,,189291,0.3793
2010-10-21,COROMANDEL,EQ,682.9,689.4,689.4,656.4,671.5,672.6,672.88,143539,9658474550000.0,,62815,0.4376
2010-10-22,COROMANDEL,EQ,672.6,672.0,683.0,660.0,666.3,669.9,671.65,88966,5975394090000.0,,53880,0.6056
2010-10-25,COROMANDEL,EQ,669.9,677.8,684.1,665.0,670.65,670.7,672.18,45785,3077582170000.0,,24484,0.5347999999999999
2010-10-26,COROMANDEL,EQ,670.7,665.1,673.0,641.4,655.05,654.4,655.03,50601,3314502325000.0,,35051,0.6927
2010-10-27,COROMANDEL,EQ,654.4,659.4,659.85,643.0,651.9,650.6,652.93,24436,1595489830000.0,,15863,0.6492
2010-10-28,COROMANDEL,EQ,650.6,646.25,667.0,642.0,655.0,655.75,657.15,36322,2386911945000.0,,18176,0.5004
2010-10-29,COROMANDEL,EQ,655.75,630.0,654.6,629.5,647.8,641.05,643.59,60564,3897822500000.0,,49433,0.8162
2010-11-01,COROMANDEL,EQ,641.05,650.0,671.0,633.0,635.0,637.1,648.39,48377,3136692605000.0,,28531,0.5898
2010-11-02,COROMANDEL,EQ,637.1,644.95,648.0,623.05,635.5,635.5,631.85,117394,7417592115000.001,,70235,0.5982999999999999
2010-11-03,COROMANDEL,EQ,635.5,640.0,687.0,636.1,648.4,652.6,665.84,574763,38270236110000.0,,381970,0.6646
2010-11-04,COROMANDEL,EQ,652.6,658.7,661.0,645.0,655.95,653.75,652.51,39372,2569060265000.0,,17549,0.4457
2010-11-05,COROMANDEL,EQ,653.75,662.0,670.0,639.0,664.0,661.85,660.6,15662,1034636619999.9999,,9604,0.6132
2010-11-08,COROMANDEL,EQ,661.85,662.0,679.0,655.0,670.0,671.6,669.67,116802,7821855130000.0,,64857,0.5553
2010-11-09,COROMANDEL,EQ,671.6,672.0,680.0,665.0,671.05,674.7,675.24,126270,8526196484999.999,,91739,0.7265
2010-11-10,COROMANDEL,EQ,674.7,673.8,679.0,666.5,672.1,670.7,672.65,65134,4381240035000.0,,45597,0.7000000000000001
2010-11-11,COROMANDEL,EQ,670.7,672.1,683.4,664.95,680.0,678.35,675.12,147846,9981322625000.0,,129140,0.8734999999999999
2010-11-12,COROMANDEL,EQ,678.35,680.0,683.9,645.1,649.0,647.3,659.57,77453,5108559700000.0,,50898,0.6570999999999999
2010-11-15,COROMANDEL,EQ,647.3,656.5,659.0,634.0,639.9,643.1,640.39,166034,10632721500000.0,,142809,0.8601000000000001
2010-11-16,COROMANDEL,EQ,643.1,644.0,649.55,637.95,647.25,646.4,642.31,89927,5776096325000.0,,75025,0.8343
2010-11-18,COROMANDEL,EQ,646.4,646.4,648.0,630.0,643.0,644.0,642.4,121155,7782974465000.001,,101877,0.8409000000000001
2010-11-19,COROMANDEL,EQ,644.0,644.0,644.0,631.5,640.0,639.45,638.24,160645,10252997155000.0,,147878,0.9205
2010-11-22,COROMANDEL,EQ,639.45,625.0,630.0,542.0,606.6,606.4,586.04,636820,37320309800000.0,,271703,0.4267
2010-11-23,COROMANDEL,EQ,606.4,608.0,615.0,567.1,597.0,598.35,586.81,389960,22883255450000.0,,252188,0.6467
2010-11-24,COROMANDEL,EQ,598.35,611.0,614.8,571.0,580.0,576.8,592.81,65793,3900302315000.0,,32276,0.49060000000000004
2010-11-25,COROMANDEL,EQ,576.8,580.05,594.75,558.25,570.0,571.35,577.65,33221,1919001839999.9998,,17885,0.5384000000000001
2010-11-26,COROMANDEL,EQ,571.35,575.0,590.0,476.85,573.0,574.3,563.17,64872,3653396985000.0,,35987,0.5547
2010-11-29,COROMANDEL,EQ,574.3,580.1,582.95,550.4,554.9,554.75,564.66,95428,5388391115000.0,,54551,0.5716
2010-11-30,COROMANDEL,EQ,554.75,556.1,569.0,530.0,544.5,538.5,549.61,191354,10516945645000.0,,139885,0.731
2010-12-01,COROMANDEL,EQ,538.5,540.0,562.0,540.0,555.7,556.4,555.27,148755,8259870880000.0,,101682,0.6836
2010-12-02,COROMANDEL,EQ,556.4,558.0,578.0,557.55,570.0,570.45,566.82,102326,5799994315000.0,,52381,0.5119
2010-12-03,COROMANDEL,EQ,570.45,565.0,565.0,545.25,559.0,557.85,551.97,70398,3885784690000.0,,45039,0.6398
2010-12-06,COROMANDEL,EQ,557.85,558.0,589.0,553.55,561.7,562.55,576.64,159581,9202051370000.0,,26878,0.1684
2010-12-07,COROMANDEL,EQ,562.55,563.0,606.9,556.0,582.0,586.35,589.94,297482,17549747850000.0,,138055,0.46409999999999996
2010-12-08,COROMANDEL,EQ,586.35,586.25,589.9,568.0,573.45,573.3,572.38,70588,4040350865000.0,,55036,0.7797000000000001
2010-12-09,COROMANDEL,EQ,573.3,579.0,579.0,540.0,540.0,550.85,566.36,76342,4323683720000.0005,,48298,0.6327
2010-12-10,COROMANDEL,EQ,550.85,540.0,595.0,522.05,576.45,581.25,577.08,130470,7529170775000.0,,79784,0.6115
2010-12-13,COROMANDEL,EQ,581.25,585.15,615.6,582.95,609.5,609.7,593.59,165949,9850527660000.0,,106590,0.6423000000000001
2010-12-14,COROMANDEL,EQ,609.7,611.0,640.0,611.0,629.0,631.25,629.63,141698,8921775110000.0,,85282,0.6019
2010-12-15,COROMANDEL,EQ,631.25,639.7,642.5,610.0,619.5,613.9,628.92,50636,3184575755000.0,,27411,0.5413
2010-12-16,COROMANDEL,EQ,613.9,614.0,640.0,600.0,634.95,635.9,628.33,63495,3989575825000.0,,36083,0.5683
2010-12-20,COROMANDEL,EQ,635.9,636.0,646.0,625.0,638.05,638.8,639.75,108452,6938178305000.0,,88188,0.8131999999999999
2010-12-21,COROMANDEL,EQ,638.8,642.7,642.7,621.5,623.0,624.15,630.6,16282,1026750655000.0001,,8600,0.5282
2010-12-22,COROMANDEL,EQ,624.15,626.0,631.4,612.0,613.6,614.05,620.41,15915,987388185000.0,,10177,0.6395000000000001
2010-12-23,COROMANDEL,EQ,614.05,292.0,318.8,292.0,306.9,307.45,312.53,66576,2080700720000.0,,28638,0.4302
2010-12-24,COROMANDEL,EQ,307.45,307.5,313.8,303.3,311.85,311.15,309.55,23326,722055145000.0,,8608,0.369
2010-12-27,COROMANDEL,EQ,311.15,314.7,319.9,310.25,318.95,317.15,315.34,77554,2445564865000.0,,52392,0.6756000000000001
2010-12-28,COROMANDEL,EQ,317.15,317.75,318.0,308.35,309.3,310.3,312.0,31823,992865490000.0,,23948,0.7525000000000001
2010-12-29,COROMANDEL,EQ,310.3,311.0,314.4,310.0,312.85,311.5,311.89,17106,533527080000.0,,9667,0.5651
2010-12-30,COROMANDEL,EQ,311.5,312.8,318.0,306.35,313.0,311.9,312.8,30604,957305485000.0,,12516,0.409
2010-12-31,COROMANDEL,EQ,311.9,316.75,319.0,314.0,315.0,316.45,316.65,47992,1519685610000.0,,35043,0.7302
2011-01-03,COROMANDEL,EQ,316.45,318.0,324.75,308.0,308.9,308.85,313.98,83627,2625754150000.0,,55089,0.6587000000000001
2011-01-04,COROMANDEL,EQ,308.85,301.45,312.45,301.45,302.0,302.4,304.23,93610,2847915325000.0,,66593,0.7114
2011-01-05,COROMANDEL,EQ,302.4,303.5,321.0,289.8,298.0,294.55,298.83,113839,3401795295000.0005,,77298,0.679
2011-01-06,COROMANDEL,EQ,294.55,290.05,305.0,290.05,295.25,298.0,298.62,77302,2308415080000.0,,41930,0.5424
2011-01-07,COROMANDEL,EQ,298.0,298.9,299.0,288.0,289.05,289.05,290.77,92302,2683819725000.0,,70336,0.762
2011-01-10,COROMANDEL,EQ,289.05,292.9,292.9,282.0,287.0,286.3,287.12,34168,981029855000.0001,,25874,0.7573000000000001
2011-01-11,COROMANDEL,EQ,286.3,286.3,294.0,284.0,290.0,287.5,287.8,103156,2968861015000.0,,85404,0.8279000000000001
2011-01-12,COROMANDEL,EQ,287.5,289.0,290.0,270.55,280.0,279.55,281.46,117099,3295863830000.0,,90477,0.7726999999999999
2011-01-13,COROMANDEL,EQ,279.55,282.0,287.5,278.2,278.25,279.8,281.38,139909,3936708300000.0,,97593,0.6975
2011-01-14,COROMANDEL,EQ,279.8,280.0,281.5,271.85,278.0,277.85,277.24,126165,3497741345000.0005,,95945,0.7605
2011-01-17,COROMANDEL,EQ,277.85,274.95,274.95,264.15,264.5,264.8,269.17,49644,1336247805000.0,,38685,0.7792
2011-01-18,COROMANDEL,EQ,264.8,265.5,266.95,252.35,254.0,253.5,255.08,122572,3126625335000.0,,94692,0.7725
2011-01-19,COROMANDEL,EQ,253.5,253.5,266.95,246.0,250.15,251.45,253.0,584167,14779494894999.998,,497395,0.8515
2011-01-20,COROMANDEL,EQ,251.45,252.7,256.8,246.0,248.3,248.6,250.36,128800,3224618955000.0,,96818,0.7517
2011-01-21,COROMANDEL,EQ,248.6,248.0,248.0,243.0,244.95,245.4,245.35,65801,1614453285000.0,,47603,0.7234
2011-01-24,COROMANDEL,EQ,245.4,240.3,248.5,240.3,244.95,245.0,244.7,133675,3270999550000.0,,123040,0.9204000000000001
2011-01-25,COROMANDEL,EQ,245.0,247.4,254.5,245.15,252.1,252.1,251.82,119423,3007264970000.0,,83799,0.7017
2011-01-27,COROMANDEL,EQ,252.1,255.8,255.8,238.55,245.0,244.1,245.53,137418,3374027529999.9995,,93734,0.6820999999999999
2011-01-28,COROMANDEL,EQ,244.1,242.0,247.8,224.1,236.65,235.15,232.12,234681,5447415070000.0,,175180,0.7465
2011-01-31,COROMANDEL,EQ,235.15,230.0,251.0,220.0,230.0,232.6,240.28,219617,5276862280000.0,,123554,0.5626
2011-02-01,COROMANDEL,EQ,232.6,233.0,234.9,225.7,230.0,230.05,230.48,38671,891275844999.9999,,22367,0.5784
2011-02-02,COROMANDEL,EQ,230.05,230.0,236.9,225.25,231.0,230.3,230.13,135985,3129441405000.0,,92777,0.6823
2011-02-03,COROMANDEL,EQ,230.3,229.5,238.1,224.75,230.4,230.4,231.07,77244,1784886930000.0,,42103,0.5451
2011-02-04,COROMANDEL,EQ,230.4,234.8,239.85,230.0,231.55,231.4,233.84,77353,1808799964999.9998,,40709,0.5263
2011-02-07,COROMANDEL,EQ,231.4,232.0,234.9,229.95,230.85,230.1,230.7,51904,1197416690000.0,,34687,0.6683
2011-02-08,COROMANDEL,EQ,230.1,230.0,233.0,229.1,230.05,230.0,230.1,60270,1386785540000.0,,53693,0.8909
2011-02-09,COROMANDEL,EQ,230.0,228.0,232.8,225.0,228.0,227.4,229.57,97368,2235290030000.0,,85031,0.8733
2011-02-10,COROMANDEL,EQ,227.4,226.0,229.5,215.1,216.25,219.65,226.46,102535,2322034605000.0,,91992,0.8972
2011-02-11,COROMANDEL,EQ,219.65,220.0,244.9,216.25,243.0,235.45,226.08,162909,3682979154999.9995,,112944,0.6933
2011-02-14,COROMANDEL,EQ,235.45,237.4,256.8,231.5,245.5,249.85,245.78,76335,1876140200000.0,,37923,0.4968
2011-02-15,COROMANDEL,EQ,249.85,244.65,258.5,244.65,250.05,250.95,249.93,177031,4424496350000.0,,107123,0.6051
2011-02-16,COROMANDEL,EQ,250.95,270.0,295.05,265.3,267.5,271.0,273.23,841724,22998043365000.0,,411497,0.4889
2011-02-17,COROMANDEL,EQ,271.0,261.45,294.0,261.45,292.0,289.4,285.15,636224,18141612630000.0,,390870,0.6144
2011-02-18,COROMANDEL,EQ,289.4,290.85,311.5,272.0,285.15,288.0,301.42,650537,19608778440000.0,,271946,0.418
2011-02-21,COROMANDEL,EQ,288.0,288.0,289.85,267.5,274.0,275.3,274.69,120543,3311196860000.0,,36462,0.3025
2011-02-22,COROMANDEL,EQ,275.3,271.75,289.7,270.2,277.0,276.1,278.52,305239,8501590680000.0,,157477,0.5159
2011-02-23,COROMANDEL,EQ,276.1,276.1,287.0,276.0,281.0,280.8,282.2,101369,2860619445000.0,,55084,0.5434
2011-02-24,COROMANDEL,EQ,280.8,280.8,282.0,272.0,272.0,274.9,279.35,73929,2065228950000.0,,40382,0.5462
2011-02-25,COROMANDEL,EQ,274.9,274.0,275.0,251.0,261.45,259.2,262.86,65562,1723389255000.0,,29410,0.4486
