Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-10-04,COSMOFILMS,EQ,143.9,144.05,146.0,140.0,140.55,140.75,142.96,96921,1385555655000.0,,52683,0.5436
2010-10-05,COSMOFILMS,EQ,140.75,141.55,142.6,140.05,140.95,140.8,141.55,78928,1117194670000.0,,41874,0.5305
2010-10-06,COSMOFILMS,EQ,140.8,142.8,144.4,139.7,141.4,140.8,141.4,185917,2628949520000.0,,98743,0.5311
2010-10-07,COSMOFILMS,EQ,140.8,142.1,148.2,140.6,142.65,143.0,144.83,453003,6560986420000.0,,155303,0.3428
2010-10-08,COSMOFILMS,EQ,143.0,143.2,145.7,142.2,143.7,143.55,143.79,109820,1579146420000.0,,50912,0.4636
2010-10-11,COSMOFILMS,EQ,143.55,147.55,154.4,146.05,153.0,152.05,150.81,873538,13173882360000.0,,293029,0.33549999999999996
2010-10-12,COSMOFILMS,EQ,152.05,153.8,158.5,151.6,153.7,152.95,155.25,611032,9486080940000.0,,179959,0.2945
2010-10-13,COSMOFILMS,EQ,152.95,154.0,162.75,153.35,161.55,161.65,158.92,929665,14773861469999.998,,270643,0.2911
2010-10-14,COSMOFILMS,EQ,161.65,163.6,187.35,163.25,180.3,179.0,179.21,4752018,85161981670000.0,,627979,0.13210000000000002
2010-10-15,COSMOFILMS,EQ,179.0,180.55,187.8,174.25,177.35,175.8,182.37,1567081,28578808855000.0,,341443,0.21789999999999998
2010-10-18,COSMOFILMS,EQ,175.8,176.3,177.4,163.65,171.0,170.55,168.69,617868,10422946740000.0,,142525,0.23070000000000002
2010-10-19,COSMOFILMS,EQ,170.55,173.0,176.4,166.35,168.0,168.0,171.75,602576,10349394350000.0,,142961,0.2372
2010-10-20,COSMOFILMS,EQ,168.0,167.15,169.65,160.5,161.65,161.65,165.03,323920,5345510945000.0,,128735,0.39740000000000003
2010-10-21,COSMOFILMS,EQ,161.65,163.7,166.45,161.15,163.5,162.75,163.53,211451,3457790004999.9995,,82086,0.3882
