Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-10-04,CREATIVEYE,EQ,7.85,7.85,8.45,7.65,8.4,8.35,8.08,25475,20571285000.0,,21632,0.8491
2010-10-05,CREATIVEYE,EQ,8.35,8.4,8.4,8.0,8.05,8.1,8.18,17807,14559490000.0,,14706,0.8259000000000001
2010-10-06,CREATIVEYE,EQ,8.1,7.9,8.25,7.9,8.2,8.15,8.11,9474,7679950000.0,,6150,0.6491
2010-10-07,CREATIVEYE,EQ,8.15,8.0,8.2,7.95,8.1,8.1,8.1,18142,14702315000.0,,14367,0.7919
2010-10-08,CREATIVEYE,EQ,8.1,8.0,8.2,7.5,7.7,7.75,7.86,17739,13941410000.0,,14755,0.8318000000000001
2010-10-11,CREATIVEYE,EQ,7.75,7.95,8.2,7.8,8.05,8.05,8.03,10204,8198739999.999999,,8155,0.7992
2010-10-12,CREATIVEYE,EQ,8.05,8.05,8.15,7.8,7.8,7.85,7.92,14112,11175195000.0,,9969,0.7064
2010-10-13,CREATIVEYE,EQ,7.85,8.0,8.05,7.8,8.0,8.0,7.93,5429,4307230000.0,,5098,0.9390000000000001
2010-10-14,CREATIVEYE,EQ,8.0,7.85,8.0,7.8,8.0,8.0,7.95,10602,8429170000.0,,10270,0.9687000000000001
2010-10-15,CREATIVEYE,EQ,8.0,7.8,8.2,7.7,8.0,7.9,7.83,12216,9566625000.0,,10486,0.8584
2010-10-18,CREATIVEYE,EQ,7.9,8.55,8.55,7.7,7.8,7.8,7.86,7104,5586660000.0,,6305,0.8875000000000001
2010-10-19,CREATIVEYE,EQ,7.8,7.65,7.95,7.65,7.75,7.75,7.78,10798,8397450000.0,,10751,0.9956
2010-10-20,CREATIVEYE,EQ,7.75,7.7,7.9,7.65,7.9,7.9,7.79,4492,3498935000.0,,4384,0.976
2010-10-21,CREATIVEYE,EQ,7.9,7.65,7.9,7.6,7.9,7.85,7.73,13024,10072130000.0,,7510,0.5766
2010-10-22,CREATIVEYE,EQ,7.85,7.75,8.25,7.4,8.0,7.95,7.86,99156,77916025000.0,,57051,0.5754
2010-10-25,CREATIVEYE,EQ,7.95,7.9,8.1,7.85,7.95,8.05,8.04,5870,4716790000.0,,5039,0.8584
2010-10-26,CREATIVEYE,EQ,8.05,8.0,8.2,7.9,8.05,8.15,8.05,8344,6719950000.0,,5536,0.6635
2010-10-27,CREATIVEYE,EQ,8.15,8.25,8.25,7.9,7.9,7.95,8.05,8848,7119620000.0,,6838,0.7728
2010-10-28,CREATIVEYE,EQ,7.95,7.9,8.1,7.75,8.1,7.9,7.91,7496,5928690000.0,,4378,0.584
2010-10-29,CREATIVEYE,EQ,7.9,8.15,8.15,7.8,8.0,8.0,8.0,2658,2126809999.9999998,,2269,0.8536
2010-11-01,CREATIVEYE,EQ,8.0,7.8,8.1,7.75,7.95,7.95,7.85,1719,1349955000.0,,1672,0.9727
2010-11-02,CREATIVEYE,EQ,7.95,8.2,8.2,7.75,7.75,7.75,7.84,5315,4166180000.0000005,,4495,0.8456999999999999
2010-11-03,CREATIVEYE,EQ,7.75,7.75,8.05,7.45,7.65,7.65,7.67,11274,8649505000.0,,10767,0.9550000000000001
2010-11-04,CREATIVEYE,EQ,7.65,7.6,8.1,7.55,8.05,7.95,7.74,28537,22078945000.0,,18348,0.643
2010-11-05,CREATIVEYE,EQ,7.95,8.2,8.2,7.8,7.8,8.05,8.15,1552,1265635000.0,,1552,1.0
2010-11-08,CREATIVEYE,EQ,8.05,8.05,8.65,8.0,8.25,8.2,8.27,42508,35156665000.0,,28752,0.6764
2010-11-09,CREATIVEYE,EQ,8.2,8.2,8.4,7.8,8.2,8.2,8.22,41771,34349025000.0,,26805,0.6417
2010-11-10,CREATIVEYE,EQ,8.2,6.7,9.7,6.7,8.85,8.85,8.71,70596,61483485000.0,,48715,0.6901
2010-11-11,CREATIVEYE,EQ,8.85,8.85,9.45,8.0,8.3,8.45,8.94,59536,53225260000.0,,38986,0.6548
2010-11-12,CREATIVEYE,EQ,8.45,8.8,8.85,8.2,8.2,8.3,8.49,20202,17156535000.0,,14626,0.7240000000000001
2010-11-15,CREATIVEYE,EQ,8.3,8.05,8.35,7.8,8.1,8.1,7.97,22918,18255100000.0,,19625,0.8563
2010-11-16,CREATIVEYE,EQ,8.1,8.05,8.3,7.85,8.0,8.0,8.08,8408,6793045000.0,,7277,0.8654999999999999
2010-11-18,CREATIVEYE,EQ,8.0,7.9,8.0,7.55,8.0,7.8,7.77,20107,15632204999.999998,,13674,0.6801
2010-11-19,CREATIVEYE,EQ,7.8,8.0,8.0,7.65,7.7,7.7,7.75,14627,11328700000.0,,11153,0.7625000000000001
2010-11-22,CREATIVEYE,EQ,7.7,7.65,7.9,7.65,7.85,7.7,7.71,10947,8441245000.0,,7823,0.7145999999999999
2010-11-23,CREATIVEYE,EQ,7.7,7.6,7.95,7.6,7.9,7.75,7.76,13621,10569575000.0,,8781,0.6447
2010-11-24,CREATIVEYE,EQ,7.75,7.25,7.8,7.25,7.75,7.65,7.6,7356,5593935000.0,,4775,0.6491
2010-11-25,CREATIVEYE,EQ,7.65,7.3,7.85,7.3,7.7,7.55,7.69,22207,17080200000.0,,15800,0.7115
2010-11-26,CREATIVEYE,EQ,7.55,8.5,8.5,7.0,7.45,7.2,7.31,29230,21380900000.0,,18180,0.622
2010-11-29,CREATIVEYE,EQ,7.2,5.85,7.25,5.85,7.1,7.1,7.08,7261,5138565000.0,,6868,0.9459000000000001
2010-11-30,CREATIVEYE,EQ,7.1,7.1,7.6,7.1,7.6,7.55,7.39,6111,4517965000.0,,5560,0.9098
2010-12-01,CREATIVEYE,EQ,7.55,7.15,7.85,7.15,7.55,7.7,7.72,6080,4696740000.0,,4526,0.7444
2010-12-02,CREATIVEYE,EQ,7.7,7.55,8.5,7.55,7.95,7.9,7.96,16278,12956200000.0,,9681,0.5947
2010-12-03,CREATIVEYE,EQ,7.9,8.0,8.0,7.5,7.5,7.55,7.62,6165,4695235000.0,,5608,0.9097
2010-12-06,CREATIVEYE,EQ,7.55,7.7,8.3,7.15,7.35,7.35,7.35,3380,2483835000.0,,2627,0.7772
2010-12-07,CREATIVEYE,EQ,7.35,7.0,7.45,7.0,7.3,7.3,7.17,5188,3718340000.0,,4680,0.9020999999999999
2010-12-08,CREATIVEYE,EQ,7.3,7.05,7.35,7.0,7.25,7.2,7.05,6826,4815210000.0,,5118,0.7498
2010-12-09,CREATIVEYE,EQ,7.2,6.9,7.3,6.35,7.1,6.75,6.93,9148,6340270000.0,,8281,0.9052
2010-12-10,CREATIVEYE,EQ,6.75,6.25,7.1,6.2,7.1,6.95,6.78,6643,4505540000.0,,2913,0.4385
2010-12-13,CREATIVEYE,EQ,6.95,6.7,7.4,6.7,7.05,7.25,7.09,12857,9111150000.0,,9595,0.7463
2010-12-14,CREATIVEYE,EQ,7.25,7.85,7.85,6.9,7.2,7.2,7.21,2845,2052480000.0,,1842,0.6475
2010-12-15,CREATIVEYE,EQ,7.2,7.0,7.2,6.9,6.9,6.95,6.96,4905,3413194999.9999995,,4618,0.9415000000000001
2010-12-16,CREATIVEYE,EQ,6.95,7.0,7.2,6.9,7.2,7.05,7.05,4923,3469140000.0,,4366,0.8869
2010-12-20,CREATIVEYE,EQ,7.05,7.0,7.25,6.6,7.25,7.25,6.99,6708,4691360000.0,,4345,0.6476999999999999
2010-12-21,CREATIVEYE,EQ,7.25,7.05,7.4,7.0,7.2,7.05,7.05,14304,10080665000.0,,9534,0.6665000000000001
2010-12-22,CREATIVEYE,EQ,7.05,7.0,7.25,6.9,6.9,6.9,7.0,1551,1086385000.0,,1040,0.6705
2010-12-23,CREATIVEYE,EQ,6.9,6.95,7.25,6.9,6.9,6.9,6.96,4635,3227840000.0,,4552,0.9821
2010-12-24,CREATIVEYE,EQ,6.9,6.95,7.0,6.85,6.85,6.85,6.93,8614,5965335000.0,,8364,0.971
2010-12-27,CREATIVEYE,EQ,6.85,6.85,7.0,6.85,7.0,7.0,6.88,126,86625000.0,,125,0.9921
2010-12-28,CREATIVEYE,EQ,7.0,6.95,7.1,6.85,6.9,6.9,6.9,610,421005000.0,,441,0.723
2010-12-29,CREATIVEYE,EQ,6.9,7.2,7.2,6.9,7.0,6.95,7.04,6398,4505580000.0,,5443,0.8506999999999999
2010-12-30,CREATIVEYE,EQ,6.95,7.0,7.2,6.55,6.95,7.0,7.0,6765,4737795000.0,,4591,0.6786
2010-12-31,CREATIVEYE,EQ,7.0,7.0,7.25,6.9,7.25,6.95,7.06,7794,5504405000.0,,7607,0.976
2011-01-03,CREATIVEYE,EQ,6.95,7.0,7.85,7.0,7.35,7.3,7.42,11489,8522555000.0,,7183,0.6252000000000001
2011-01-04,CREATIVEYE,EQ,7.3,7.3,7.4,7.1,7.3,7.25,7.31,8460,6180510000.0,,8314,0.9827
2011-01-05,CREATIVEYE,EQ,7.25,6.95,7.35,6.95,7.3,7.25,7.16,3473,2486245000.0,,2865,0.8249
2011-01-06,CREATIVEYE,EQ,7.25,6.8,7.25,6.8,7.1,7.05,7.03,2689,1890405000.0,,2489,0.9256000000000001
2011-01-07,CREATIVEYE,EQ,7.05,6.5,7.25,6.5,6.9,6.85,6.82,7212,4920655000.0,,7204,0.9989
2011-01-10,CREATIVEYE,EQ,6.85,6.7,7.15,6.7,6.85,6.95,6.93,8075,5593160000.0,,6566,0.8131
