Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2019-04-02,ESSDEE,EQ,15.45,15.25,15.8,14.8,14.95,15.0,15.16,38249,57983780000.00001,171,27463,0.718
2019-04-03,ESSDEE,EQ,15.0,15.0,15.45,14.25,14.25,14.25,14.3,69973,100092125000.0,162,49121,0.7020000000000001
2019-04-04,ESSDEE,EQ,14.25,14.25,14.95,14.0,14.95,14.95,14.71,28586,42043720000.0,145,16745,0.5858
2019-04-05,ESSDEE,EQ,14.95,15.45,16.15,14.55,15.0,14.9,15.38,61521,94633210000.0,371,44083,0.7166
2019-04-08,ESSDEE,EQ,14.9,15.0,15.25,13.45,13.9,13.9,13.71,158695,217614570000.00003,516,91167,0.5745
2019-04-09,ESSDEE,EQ,13.9,13.9,14.9,13.5,14.2,14.2,14.24,60813,86601695000.0,320,36065,0.593
2019-04-10,ESSDEE,EQ,14.2,14.7,14.7,13.0,13.55,13.55,13.59,81836,111220480000.0,334,62547,0.7643000000000001
2019-04-11,ESSDEE,EQ,13.55,13.6,13.95,13.1,13.6,13.65,13.54,27249,36889360000.0,109,14296,0.5246000000000001
2019-04-12,ESSDEE,EQ,13.65,13.9,14.0,13.25,13.9,13.75,13.64,18484,25214220000.0,111,7687,0.41590000000000005
2019-04-15,ESSDEE,EQ,13.75,13.9,14.35,13.65,13.85,13.75,13.82,12376,17104315000.0,163,8761,0.7079000000000001
2019-04-16,ESSDEE,EQ,13.75,14.0,14.1,12.4,13.2,13.1,12.79,108011,138121340000.0,495,48357,0.44770000000000004
2019-04-18,ESSDEE,EQ,13.1,13.35,13.35,12.55,13.05,12.9,12.84,30443,39093135000.0,200,16282,0.5347999999999999
2019-04-22,ESSDEE,EQ,12.9,13.0,13.25,12.0,12.5,12.55,12.51,12918,16156525000.0,89,9924,0.7682
2019-04-23,ESSDEE,EQ,12.55,12.6,12.85,12.35,12.7,12.5,12.52,5258,6583689999.999999,66,3509,0.6674
2019-04-24,ESSDEE,EQ,12.5,12.5,12.9,12.4,12.5,12.7,12.75,6886,8778735000.0,92,4366,0.634
2019-04-25,ESSDEE,EQ,12.7,12.6,13.0,12.55,12.65,12.75,12.78,6875,8785000000.0,55,5631,0.8190999999999999
2019-04-26,ESSDEE,EQ,12.75,12.8,14.0,12.3,13.95,13.55,13.16,40901,53838519999.99999,263,23138,0.5657
2019-04-30,ESSDEE,EQ,13.55,14.0,14.0,12.8,13.0,12.85,13.46,21880,29442945000.0,140,15362,0.7021
2019-05-02,ESSDEE,EQ,12.85,13.0,13.3,12.25,12.85,12.9,12.97,8722,11311030000.0,57,5129,0.5881000000000001
2019-05-03,ESSDEE,EQ,12.9,12.65,12.9,12.5,12.75,12.75,12.68,1423,1804620000.0,25,1411,0.9916
2019-05-06,ESSDEE,EQ,12.75,12.75,13.9,12.25,13.7,13.35,12.97,15538,20146890000.0,106,11781,0.7582
2019-05-07,ESSDEE,EQ,13.35,13.05,13.85,12.6,13.2,13.1,13.14,23807,31293209999.999996,216,17510,0.7354999999999999
2019-05-08,ESSDEE,EQ,13.1,13.45,13.45,12.0,12.75,12.7,12.55,12558,15764354999.999998,202,8790,0.7000000000000001
2019-05-09,ESSDEE,EQ,12.7,13.45,13.45,12.1,13.0,12.75,12.66,15306,19382050000.0,286,7661,0.5005
2019-05-10,ESSDEE,EQ,12.75,13.0,13.3,12.4,13.05,12.75,12.7,6540,8304250000.0,162,4291,0.6561
2019-05-13,ESSDEE,EQ,12.75,13.0,13.0,12.25,12.65,12.55,12.62,9318,11760220000.0,177,4199,0.45060000000000006
2019-05-14,ESSDEE,EQ,12.55,13.25,13.25,11.3,11.65,11.55,11.7,117273,137255085000.00002,483,76654,0.6536
2019-05-15,ESSDEE,EQ,11.55,11.35,11.85,10.9,11.05,11.0,11.16,15147,16903745000.000002,184,9247,0.6104999999999999
2019-05-16,ESSDEE,EQ,11.0,10.75,11.0,10.05,10.2,10.2,10.29,86375,88861415000.0,275,60907,0.7051000000000001
2019-05-17,ESSDEE,EQ,10.2,10.45,10.45,9.85,10.15,10.0,9.98,37934,37860895000.0,158,24637,0.6495000000000001
2019-05-20,ESSDEE,EQ,10.0,10.0,10.5,10.0,10.35,10.35,10.37,15133,15692220000.000002,91,12677,0.8377
2019-05-21,ESSDEE,EQ,10.35,10.5,10.85,10.5,10.85,10.75,10.72,26929,28875784999.999996,130,16810,0.6242
2019-05-22,ESSDEE,EQ,10.75,10.95,11.25,10.5,10.5,10.7,10.9,28985,31596209999.999996,146,22758,0.7852
2019-05-23,ESSDEE,EQ,10.7,10.75,11.1,10.2,10.2,10.2,10.26,81464,83557640000.0,200,43334,0.5319
2019-05-24,ESSDEE,EQ,10.2,9.8,10.1,9.7,9.9,9.75,9.8,52196,51141900000.0,207,33486,0.6415000000000001
2019-05-27,ESSDEE,EQ,9.75,9.75,10.0,9.4,9.7,9.65,9.63,62775,60450435000.0,200,36399,0.5798
