Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-10-04,KSL,EQ,130.9,132.0,135.0,131.0,131.5,131.4,132.78,155237,2061304820000.0,,52727,0.3397
2010-10-05,KSL,EQ,131.4,131.1,139.75,130.55,137.8,137.5,137.31,542786,7452754450000.0,,175978,0.32420000000000004
2010-10-06,KSL,EQ,137.5,139.3,140.4,134.8,136.9,136.2,138.52,260373,3606684945000.0005,,139112,0.5343
2010-10-07,KSL,EQ,136.2,137.0,138.35,134.1,135.2,134.7,136.47,105961,1446074135000.0,,52630,0.49670000000000003
2010-10-08,KSL,EQ,134.7,134.75,136.0,132.2,134.8,133.75,134.14,56772,761556025000.0,,28084,0.4947
2010-10-11,KSL,EQ,133.75,135.6,135.75,133.65,134.6,134.6,134.73,59366,799850815000.0,,23380,0.39380000000000004
2010-10-12,KSL,EQ,134.6,137.45,137.9,132.3,133.6,133.4,133.47,43553,581300365000.0,,22290,0.5118
2010-10-13,KSL,EQ,133.4,134.0,137.4,132.35,134.25,134.45,135.17,185785,2511330220000.0,,60266,0.32439999999999997
2010-10-14,KSL,EQ,134.45,134.1,137.7,132.1,134.2,134.3,135.5,95961,1300285580000.0,,43738,0.4558
2010-10-15,KSL,EQ,134.3,135.0,135.0,131.6,132.2,132.2,133.28,35066,467347580000.0,,21181,0.604
2010-10-18,KSL,EQ,132.2,131.05,132.9,129.6,130.7,130.5,130.52,40379,527043109999.99994,,21465,0.5316
2010-10-19,KSL,EQ,130.5,131.5,134.0,129.55,130.15,130.25,131.68,83048,1093579635000.0,,43778,0.5271
2010-10-20,KSL,EQ,130.25,130.0,132.0,127.5,128.3,128.9,129.01,51057,658702590000.0,,32157,0.6298
2010-10-21,KSL,EQ,128.9,129.1,131.0,127.5,129.5,129.65,129.26,64684,836076990000.0,,19559,0.3024
2010-10-22,KSL,EQ,129.65,130.9,130.9,128.5,128.55,129.1,129.61,44282,573954580000.0,,23171,0.5233
2010-10-25,KSL,EQ,129.1,130.5,133.4,129.4,131.4,130.35,131.41,77513,1018561885000.0,,34446,0.44439999999999996
2010-10-26,KSL,EQ,130.35,130.9,131.0,126.1,126.35,126.5,127.64,82169,1048819365000.0,,56755,0.6907
2010-10-27,KSL,EQ,126.5,126.0,127.0,123.8,124.7,124.5,125.28,68326,856001830000.0001,,43001,0.6294
2010-10-28,KSL,EQ,124.5,125.4,125.55,122.5,122.8,123.3,123.7,38056,470766045000.0,,20459,0.5376
2010-10-29,KSL,EQ,123.3,123.1,123.5,116.8,118.0,117.75,119.22,96424,1149610360000.0,,63113,0.6545000000000001
2010-11-01,KSL,EQ,117.75,119.6,121.0,119.0,119.5,119.45,120.01,51701,620487960000.0,,26831,0.519
2010-11-02,KSL,EQ,119.45,119.75,122.4,119.25,121.3,120.9,121.08,42217,511145984999.99994,,17102,0.4051
2010-11-03,KSL,EQ,120.9,121.05,124.6,121.05,122.4,122.45,123.19,69509,856278650000.0,,22545,0.3243
2010-11-04,KSL,EQ,122.45,122.55,123.35,119.6,121.0,121.35,121.89,38793,472829159999.99994,,18580,0.479
2010-11-05,KSL,EQ,121.35,124.0,126.5,123.0,125.0,124.85,124.66,30446,379555005000.0,,21288,0.6992
2010-11-08,KSL,EQ,124.85,126.3,126.6,123.1,123.85,123.55,123.84,47396,586957470000.0,,28379,0.5988
2010-11-09,KSL,EQ,123.55,124.1,125.95,122.0,123.8,123.3,124.61,87347,1088423530000.0001,,47869,0.5479999999999999
2010-11-10,KSL,EQ,123.3,123.9,124.9,121.5,122.0,121.95,122.85,54409,668441275000.0,,35905,0.6598999999999999
2010-11-11,KSL,EQ,121.95,122.9,128.0,122.1,122.6,123.0,124.7,123579,1540974460000.0,,43347,0.3508
2010-11-12,KSL,EQ,123.0,123.0,125.0,115.0,117.4,116.9,119.7,73599,880945590000.0,,40872,0.5553
2010-11-15,KSL,EQ,116.9,120.8,120.8,114.75,115.35,115.4,116.0,45728,530436625000.0,,28768,0.6291
2010-11-16,KSL,EQ,115.4,116.0,120.75,113.0,114.45,113.85,115.89,62789,727673625000.0,,27099,0.4316
2010-11-18,KSL,EQ,113.85,114.25,116.0,110.0,112.45,112.7,112.57,37095,417578730000.0,,17010,0.4586
2010-11-19,KSL,EQ,112.7,112.7,119.0,110.0,111.1,110.9,112.4,26929,302677685000.0,,12048,0.4474
2010-11-22,KSL,EQ,110.9,113.0,113.5,110.5,110.8,111.55,111.55,16119,179811870000.0,,8628,0.5353
2010-11-23,KSL,EQ,111.55,111.0,119.6,108.1,109.0,109.7,111.22,42967,477863325000.0,,19954,0.4644
2010-11-24,KSL,EQ,109.7,110.4,116.9,106.0,107.0,107.2,109.4,33468,366144430000.0,,17558,0.5246000000000001
2010-11-25,KSL,EQ,107.2,107.6,108.9,101.25,101.95,102.75,105.08,33693,354059120000.0,,19425,0.5765
2010-11-26,KSL,EQ,102.75,104.0,104.0,92.05,95.45,94.4,96.71,81353,786787545000.0,,47887,0.5886
2010-11-29,KSL,EQ,94.4,95.25,96.6,90.7,93.0,92.8,92.89,36981,343534880000.0,,19474,0.5266
2010-11-30,KSL,EQ,92.8,93.0,102.1,91.0,102.1,100.25,97.06,66444,644933230000.0,,26628,0.4008
2010-12-01,KSL,EQ,100.25,99.95,109.3,99.95,108.9,107.8,106.78,116214,1240891025000.0,,33692,0.2899
2010-12-02,KSL,EQ,107.8,109.4,113.0,107.95,108.4,109.05,110.04,66218,728647175000.0,,23369,0.3529
2010-12-03,KSL,EQ,109.05,107.8,107.8,102.0,104.6,103.55,104.67,38701,405099200000.0,,16277,0.42060000000000003
2010-12-06,KSL,EQ,103.55,105.0,107.7,103.25,106.0,104.65,105.89,36071,381968950000.0,,15263,0.42310000000000003
2010-12-07,KSL,EQ,104.65,106.0,106.45,101.1,101.8,102.15,103.32,22204,229406110000.0,,9976,0.44930000000000003
2010-12-08,KSL,EQ,102.15,102.5,104.65,98.15,99.25,99.0,100.71,26203,263877910000.0,,14960,0.5709000000000001
2010-12-09,KSL,EQ,99.0,98.0,100.5,92.55,94.1,94.0,94.74,45597,432001450000.0,,25448,0.5581
2010-12-10,KSL,EQ,94.0,94.0,97.5,90.1,96.0,96.65,94.83,76095,721605070000.0,,39077,0.5135000000000001
2010-12-13,KSL,EQ,96.65,97.0,99.0,96.0,98.0,97.65,97.61,38650,377266820000.0,,24594,0.6363000000000001
2010-12-14,KSL,EQ,97.65,92.05,107.9,92.05,105.7,105.65,104.7,101563,1063326400000.0,,40030,0.39409999999999995
2010-12-15,KSL,EQ,105.65,107.45,113.25,104.55,107.3,108.0,109.54,274690,3008954965000.0,,61664,0.2245
2010-12-16,KSL,EQ,108.0,108.6,111.9,107.2,108.5,108.75,109.45,119214,1304817825000.0,,42595,0.35729999999999995
2010-12-20,KSL,EQ,108.75,108.9,110.8,106.55,106.6,107.3,108.65,48434,526248059999.99994,,18090,0.3735
2010-12-21,KSL,EQ,107.3,107.9,109.5,107.05,107.4,107.4,108.22,31869,344892805000.0,,13281,0.4167
2010-12-22,KSL,EQ,107.4,108.0,109.4,105.45,105.55,106.2,107.57,28455,306085400000.0,,11393,0.4004
2010-12-23,KSL,EQ,106.2,107.25,107.25,103.0,103.3,103.4,104.63,26971,282201825000.0,,15715,0.5827
2010-12-24,KSL,EQ,103.4,103.4,108.6,101.05,106.15,105.8,104.27,46962,489657820000.0,,22433,0.4777
2010-12-27,KSL,EQ,105.8,106.3,112.0,106.0,106.95,107.05,109.43,190069,2079933260000.0002,,59443,0.3127
2010-12-28,KSL,EQ,107.05,107.9,109.25,106.95,107.65,107.35,107.8,43929,473555645000.0,,19337,0.44020000000000004
2010-12-29,KSL,EQ,107.35,107.6,108.4,105.5,106.9,106.75,107.09,32571,348811035000.0,,14198,0.43590000000000007
2010-12-30,KSL,EQ,106.75,106.9,107.8,105.85,106.0,106.15,106.51,19158,204048940000.0,,10375,0.5415
2010-12-31,KSL,EQ,106.15,106.5,107.95,106.5,106.85,106.8,107.09,38231,409403220000.0,,25245,0.6603
2011-01-03,KSL,EQ,106.8,107.05,117.45,107.05,115.4,115.0,114.43,637716,7297513630000.0,,136646,0.2143
2011-01-04,KSL,EQ,115.0,116.05,119.4,115.75,116.2,116.6,117.8,357967,4216684895000.0005,,78302,0.2187
2011-01-05,KSL,EQ,116.6,116.0,117.4,111.1,111.8,111.7,113.71,62746,713486820000.0,,29955,0.47740000000000005
2011-01-06,KSL,EQ,111.7,112.9,113.8,109.6,110.2,110.45,112.0,48810,546655159999.99994,,28304,0.5799000000000001
2011-01-07,KSL,EQ,110.45,111.2,111.2,103.0,104.0,104.7,107.0,64702,692294055000.0,,37598,0.5811000000000001
2011-01-10,KSL,EQ,104.7,104.95,105.25,100.2,100.25,100.75,102.31,52688,539036100000.0,,22956,0.43570000000000003
2011-01-11,KSL,EQ,100.75,100.05,104.65,97.0,101.65,99.9,101.79,96496,982257440000.0,,24601,0.2549
