Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2011-01-05,KTIL,EQ,113.75,117.0,127.45,112.95,115.0,114.85,119.91,54533,653918095000.0,,14269,0.26170000000000004
2011-01-06,KTIL,EQ,114.85,110.25,116.0,104.2,108.8,108.25,109.18,3998,43652135000.0,,2617,0.6546
2011-01-07,KTIL,EQ,108.25,106.25,108.45,101.0,102.05,102.6,103.1,3944,40661660000.0,,2626,0.6658
2011-01-10,KTIL,EQ,102.6,98.0,101.9,97.4,98.0,98.1,98.83,1689,16693010000.0,,1354,0.8017000000000001
2011-01-11,KTIL,EQ,98.1,96.0,102.0,96.0,100.0,100.05,100.23,1251,12538675000.0,,1244,0.9944
2011-01-12,KTIL,EQ,100.05,96.0,105.4,96.0,100.0,100.0,98.14,749,7350785000.000001,,624,0.8331000000000001
2011-01-13,KTIL,EQ,100.0,96.4,102.0,96.4,102.0,99.4,98.6,452,4456880000.0,,450,0.9956
2011-01-14,KTIL,EQ,99.4,95.25,100.0,95.25,98.0,97.2,96.42,411,3962800000.0,,319,0.7762000000000001
2011-01-17,KTIL,EQ,97.2,91.3,94.0,91.3,93.1,93.1,92.99,432,4017069999.9999995,,369,0.8542000000000001
2011-01-18,KTIL,EQ,93.1,98.5,98.9,93.0,97.0,95.25,95.0,1079,10249975000.0,,770,0.7136
2011-01-19,KTIL,EQ,95.25,95.0,97.0,95.0,97.0,97.0,95.83,120,1149900000.0,,120,1.0
2011-01-20,KTIL,EQ,97.0,91.35,98.0,91.35,97.5,97.5,94.76,215,2037425000.0,,110,0.5115999999999999
2011-01-21,KTIL,EQ,97.5,91.45,95.0,91.45,92.65,92.8,92.82,240,2227725000.0,,189,0.7875
2011-01-24,KTIL,EQ,92.8,94.9,95.0,94.9,95.0,95.0,94.99,150,1424900000.0,,140,0.9333
2011-01-25,KTIL,EQ,95.0,93.0,94.8,91.95,91.95,91.95,92.02,694,6386495000.0,,575,0.8285
2011-01-27,KTIL,EQ,91.95,90.2,96.0,90.2,96.0,96.0,90.4,262,2368550000.0,,250,0.9542
