Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2019-10-23,KUANTUM,EQ,455.0,455.8,455.8,439.85,455.0,447.5,448.04,108,4838810000.0,5,7,0.06480000000000001
2019-10-24,KUANTUM,EQ,447.5,440.05,454.95,435.0,445.0,445.0,438.24,684,29975665000.000004,14,583,0.8523000000000001
2019-10-25,KUANTUM,EQ,445.0,400.05,447.0,400.05,447.0,447.0,434.62,212,9213875000.0,11,107,0.5047
2019-10-27,KUANTUM,EQ,447.0,459.9,500.0,430.0,488.95,498.65,478.79,434,20779310000.0,21,330,0.7604000000000001
2019-10-29,KUANTUM,EQ,498.65,488.95,494.8,455.0,457.3,457.35,463.01,119,5509805000.0,8,3,0.0252
2019-10-30,KUANTUM,EQ,457.35,460.0,487.85,457.35,472.0,477.65,479.69,626,30028775000.0,44,554,0.885
2019-10-31,KUANTUM,EQ,477.65,480.0,480.0,458.75,467.95,467.95,460.95,279,12860550000.0,12,136,0.4875
2019-11-01,KUANTUM,EQ,467.95,426.05,494.95,426.05,461.1,461.1,461.79,263,12145115000.0,5,255,0.9695999999999999
2019-11-04,KUANTUM,EQ,461.1,460.0,460.05,460.0,460.05,460.05,460.02,225,10350380000.0,43,175,0.7778
2019-11-05,KUANTUM,EQ,460.05,460.05,470.0,455.05,470.0,470.0,464.84,204,9482815000.0,11,154,0.7549
2019-11-06,KUANTUM,EQ,470.0,499.95,499.95,470.0,470.0,470.0,475.15,49,2328215000.0,12,49,1.0
2019-11-07,KUANTUM,EQ,470.0,457.5,458.0,454.95,458.0,455.35,455.44,625,28464750000.0,16,525,0.84
2019-11-08,KUANTUM,EQ,455.35,460.0,468.0,440.1,450.0,449.85,457.61,65,2974455000.0,10,59,0.9077
2019-11-11,KUANTUM,EQ,449.85,421.0,449.95,421.0,437.0,437.0,434.38,335,14551600000.0,12,225,0.6716
2019-11-13,KUANTUM,EQ,437.0,437.0,472.0,432.65,465.0,452.8,449.55,517,23241760000.0,22,315,0.6093000000000001
2019-11-14,KUANTUM,EQ,452.8,464.95,480.0,436.5,461.0,470.55,469.56,2263,106261675000.0,51,2084,0.9209
2019-11-15,KUANTUM,EQ,470.55,475.05,475.05,410.0,410.0,451.15,451.55,963,43484290000.0,67,937,0.973
2019-11-18,KUANTUM,EQ,451.15,475.0,480.0,425.0,480.0,475.2,470.86,1131,53254200000.0,50,921,0.8143000000000001
2019-11-19,KUANTUM,EQ,475.2,476.0,476.0,432.4,470.0,470.0,458.11,329,15071815000.0,47,197,0.5988
2019-11-20,KUANTUM,EQ,470.0,450.0,469.95,450.0,465.0,463.2,455.5,63,2869680000.0,15,37,0.5872999999999999
2019-11-21,KUANTUM,EQ,463.2,446.0,495.0,446.0,455.0,457.85,459.75,353,16229290000.0,19,219,0.6204
2019-11-22,KUANTUM,EQ,457.85,488.0,488.0,418.05,446.2,451.15,471.93,2627,123974870000.0,99,2036,0.775
2019-11-25,KUANTUM,EQ,451.15,442.05,467.7,442.0,447.05,454.1,447.78,82,3671760000.0,17,50,0.6098
2019-11-26,KUANTUM,EQ,454.1,441.05,458.0,441.05,458.0,453.65,445.69,112,4991730000.0,25,82,0.7321
2019-11-27,KUANTUM,EQ,453.65,445.0,450.9,431.2,432.15,432.85,443.27,911,40381810000.0,26,730,0.8013
2019-11-28,KUANTUM,EQ,432.85,440.0,458.0,435.25,452.65,436.85,443.45,1282,56850769999.99999,77,803,0.6264000000000001
2019-11-29,KUANTUM,EQ,436.85,466.9,470.0,440.05,465.0,463.15,462.46,2559,118344789999.99998,289,1187,0.46390000000000003
2019-12-02,KUANTUM,EQ,463.15,459.95,459.95,435.5,435.5,440.35,443.63,71,3149805000.0,17,33,0.4648
2019-12-03,KUANTUM,EQ,440.35,432.0,459.75,432.0,447.2,434.95,441.97,803,35490205000.0,98,226,0.28140000000000004
2019-12-04,KUANTUM,EQ,434.95,434.4,450.0,432.05,450.0,442.9,441.42,30,1324255000.0,16,6,0.2
2019-12-05,KUANTUM,EQ,442.9,449.9,453.9,441.6,442.0,442.6,445.66,225,10027270000.0,11,104,0.4622
2019-12-06,KUANTUM,EQ,442.6,463.75,470.0,445.0,460.0,463.25,455.22,187,8512650000.0,81,93,0.49729999999999996
