Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-10-04,KWALITY,EQ,110.8,113.8,114.9,110.3,111.5,111.6,111.55,512984,5722082480000.0,,112496,0.2193
2010-10-05,KWALITY,EQ,111.6,111.0,112.65,110.0,110.5,110.35,110.82,511881,5672565580000.0,,59847,0.1169
2010-10-06,KWALITY,EQ,110.35,112.8,113.9,111.05,111.75,111.9,111.86,524627,5868321280000.0,,68161,0.12990000000000002
2010-10-07,KWALITY,EQ,111.9,113.85,113.85,110.15,110.4,110.75,111.44,511774,5702982460000.0,,57461,0.11230000000000001
2010-10-08,KWALITY,EQ,110.75,113.5,114.5,110.0,112.25,112.55,112.73,517318,5831691900000.0,,102966,0.19899999999999998
2010-10-11,KWALITY,EQ,112.55,113.05,117.4,112.0,114.5,114.9,113.69,619033,7037946745000.0,,118848,0.192
2010-10-12,KWALITY,EQ,114.9,115.0,116.4,113.3,113.6,113.55,114.12,503917,5750547605000.0,,72798,0.1445
2010-10-13,KWALITY,EQ,113.55,113.6,114.8,112.25,113.2,112.95,113.49,493319,5598720790000.0,,34187,0.0693
2010-10-14,KWALITY,EQ,112.95,114.2,114.2,111.5,113.5,113.15,112.86,488176,5509430425000.0,,48429,0.0992
2010-10-15,KWALITY,EQ,113.15,115.9,117.8,113.0,116.05,116.05,115.62,536376,6201732355000.0,,130257,0.24280000000000002
2010-10-18,KWALITY,EQ,116.05,120.0,120.0,115.0,115.95,115.65,115.89,512736,5942014630000.0,,91411,0.1783
2010-10-19,KWALITY,EQ,115.65,115.7,118.0,115.55,117.2,116.55,116.28,521395,6062674375000.0,,69430,0.1332
2010-10-20,KWALITY,EQ,116.55,118.5,118.5,116.35,118.0,117.45,116.81,487445,5693767360000.0,,60688,0.1245
2010-10-21,KWALITY,EQ,117.45,119.8,119.8,116.9,117.8,118.1,117.92,506884,5977185115000.0,,63222,0.1247
2010-10-22,KWALITY,EQ,118.1,119.8,120.35,118.0,119.95,119.9,119.3,526348,6279394575000.0,,125472,0.2384
2010-10-25,KWALITY,EQ,119.9,123.0,123.0,117.5,117.8,118.4,118.96,430604,5122482890000.0,,76720,0.1782
2010-10-26,KWALITY,EQ,118.4,117.6,119.75,117.6,119.75,119.2,118.05,542333,6402249615000.0,,136102,0.251
2010-10-27,KWALITY,EQ,119.2,120.8,122.8,118.05,121.7,121.6,120.9,515618,6233702960000.0,,83219,0.16140000000000002
2010-10-28,KWALITY,EQ,121.6,128.0,128.0,121.5,122.9,122.3,122.83,692265,8502768100000.0,,94101,0.1359
2010-10-29,KWALITY,EQ,122.3,123.0,124.3,121.05,124.0,123.45,122.97,527166,6482630870000.0,,111162,0.2109
2010-11-01,KWALITY,EQ,123.45,125.05,125.6,121.05,121.95,121.5,123.29,459553,5665709945000.0,,105999,0.23070000000000002
2010-11-02,KWALITY,EQ,121.5,122.8,122.8,120.35,121.0,121.1,121.0,214956,2601065605000.0,,76379,0.3553
2010-11-03,KWALITY,EQ,121.1,121.35,124.95,121.35,123.55,124.5,123.32,271535,3348523505000.0,,98246,0.3618
2010-11-04,KWALITY,EQ,124.5,126.0,130.95,123.55,128.5,127.9,127.83,658617,8419408859999.999,,150997,0.2293
2010-11-05,KWALITY,EQ,127.9,130.9,130.9,126.0,126.05,128.0,128.44,203685,2616141585000.0,,46033,0.226
2010-11-08,KWALITY,EQ,128.0,121.95,130.1,121.95,129.0,129.15,127.27,609044,7751602720000.0,,165017,0.27090000000000003
2010-11-09,KWALITY,EQ,129.15,133.5,133.5,126.5,126.55,127.0,128.54,514253,6610269110000.0,,73927,0.1438
2010-11-10,KWALITY,EQ,127.0,129.8,129.8,124.5,128.25,128.35,127.33,550823,7013469334999.999,,81253,0.1475
2010-11-11,KWALITY,EQ,128.35,129.0,129.5,126.0,126.95,126.3,128.41,521215,6693163070000.0,,66145,0.12689999999999999
