Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2015-12-23,LALPATHLAB,EQ,550.0,720.0,843.7,711.15,834.5,825.0,778.45,22217904,1729547292130000.0,493577,4617581,0.2078
2015-12-24,LALPATHLAB,EQ,825.0,838.0,908.7,836.0,899.3,896.05,877.41,9238499,810595926910000.0,204600,430414,0.0466
2015-12-28,LALPATHLAB,EQ,896.05,900.0,907.0,828.0,838.7,835.35,851.8,3424225,291676433640000.0,87786,432809,0.1264
2015-12-29,LALPATHLAB,EQ,835.35,842.0,849.75,798.1,807.9,811.0,824.24,2644667,217984807060000.0,71464,402412,0.1522
2015-12-30,LALPATHLAB,EQ,811.0,812.9,828.3,803.0,805.0,806.6,814.72,1307644,106536390585000.0,34867,177054,0.1354
2015-12-31,LALPATHLAB,EQ,806.6,810.0,819.7,785.0,802.55,804.45,806.46,1411591,113839544665000.02,38488,133778,0.09480000000000001
2016-01-01,LALPATHLAB,EQ,804.45,807.5,819.35,801.0,802.95,803.6,808.28,682083,55131677710000.0,19559,107237,0.1572
2016-01-04,LALPATHLAB,EQ,803.6,801.9,824.0,793.1,814.0,812.15,812.4,1288717,104694985575000.0,36208,209283,0.1624
2016-01-05,LALPATHLAB,EQ,812.15,816.4,829.0,807.95,812.55,817.05,818.75,778749,63760064404999.99,24682,155255,0.19940000000000002
2016-01-06,LALPATHLAB,EQ,817.05,817.0,864.0,810.25,836.8,835.85,841.91,1825228,153668423845000.0,53683,332854,0.18239999999999998
2016-01-07,LALPATHLAB,EQ,835.85,822.0,830.0,800.0,802.5,803.8,813.71,373132,30362209230000.0,14951,113307,0.3037
2016-01-08,LALPATHLAB,EQ,803.8,811.0,822.0,805.0,805.0,806.9,812.32,328208,26660897345000.0,14215,109317,0.3331
2016-01-11,LALPATHLAB,EQ,806.9,803.0,804.9,786.6,794.5,797.05,794.95,354808,28205421214999.996,15126,128321,0.3617
2016-01-12,LALPATHLAB,EQ,797.05,799.8,816.0,797.0,802.8,802.2,805.94,371860,29969661320000.0,17676,134270,0.3611
2016-01-13,LALPATHLAB,EQ,802.2,809.45,814.9,776.35,802.5,799.65,798.24,438596,35010601445000.0,17287,138319,0.3154
2016-01-14,LALPATHLAB,EQ,799.65,772.35,820.9,772.35,818.0,814.5,802.79,370832,29770048885000.004,20976,102962,0.2777
2016-01-15,LALPATHLAB,EQ,814.5,824.0,824.0,782.0,782.5,789.1,807.19,147545,11909648065000.0,6789,45535,0.3086
2016-01-18,LALPATHLAB,EQ,789.1,780.0,792.45,765.1,777.0,771.85,774.43,172923,13391676240000.0,11643,65092,0.3764
2016-01-19,LALPATHLAB,EQ,771.85,776.95,777.0,705.0,719.1,722.2,727.48,970683,70614790695000.0,38812,508502,0.5239
2016-01-20,LALPATHLAB,EQ,722.2,714.0,748.0,696.5,722.6,720.35,720.26,686899,49474754000000.0,38265,360315,0.5246000000000001
2016-01-21,LALPATHLAB,EQ,720.35,729.8,737.7,725.0,732.0,728.95,730.19,120661,8810509710000.0,8547,39395,0.3265
