Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-10-04,LAOPALA,EQ,60.4,61.0,61.4,59.55,60.25,60.0,60.21,9033,54387950000.0,,6928,0.767
2010-10-05,LAOPALA,EQ,60.0,60.5,62.0,59.7,61.15,61.2,61.29,11626,71259925000.0,,8049,0.6923
2010-10-06,LAOPALA,EQ,61.2,62.0,65.65,62.0,63.65,64.15,64.33,39184,252078310000.0,,24387,0.6224000000000001
2010-10-07,LAOPALA,EQ,64.15,65.15,73.8,64.0,68.85,68.5,69.92,121275,847932565000.0,,44683,0.36840000000000006
2010-10-08,LAOPALA,EQ,68.5,66.0,77.9,66.0,73.55,73.75,74.9,205254,1537286335000.0,,56663,0.2761
2010-10-11,LAOPALA,EQ,73.75,70.0,77.0,70.0,73.0,73.1,73.88,48254,356508010000.0,,15161,0.31420000000000003
2010-10-12,LAOPALA,EQ,73.1,73.95,76.85,70.6,75.0,74.55,74.76,53431,399445620000.0,,15125,0.2831
2010-10-13,LAOPALA,EQ,74.55,73.75,75.7,72.05,72.4,72.8,74.17,12701,94208835000.0,,7654,0.6026
2010-10-14,LAOPALA,EQ,72.8,72.25,74.95,71.2,71.4,71.4,72.82,7589,55263519999.99999,,5018,0.6612
2010-10-15,LAOPALA,EQ,71.4,71.0,74.0,67.5,68.35,68.55,69.93,19967,139634395000.0,,13016,0.6519
2010-10-18,LAOPALA,EQ,68.55,68.0,70.0,67.25,68.0,68.3,68.9,6580,45333575000.0,,4338,0.6593000000000001
2010-10-19,LAOPALA,EQ,68.3,71.5,71.5,68.05,70.0,68.75,70.04,13075,91580735000.0,,8755,0.6696
2010-10-20,LAOPALA,EQ,68.75,68.1,70.0,68.0,69.6,68.75,68.85,4753,32726170000.0,,2645,0.5565
2010-10-21,LAOPALA,EQ,68.75,70.0,70.8,68.0,68.05,68.45,68.9,5702,39285925000.0,,3621,0.635
2010-10-22,LAOPALA,EQ,68.45,69.1,71.9,68.35,70.55,70.65,70.54,32844,231668290000.0,,14083,0.4288
2010-10-25,LAOPALA,EQ,70.65,70.75,73.45,70.55,71.0,70.95,71.73,19646,140924330000.0,,10351,0.5269
2010-10-26,LAOPALA,EQ,70.95,70.35,72.9,70.0,71.05,71.1,71.33,12742,90889100000.0,,7579,0.5948
2010-10-27,LAOPALA,EQ,71.1,70.55,72.5,70.0,70.25,70.4,70.66,19434,137312939999.99998,,13873,0.7139
2010-10-28,LAOPALA,EQ,70.4,72.0,74.5,71.0,72.2,71.85,72.97,26461,193096595000.0,,14767,0.5581
2010-10-29,LAOPALA,EQ,71.85,72.0,72.85,70.3,71.35,70.7,70.97,8141,57778610000.0,,6622,0.8134
2010-11-01,LAOPALA,EQ,70.7,70.5,73.5,70.5,71.8,72.1,72.09,8513,61370435000.0,,7209,0.8468000000000001
2010-11-02,LAOPALA,EQ,72.1,72.0,75.75,71.65,74.45,74.45,73.89,21435,158386470000.0,,15608,0.7282
2010-11-03,LAOPALA,EQ,74.45,72.95,73.6,71.7,72.0,72.4,72.7,6066,44097565000.0,,3951,0.6513
2010-11-04,LAOPALA,EQ,72.4,71.8,86.0,71.7,83.0,82.9,82.77,450115,3725625845000.0005,,103438,0.2298
2010-11-05,LAOPALA,EQ,82.9,87.0,87.0,83.5,85.25,85.1,85.4,60898,520056209999.99994,,24701,0.4056
