Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2018-02-22,LASA,EQ,115.95,114.55,121.7,110.2,121.7,121.7,114.68,291437,3342188560000.0,2149,164029,0.5628000000000001
2018-02-23,LASA,EQ,121.7,127.0,127.75,123.25,127.75,127.75,126.41,104184,1317019440000.0,465,74922,0.7191
2018-02-26,LASA,EQ,127.75,129.9,129.95,121.4,121.4,121.4,124.49,218052,2714572220000.0,1333,155520,0.7132
2018-02-27,LASA,EQ,121.4,118.25,126.0,115.35,119.3,119.35,118.23,178737,2113239300000.0,1463,97613,0.5461
2018-02-28,LASA,EQ,119.35,117.0,125.3,115.55,120.2,120.7,121.9,211178,2574347810000.0,1337,127830,0.6053000000000001
2018-03-01,LASA,EQ,120.7,119.3,121.25,114.8,115.0,116.0,117.55,138606,1629287295000.0,938,109486,0.7898999999999999
2018-03-05,LASA,EQ,116.0,115.0,117.25,110.75,113.0,112.25,112.35,124590,1399708910000.0,1009,83024,0.6664
2018-03-06,LASA,EQ,112.25,113.0,115.55,106.65,107.0,107.05,110.75,84462,935399755000.0001,1010,56563,0.6697
2018-03-07,LASA,EQ,107.05,107.0,107.0,101.7,101.7,102.1,103.9,120025,1247039950000.0,1208,85357,0.7112
2018-03-08,LASA,EQ,102.1,101.75,104.5,97.0,97.0,97.0,97.73,235818,2304729690000.0,1117,177103,0.751
2018-03-09,LASA,EQ,97.0,94.25,95.8,92.15,92.15,92.15,92.7,318708,2954492660000.0,1500,164132,0.515
2018-03-12,LASA,EQ,92.15,92.2,94.05,87.55,87.55,87.65,88.48,539738,4775820540000.0,2021,241105,0.44670000000000004
2018-03-13,LASA,EQ,87.65,85.6,91.95,83.3,90.55,90.6,87.19,753716,6571538965000.0,3580,292821,0.3885
2018-03-14,LASA,EQ,90.6,89.95,95.1,87.7,95.1,95.1,93.31,408891,3815424229999.9995,1867,128942,0.3153
2018-03-15,LASA,EQ,95.1,97.7,99.85,95.0,99.85,99.85,98.56,120714,1189764030000.0,604,72715,0.6024
2018-03-16,LASA,EQ,99.85,104.0,104.8,102.5,104.8,104.8,104.51,175882,1838116880000.0,748,130146,0.74
2018-03-19,LASA,EQ,104.8,107.0,110.0,99.6,100.5,99.85,105.66,447346,4726619970000.0,2075,285081,0.6373
2018-03-20,LASA,EQ,99.85,99.0,103.8,95.1,97.25,97.15,99.46,155206,1543683720000.0,1308,68520,0.4415
2018-03-21,LASA,EQ,97.15,98.1,99.9,92.3,92.3,92.45,96.52,166724,1609276670000.0,1148,111167,0.6668000000000001
2018-03-22,LASA,EQ,92.45,92.5,93.0,87.85,87.85,88.6,90.15,186792,1683884310000.0002,1507,106627,0.5708
2018-03-23,LASA,EQ,88.6,84.2,87.85,84.2,87.7,87.4,85.89,127103,1091736650000.0,833,78500,0.6176
2018-03-26,LASA,EQ,87.4,87.9,87.9,84.2,85.1,85.8,85.58,177034,1515106645000.0,1042,132071,0.746
2018-03-27,LASA,EQ,85.8,87.7,90.05,87.7,90.05,90.05,89.69,38011,340920390000.0,248,30021,0.7898000000000001
2018-03-28,LASA,EQ,90.05,92.15,92.65,89.0,91.0,90.15,90.71,160414,1455114555000.0,1096,113497,0.7075
2018-04-02,LASA,EQ,90.15,93.6,94.65,92.0,94.65,94.65,94.1,30000,282312555000.0,178,26437,0.8812000000000001
2018-04-03,LASA,EQ,94.65,99.35,99.35,97.0,99.35,99.35,99.19,117628,1166706530000.0,513,72441,0.6158
2018-04-04,LASA,EQ,99.35,104.3,104.3,97.6,101.8,101.25,102.51,329164,3374395695000.0005,1629,101283,0.30770000000000003
2018-04-05,LASA,EQ,101.25,105.25,106.3,102.55,106.3,106.3,105.39,153269,1615321835000.0,914,79940,0.5216
2018-04-06,LASA,EQ,106.3,107.8,108.0,101.15,102.5,103.5,103.78,155195,1610672285000.0,1176,82111,0.5291
2018-04-09,LASA,EQ,103.5,103.5,108.0,102.8,105.95,105.8,105.4,75906,800070555000.0,758,41577,0.5477000000000001
2018-04-10,LASA,EQ,105.8,107.2,107.2,96.3,101.15,101.6,102.4,88421,905434469999.9999,983,49563,0.5605
2018-04-11,LASA,EQ,101.6,101.6,102.9,100.0,100.05,100.15,101.22,37573,380306285000.0,563,23581,0.6276
