Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-10-04,LOKESHMACH,EQ,55.6,56.0,57.95,55.25,56.65,56.65,56.76,28220,160165800000.0,,17153,0.6078
2010-10-05,LOKESHMACH,EQ,56.65,56.7,58.65,56.1,57.2,57.45,57.66,78488,452569995000.0,,37805,0.4817
2010-10-06,LOKESHMACH,EQ,57.45,58.0,59.4,57.25,58.3,58.4,58.43,58057,339200420000.0,,35023,0.6033
2010-10-07,LOKESHMACH,EQ,58.4,60.3,66.3,59.55,62.7,62.55,63.77,750412,4785090065000.0,,210303,0.2803
2010-10-08,LOKESHMACH,EQ,62.55,63.1,67.0,61.5,64.5,64.65,65.57,562649,3689449670000.0005,,147694,0.2625
2010-10-11,LOKESHMACH,EQ,64.65,65.0,66.0,63.55,63.7,63.7,64.5,85227,549690805000.0,,42965,0.5041
2010-10-12,LOKESHMACH,EQ,63.7,62.15,65.0,61.45,62.0,61.9,62.43,70584,440636325000.0,,45387,0.643
2010-10-13,LOKESHMACH,EQ,61.9,63.4,63.4,61.8,62.0,62.0,62.14,42831,266159900000.0,,28318,0.6612
2010-10-14,LOKESHMACH,EQ,62.0,62.0,66.8,61.0,63.15,63.3,65.02,225382,1465330205000.0,,91780,0.4072
2010-10-15,LOKESHMACH,EQ,63.3,63.55,64.7,62.8,64.0,63.45,63.87,65149,416115685000.0,,39738,0.61
2010-10-18,LOKESHMACH,EQ,63.45,63.0,65.95,62.0,65.4,65.75,64.57,70859,457556920000.0,,39136,0.5523
2010-10-19,LOKESHMACH,EQ,65.75,70.9,72.75,66.55,69.25,69.7,69.73,537735,3749516640000.0,,230968,0.42950000000000005
2010-10-20,LOKESHMACH,EQ,69.7,68.05,69.7,67.1,68.35,67.8,68.43,58353,399303245000.0,,31898,0.5466
2010-10-21,LOKESHMACH,EQ,67.8,68.95,71.75,67.8,68.65,68.85,70.22,67354,472970930000.0,,33594,0.4988
2010-10-22,LOKESHMACH,EQ,68.85,70.65,70.65,67.95,68.45,68.05,68.66,32205,221115415000.0,,20420,0.6341
2010-10-25,LOKESHMACH,EQ,68.05,69.5,69.9,67.1,67.1,67.85,68.27,28398,193885195000.0,,20181,0.7106
2010-10-26,LOKESHMACH,EQ,67.85,66.75,68.3,65.7,65.7,66.55,66.92,29396,196710245000.0,,25440,0.8654000000000001
2010-10-27,LOKESHMACH,EQ,66.55,66.95,66.95,64.6,65.0,65.0,65.45,33912,221958954999.99997,,25734,0.7587999999999999
2010-10-28,LOKESHMACH,EQ,65.0,65.05,65.05,63.8,63.9,64.0,64.28,29793,191523530000.0,,19365,0.65
2010-10-29,LOKESHMACH,EQ,64.0,63.55,64.7,62.5,63.65,62.9,63.36,16418,104031225000.0,,12609,0.768
