Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-10-04,LOTUSEYE,EQ,16.75,16.9,17.1,16.6,16.7,16.65,16.75,46918,78596190000.0,,30098,0.6415000000000001
2010-10-05,LOTUSEYE,EQ,16.65,16.7,16.9,16.6,16.7,16.65,16.7,36914,61650085000.0,,22825,0.6183
2010-10-06,LOTUSEYE,EQ,16.65,16.8,17.0,16.6,16.75,16.75,16.86,57559,97016380000.0,,36227,0.6294
2010-10-07,LOTUSEYE,EQ,16.75,16.7,18.9,16.7,17.8,18.0,18.06,660362,1192699130000.0,,213984,0.324
2010-10-08,LOTUSEYE,EQ,18.0,18.4,18.9,17.5,17.9,17.75,18.3,157458,288187710000.0,,62474,0.3968
2010-10-11,LOTUSEYE,EQ,17.75,18.0,18.45,17.7,17.7,17.9,18.06,60702,109656160000.00002,,35657,0.5874
2010-10-12,LOTUSEYE,EQ,17.9,17.9,18.1,17.2,17.5,17.35,17.52,60050,105208570000.0,,37295,0.6211
2010-10-13,LOTUSEYE,EQ,17.35,17.5,17.75,17.25,17.3,17.35,17.47,55130,96319470000.0,,32605,0.5914
2010-10-14,LOTUSEYE,EQ,17.35,17.75,17.75,17.15,17.55,17.4,17.39,60251,104760180000.0,,42140,0.6994
2010-10-15,LOTUSEYE,EQ,17.4,17.6,18.8,17.2,17.8,18.05,18.34,351779,645231130000.0,,187006,0.5316
2010-10-18,LOTUSEYE,EQ,18.05,18.1,18.9,18.05,18.45,18.5,18.57,200806,372989690000.0,,124765,0.6213000000000001
2010-10-19,LOTUSEYE,EQ,18.5,18.9,19.35,17.9,17.9,18.0,18.35,127903,234652740000.0,,96169,0.7519
2010-10-20,LOTUSEYE,EQ,18.0,18.35,18.35,17.7,17.7,17.8,17.87,32751,58509680000.00001,,19921,0.6083
2010-10-21,LOTUSEYE,EQ,17.8,17.6,18.2,17.6,17.85,17.8,17.93,56155,100673560000.0,,32488,0.5785
2010-10-22,LOTUSEYE,EQ,17.8,18.3,18.5,17.7,17.8,17.95,18.02,71747,129283664999.99998,,39973,0.5571
2010-10-25,LOTUSEYE,EQ,17.95,18.0,18.25,17.65,17.75,17.8,17.9,68077,121858010000.00002,,41224,0.6055
2010-10-26,LOTUSEYE,EQ,17.8,17.9,18.2,17.6,17.65,17.7,17.8,36854,65599075000.0,,26018,0.706
2010-10-27,LOTUSEYE,EQ,17.7,17.7,17.95,17.5,17.55,17.55,17.69,35608,62974960000.0,,22723,0.6381
2010-10-28,LOTUSEYE,EQ,17.55,17.95,18.1,17.15,17.15,17.35,17.7,50034,88559265000.0,,25960,0.5188
2010-10-29,LOTUSEYE,EQ,17.35,17.9,17.9,17.0,17.0,17.05,17.13,122723,210261725000.0,,80267,0.6541
2010-11-01,LOTUSEYE,EQ,17.05,17.15,17.85,17.1,17.5,17.35,17.31,60286,104370150000.0,,51136,0.8482
2010-11-02,LOTUSEYE,EQ,17.35,17.15,17.75,17.15,17.45,17.35,17.39,41957,72946035000.0,,29535,0.7039
2010-11-03,LOTUSEYE,EQ,17.35,17.2,18.3,17.2,17.65,17.55,17.7,125639,222345125000.0,,70728,0.5629
2010-11-04,LOTUSEYE,EQ,17.55,17.25,17.75,17.15,17.35,17.35,17.47,56160,98115270000.0,,31743,0.5652
2010-11-05,LOTUSEYE,EQ,17.35,17.7,18.0,17.2,17.75,17.65,17.59,15377,27040845000.0,,14434,0.9387000000000001
2010-11-08,LOTUSEYE,EQ,17.65,17.35,18.0,17.35,17.95,17.9,17.77,50084,88990355000.0,,35680,0.7123999999999999
2010-11-09,LOTUSEYE,EQ,17.9,18.15,18.15,17.55,17.85,17.9,17.91,63745,114160635000.00002,,48630,0.7629000000000001
2010-11-10,LOTUSEYE,EQ,17.9,17.55,18.4,17.55,18.25,18.1,18.13,86010,155898735000.0,,48790,0.5673
2010-11-11,LOTUSEYE,EQ,18.1,18.25,18.9,17.8,18.0,17.95,18.28,164426,300504725000.0,,66998,0.40750000000000003
2010-11-12,LOTUSEYE,EQ,17.95,17.6,19.65,17.6,19.65,19.3,19.06,735358,1401254890000.0,,366901,0.4989
2010-11-15,LOTUSEYE,EQ,19.3,19.95,19.95,18.2,18.25,18.35,18.85,238241,449089359999.99994,,120053,0.5039
2010-11-16,LOTUSEYE,EQ,18.35,18.5,19.35,18.1,18.4,18.45,18.73,315887,591656030000.0,,141449,0.44780000000000003
2010-11-18,LOTUSEYE,EQ,18.45,18.5,19.0,17.9,17.95,18.0,18.13,105481,191228350000.0,,53240,0.5047
2010-11-19,LOTUSEYE,EQ,18.0,18.0,18.3,17.1,17.7,17.6,17.86,76062,135829500000.0,,53584,0.7045
2010-11-22,LOTUSEYE,EQ,17.6,17.65,18.0,17.15,17.35,17.35,17.39,63363,110192645000.0,,40951,0.6463
2010-11-23,LOTUSEYE,EQ,17.35,17.25,17.5,16.2,16.75,16.7,16.82,66716,112207135000.00002,,47267,0.7084999999999999
2010-11-24,LOTUSEYE,EQ,16.7,16.75,17.25,16.7,16.75,16.85,16.99,37123,63067694999.99999,,29540,0.7957
2010-11-25,LOTUSEYE,EQ,16.85,16.75,17.2,16.35,16.9,16.75,16.77,50784,85178300000.0,,24688,0.48610000000000003
2010-11-26,LOTUSEYE,EQ,16.75,16.9,17.0,15.2,15.7,15.65,15.75,122545,193011090000.0,,80869,0.6598999999999999
2010-11-29,LOTUSEYE,EQ,15.65,15.5,16.4,15.25,15.45,15.4,15.46,43235,66834769999.99999,,22608,0.5229
2010-11-30,LOTUSEYE,EQ,15.4,15.4,16.3,15.2,16.0,15.85,15.79,39474,62327040000.0,,20597,0.5218
2010-12-01,LOTUSEYE,EQ,15.85,15.9,16.5,15.9,16.5,16.4,16.33,31193,50939065000.0,,21080,0.6758
2010-12-02,LOTUSEYE,EQ,16.4,16.35,16.75,16.3,16.3,16.4,16.51,30983,51159720000.0,,20847,0.6729
2010-12-03,LOTUSEYE,EQ,16.4,16.25,16.55,15.7,15.7,15.8,16.03,37051,59409794999.99999,,21793,0.5882000000000001
2010-12-06,LOTUSEYE,EQ,15.8,15.6,16.2,15.6,15.9,15.8,15.84,25701,40716905000.0,,16623,0.6468
2010-12-07,LOTUSEYE,EQ,15.8,15.6,15.9,15.2,15.4,15.45,15.46,38065,58853960000.0,,27128,0.7127
2010-12-08,LOTUSEYE,EQ,15.45,15.3,16.0,15.1,15.2,15.25,15.36,41869,64292460000.0,,26139,0.6243
2010-12-09,LOTUSEYE,EQ,15.25,15.45,15.45,14.1,14.4,14.3,14.77,53286,78712220000.0,,38766,0.7275
2010-12-10,LOTUSEYE,EQ,14.3,14.1,15.25,13.6,14.75,14.4,14.35,53496,76761855000.0,,32286,0.6035
2010-12-13,LOTUSEYE,EQ,14.4,14.0,15.2,14.0,15.1,15.05,14.89,46468,69210055000.0,,29785,0.6409999999999999
2010-12-14,LOTUSEYE,EQ,15.05,15.0,15.15,14.8,14.85,15.0,15.0,19079,28616890000.000004,,9526,0.4993
2010-12-15,LOTUSEYE,EQ,15.0,14.9,15.15,14.25,14.75,14.6,14.76,16307,24061640000.0,,10669,0.6543000000000001
2010-12-16,LOTUSEYE,EQ,14.6,14.65,14.8,14.35,14.7,14.65,14.57,29775,43377745000.0,,19484,0.6544
2010-12-20,LOTUSEYE,EQ,14.65,14.6,14.8,14.35,14.4,14.4,14.48,22826,33052815000.000004,,8980,0.3934
2010-12-21,LOTUSEYE,EQ,14.4,14.45,14.85,14.45,14.7,14.7,14.62,31435,45955305000.0,,21353,0.6793000000000001
2010-12-22,LOTUSEYE,EQ,14.7,14.5,14.85,14.3,14.6,14.6,14.52,38831,56367394999.99999,,19836,0.5108
2010-12-23,LOTUSEYE,EQ,14.6,14.5,14.9,14.5,14.75,14.75,14.7,16264,23912785000.0,,12471,0.7668
2010-12-24,LOTUSEYE,EQ,14.75,14.45,14.9,14.45,14.75,14.8,14.78,10533,15572340000.0,,8876,0.8427
2010-12-27,LOTUSEYE,EQ,14.8,14.5,14.85,14.5,14.6,14.65,14.69,14710,21607690000.0,,10158,0.6906
2010-12-28,LOTUSEYE,EQ,14.65,14.5,14.65,14.5,14.5,14.5,14.54,9237,13427990000.0,,6419,0.6949
2010-12-29,LOTUSEYE,EQ,14.5,14.5,14.9,14.5,14.6,14.6,14.59,20747,30275555000.0,,13216,0.637
2010-12-30,LOTUSEYE,EQ,14.6,14.55,14.95,14.45,14.85,14.75,14.78,27402,40512770000.0,,17587,0.6418
2010-12-31,LOTUSEYE,EQ,14.75,14.75,15.15,14.55,14.9,15.05,14.9,36093,53772630000.00001,,26492,0.7340000000000001
2011-01-03,LOTUSEYE,EQ,15.05,14.65,15.4,14.65,15.4,15.35,15.11,42750,64614560000.0,,31208,0.73
2011-01-04,LOTUSEYE,EQ,15.35,15.5,15.5,14.75,15.05,15.0,15.26,30699,46852700000.0,,19493,0.635
2011-01-05,LOTUSEYE,EQ,15.0,15.0,15.1,14.7,14.7,14.7,14.88,10537,15673800000.0,,7069,0.6709
2011-01-06,LOTUSEYE,EQ,14.7,14.65,14.95,14.55,14.7,14.6,14.63,14335,20976900000.0,,11708,0.8167
2011-01-07,LOTUSEYE,EQ,14.6,14.3,14.75,14.1,14.1,14.2,14.33,17375,24905060000.0,,12457,0.7169
2011-01-10,LOTUSEYE,EQ,14.2,14.2,14.2,13.75,14.1,13.95,13.97,48792,68179405000.00001,,39189,0.8031999999999999
2011-01-11,LOTUSEYE,EQ,13.95,14.0,14.15,13.3,13.55,13.35,13.5,42980,58016635000.0,,30008,0.6981999999999999
2011-01-12,LOTUSEYE,EQ,13.35,14.35,14.35,13.25,13.85,13.65,13.47,12761,17188720000.0,,7743,0.6068
2011-01-13,LOTUSEYE,EQ,13.65,14.0,14.0,13.55,13.95,13.7,13.79,7878,10865065000.0,,5825,0.7394
2011-01-14,LOTUSEYE,EQ,13.7,13.5,14.2,13.25,13.25,13.45,13.65,21412,29217470000.0,,16345,0.7634000000000001
2011-01-17,LOTUSEYE,EQ,13.45,13.25,13.75,12.95,13.15,13.05,13.22,40421,53454750000.0,,30242,0.7482
2011-01-18,LOTUSEYE,EQ,13.05,13.15,13.4,12.9,13.35,13.1,13.15,30503,40116065000.0,,19503,0.6394
2011-01-19,LOTUSEYE,EQ,13.1,13.1,13.5,12.85,13.25,13.0,13.17,22807,30035270000.0,,18365,0.8052
2011-01-20,LOTUSEYE,EQ,13.0,13.0,13.4,12.9,13.2,13.15,13.1,13416,17571120000.0,,8267,0.6162
2011-01-21,LOTUSEYE,EQ,13.15,13.0,13.4,13.0,13.0,13.05,13.1,14599,19117650000.0,,11542,0.7906000000000001
2011-01-24,LOTUSEYE,EQ,13.05,13.05,13.15,12.9,13.0,12.95,12.98,18536,24054445000.0,,14514,0.783
2011-01-25,LOTUSEYE,EQ,12.95,13.0,13.45,12.45,12.7,12.9,12.99,20759,26960070000.0,,12221,0.5887
2011-01-27,LOTUSEYE,EQ,12.9,12.95,12.95,12.1,12.25,12.25,12.44,37631,46824935000.0,,27523,0.7314
2011-01-28,LOTUSEYE,EQ,12.25,12.5,12.5,11.85,11.85,12.0,12.1,58589,70892950000.0,,45055,0.7690000000000001
2011-01-31,LOTUSEYE,EQ,12.0,12.2,12.2,11.3,12.0,11.9,11.81,35712,42185520000.0,,22095,0.6187
2011-02-01,LOTUSEYE,EQ,11.9,12.2,12.2,11.0,12.0,11.85,11.66,47846,55809860000.0,,23086,0.4825
2011-02-02,LOTUSEYE,EQ,11.85,12.2,12.2,11.75,11.85,11.85,11.94,20782,24820915000.0,,14085,0.6777
2011-02-03,LOTUSEYE,EQ,11.85,11.7,12.0,11.5,12.0,11.9,11.89,22497,26760130000.0,,14263,0.634
2011-02-04,LOTUSEYE,EQ,11.9,11.65,12.15,11.65,11.7,11.8,11.83,11637,13768820000.000002,,7494,0.644
2011-02-07,LOTUSEYE,EQ,11.8,11.4,11.65,11.25,11.55,11.5,11.49,20963,24082850000.0,,16092,0.7676000000000001
2011-02-08,LOTUSEYE,EQ,11.5,11.55,11.55,10.9,11.0,11.1,11.29,40494,45707985000.0,,25866,0.6388
2011-02-09,LOTUSEYE,EQ,11.1,11.2,11.35,10.05,11.0,10.75,10.72,47393,50805950000.0,,33441,0.7056
2011-02-10,LOTUSEYE,EQ,10.75,10.75,10.75,10.25,10.65,10.45,10.49,17003,17834055000.0,,11394,0.6701
2011-02-11,LOTUSEYE,EQ,10.45,10.4,11.0,10.4,11.0,11.0,10.96,139100,152467530000.0,,127278,0.915
2011-02-14,LOTUSEYE,EQ,11.0,11.25,12.0,11.1,12.0,11.95,11.79,42465,50053545000.0,,31084,0.7320000000000001
2011-02-15,LOTUSEYE,EQ,11.95,11.95,12.0,11.5,11.55,11.7,11.94,51014,60907915000.0,,41196,0.8075
