Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2011-03-24,LOVABLE,EQ,205.0,240.0,278.9,240.0,252.35,249.55,259.18,23297573,603816074135000.0,,1931207,0.08289999999999999
2011-03-25,LOVABLE,EQ,249.55,228.6,257.4,228.6,251.9,249.85,244.91,6981895,170994882475000.0,,531502,0.0761
2011-03-28,LOVABLE,EQ,249.85,248.3,264.6,243.4,252.5,252.55,256.23,4448178,113973784445000.0,,223637,0.050300000000000004
2011-03-29,LOVABLE,EQ,252.55,253.0,254.65,240.2,240.2,245.65,249.31,1374953,34279228750000.0,,169944,0.1236
2011-03-30,LOVABLE,EQ,245.65,246.5,252.5,242.0,245.0,245.75,247.5,1200774,29719447905000.0,,125414,0.10439999999999999
2011-03-31,LOVABLE,EQ,245.75,247.0,251.85,243.4,245.15,245.35,246.8,473717,11691225125000.0,,86691,0.18300000000000002
2011-04-01,LOVABLE,EQ,245.35,246.5,249.95,245.0,246.3,246.3,246.73,304447,7511508545000.0,,56432,0.18539999999999998
2011-04-04,LOVABLE,EQ,246.3,247.4,294.3,244.55,293.95,289.85,277.4,8280306,229696240365000.0,,640468,0.07730000000000001
2011-04-05,LOVABLE,EQ,289.85,294.4,299.5,278.4,283.9,284.85,288.2,4091004,117902320295000.0,,346559,0.08470000000000001
2011-04-06,LOVABLE,EQ,284.85,284.85,286.8,274.2,277.95,276.8,279.38,1133174,31659134580000.0,,175363,0.15480000000000002
2011-04-07,LOVABLE,EQ,276.8,250.0,302.2,250.0,290.75,292.05,292.04,4340402,126758851409999.98,,307123,0.0708
2011-04-08,LOVABLE,EQ,292.05,260.0,293.3,260.0,280.1,280.85,284.86,737810,21016941745000.0,,126694,0.17170000000000002
2011-04-11,LOVABLE,EQ,280.85,280.0,285.9,267.8,279.0,276.15,274.94,978372,26899426095000.0,,114617,0.11720000000000001
2011-04-13,LOVABLE,EQ,276.15,274.75,285.85,273.35,277.5,281.05,281.1,752996,21166893890000.0,,129109,0.17149999999999999
2011-04-15,LOVABLE,EQ,281.05,281.85,292.0,279.0,287.9,287.25,286.88,966259,27719574850000.0,,149199,0.1544
2011-04-18,LOVABLE,EQ,287.25,288.9,318.2,288.1,306.8,306.1,304.76,3486424,106251933880000.0,,324626,0.0931
2011-04-19,LOVABLE,EQ,306.1,300.7,317.0,300.7,309.9,309.85,311.8,2168508,67614632804999.99,,166531,0.0768
2011-04-20,LOVABLE,EQ,309.85,312.0,313.6,302.15,307.0,305.95,306.89,569926,17490609925000.0,,88062,0.1545
2011-04-21,LOVABLE,EQ,305.95,306.25,328.4,304.85,314.0,314.95,320.6,2087579,66928259510000.0,,201254,0.09640000000000001
2011-04-25,LOVABLE,EQ,314.95,315.0,323.9,313.1,321.0,319.0,319.1,831863,26544592210000.0,,121901,0.14650000000000002
2011-04-26,LOVABLE,EQ,319.0,320.0,330.8,316.6,327.85,326.65,324.9,1182549,38421143985000.0,,111846,0.09460000000000002
2011-04-27,LOVABLE,EQ,326.65,300.0,342.0,300.0,341.4,338.85,334.84,1353283,45313554790000.0,,191553,0.14150000000000001
2011-04-28,LOVABLE,EQ,338.85,343.0,349.4,341.0,344.0,345.15,345.69,878148,30357122655000.0,,129445,0.1474
2011-04-29,LOVABLE,EQ,345.15,344.0,347.0,321.7,328.55,329.15,334.39,853785,28549953725000.0,,111086,0.1301
2011-05-02,LOVABLE,EQ,329.15,330.0,336.0,323.3,334.5,333.9,330.66,611374,20215966460000.0,,56573,0.0925
2011-05-03,LOVABLE,EQ,333.9,332.45,335.8,321.3,321.9,322.85,328.67,364446,11978125925000.0,,68161,0.187
2011-05-04,LOVABLE,EQ,322.85,322.45,328.9,320.05,325.2,326.85,324.75,261507,8492457959999.999,,45647,0.1746
2011-05-05,LOVABLE,EQ,326.85,325.0,332.7,304.35,308.0,309.2,321.22,441444,14180020835000.0,,78736,0.1784
2011-05-06,LOVABLE,EQ,309.2,311.75,314.75,276.6,301.35,299.25,293.89,1133973,33326467410000.004,,106840,0.0942
2011-05-06,LOVABLE,EQ,309.2,311.75,314.75,276.6,301.35,299.25,293.89,1133973,33326467410000.004,,106840,0.0942
2011-05-09,LOVABLE,EQ,299.25,301.95,324.0,301.05,323.4,320.55,314.05,842423,26455942365000.0,,125964,0.1495
2011-05-10,LOVABLE,EQ,320.55,321.25,327.7,315.7,326.25,326.05,322.33,540655,17426928535000.0,,55207,0.10210000000000001
2011-05-11,LOVABLE,EQ,326.05,326.35,333.0,325.05,327.0,329.1,329.25,414982,13663429680000.002,,68796,0.16579999999999998
2011-05-12,LOVABLE,EQ,329.1,327.1,330.0,316.65,321.45,320.25,323.66,200441,6487523890000.0,,36167,0.1804
2011-05-13,LOVABLE,EQ,320.25,322.4,326.8,319.6,321.7,321.8,323.07,129597,4186846235000.0,,14290,0.1103
2011-05-16,LOVABLE,EQ,321.8,318.0,322.4,313.0,315.0,314.7,317.6,129769,4121519675000.0,,22403,0.17260000000000003
2011-05-17,LOVABLE,EQ,314.7,317.4,317.4,303.55,308.9,308.85,310.54,177530,5512973790000.0,,43254,0.2436
2011-05-18,LOVABLE,EQ,308.85,310.3,313.75,300.1,308.6,310.1,308.85,254283,7853460634999.999,,33959,0.1335
2011-05-19,LOVABLE,EQ,310.1,312.0,315.5,307.55,310.75,310.9,311.93,138684,4325916270000.0005,,19197,0.1384
2011-05-20,LOVABLE,EQ,310.9,312.35,313.9,301.0,309.35,307.8,307.92,128373,3952915279999.9995,,19450,0.1515
2011-05-23,LOVABLE,EQ,307.8,314.0,314.0,303.1,304.65,305.0,306.38,78903,2417460225000.0,,16601,0.2104
2011-05-24,LOVABLE,EQ,305.0,305.0,309.1,295.55,300.35,301.7,302.0,165476,4997353490000.0,,44510,0.269
2011-05-25,LOVABLE,EQ,301.7,300.3,303.4,285.0,295.45,295.25,294.56,165443,4873355855000.0,,50025,0.3024
2011-05-26,LOVABLE,EQ,295.25,296.0,308.4,296.0,297.8,299.3,303.11,299571,9080423350000.0,,90964,0.3036
2011-05-27,LOVABLE,EQ,299.3,301.0,306.45,296.15,297.6,297.9,301.12,152909,4604439210000.0,,65122,0.42590000000000006
2011-05-30,LOVABLE,EQ,297.9,300.1,311.4,297.3,306.0,306.15,306.29,269561,8256493175000.0,,48262,0.179
2011-05-31,LOVABLE,EQ,306.15,308.0,314.8,306.15,311.5,310.7,310.43,212491,6596301880000.0,,52060,0.245
2011-06-01,LOVABLE,EQ,310.7,314.85,319.9,307.6,317.45,317.25,316.15,187010,5912326865000.0,3790.0,53826,0.2878
2011-06-02,LOVABLE,EQ,317.25,317.0,325.9,311.0,325.9,324.35,321.02,294835,9464800125000.0,6435.0,79738,0.2704
2011-06-03,LOVABLE,EQ,324.35,325.3,329.9,320.95,321.0,323.2,325.16,127943,4160255550000.0,3111.0,30393,0.23760000000000003
2011-06-06,LOVABLE,EQ,323.2,324.0,327.65,313.75,314.2,314.8,318.34,127390,4055343815000.0,3373.0,41712,0.3274
2011-06-07,LOVABLE,EQ,314.8,314.8,327.0,312.3,326.25,324.95,320.35,194262,6223162970000.0,5249.0,68072,0.3504
2011-06-08,LOVABLE,EQ,324.95,324.4,332.6,320.0,320.35,321.85,326.64,192464,6286734710000.0,3541.0,74495,0.3871
2011-06-09,LOVABLE,EQ,321.85,320.55,324.5,317.55,321.7,322.3,321.26,55028,1767814714999.9998,2056.0,9945,0.1807
2011-06-10,LOVABLE,EQ,322.3,322.35,386.8,322.35,386.8,385.35,368.31,5746612,211652594095000.0,122599.0,417582,0.0727
2011-06-13,LOVABLE,EQ,385.35,390.0,402.7,372.25,392.0,391.05,386.94,5383247,208298418380000.0,104385.0,257788,0.0479
2011-06-14,LOVABLE,EQ,391.05,397.35,416.65,384.0,414.0,412.65,406.41,5008927,203567257690000.0,102711.0,230528,0.046
2011-06-15,LOVABLE,EQ,412.65,416.0,416.0,385.7,389.15,389.65,400.25,1936446,77505402905000.0,46121.0,234954,0.1213
2011-06-16,LOVABLE,EQ,389.65,379.75,463.8,379.75,443.1,448.4,431.2,10425826,449558208920000.0,208178.0,418814,0.0402
2011-06-17,LOVABLE,EQ,448.4,445.0,454.0,417.0,427.9,429.5,435.39,9069533,394876574825000.0,214647.0,292084,0.0322
2011-06-20,LOVABLE,EQ,429.5,429.0,442.3,395.25,397.0,402.1,420.45,4003138,168313775740000.0,95843.0,269189,0.0672
2011-06-21,LOVABLE,EQ,402.1,400.95,416.95,388.3,396.45,393.35,405.81,2115133,85834599420000.0,56509.0,141783,0.067
2011-06-22,LOVABLE,EQ,393.35,396.5,408.4,392.25,395.0,396.2,400.02,1565057,62606070875000.0,40659.0,100801,0.0644
