Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-10-04,LUMAXTECH,EQ,198.25,202.95,206.25,193.0,195.0,195.35,200.2,36444,729616065000.0,,25054,0.6875
2010-10-05,LUMAXTECH,EQ,195.35,194.0,199.5,194.0,198.0,197.2,197.53,28118,555424530000.0,,23180,0.8244
2010-10-06,LUMAXTECH,EQ,197.2,199.0,205.0,195.5,197.95,198.0,201.89,23469,473814570000.0,,18248,0.7775
2010-10-07,LUMAXTECH,EQ,198.0,203.7,203.7,191.25,192.9,192.45,195.41,12122,236881315000.0,,9034,0.7453000000000001
2010-10-08,LUMAXTECH,EQ,192.45,195.0,195.0,187.0,190.35,190.65,191.25,5212,99677210000.0,,4097,0.7861
2010-10-11,LUMAXTECH,EQ,190.65,191.5,202.0,191.5,200.0,199.9,199.41,57777,1152156965000.0,,49862,0.863
2010-10-12,LUMAXTECH,EQ,199.9,200.0,200.0,195.55,197.85,197.85,197.69,8023,158609880000.0,,5781,0.7206
2010-10-13,LUMAXTECH,EQ,197.85,196.0,201.8,196.0,199.5,199.8,199.9,29392,587546880000.0,,23959,0.8151999999999999
2010-10-14,LUMAXTECH,EQ,199.8,199.75,199.75,193.5,194.0,194.05,196.35,3461,67957840000.0,,2607,0.7533
2010-10-15,LUMAXTECH,EQ,194.05,195.05,198.85,193.05,194.0,194.85,194.6,3967,77196885000.0,,2484,0.6262
2010-10-18,LUMAXTECH,EQ,194.85,200.0,200.0,188.0,193.0,192.95,191.85,5804,111351230000.0,,3546,0.611
2010-10-19,LUMAXTECH,EQ,192.95,199.0,199.0,189.1,192.0,192.05,191.55,10127,193978160000.0,,6317,0.6238
2010-10-20,LUMAXTECH,EQ,192.05,192.0,192.0,184.0,187.05,187.65,186.85,15796,295148555000.0,,12407,0.7855
2010-10-21,LUMAXTECH,EQ,187.65,186.0,193.0,186.0,190.55,191.9,189.2,9229,174616745000.0,,8459,0.9166
2010-10-22,LUMAXTECH,EQ,191.9,194.0,194.0,190.0,191.0,191.0,191.04,2616,49975040000.0,,2535,0.9690000000000001
2010-10-25,LUMAXTECH,EQ,191.0,198.6,198.6,192.0,196.0,195.0,194.89,28224,550054045000.0,,27506,0.9745999999999999
2010-10-26,LUMAXTECH,EQ,195.0,196.85,196.85,194.0,195.0,195.0,195.01,67057,1307652790000.0,,66529,0.9921
2010-10-27,LUMAXTECH,EQ,195.0,196.0,199.25,191.55,195.0,195.2,195.89,4141,81118575000.0,,3242,0.7829
2010-10-28,LUMAXTECH,EQ,195.2,197.65,200.0,193.05,194.7,193.25,196.81,16243,319672845000.0,,15713,0.9673999999999999
2010-10-29,LUMAXTECH,EQ,193.25,191.1,196.0,188.05,189.0,189.2,192.45,4454,85716555000.0,,3045,0.6837000000000001
2010-11-01,LUMAXTECH,EQ,189.2,187.0,193.0,187.0,190.0,190.7,190.39,3614,68806055000.0,,2800,0.7748
2010-11-02,LUMAXTECH,EQ,190.7,190.5,196.75,190.5,193.25,193.7,192.5,2020,38885400000.0,,1930,0.9554
2010-11-03,LUMAXTECH,EQ,193.7,196.0,198.0,195.0,196.0,195.15,195.96,8096,158646630000.0,,6383,0.7884000000000001
2010-11-04,LUMAXTECH,EQ,195.15,193.5,200.0,193.5,196.0,196.6,196.55,6727,132217464999.99998,,5165,0.7678
2010-11-05,LUMAXTECH,EQ,196.6,195.0,202.0,195.0,199.0,199.9,200.08,17526,350664355000.0,,15916,0.9081
2010-11-08,LUMAXTECH,EQ,199.9,198.0,200.0,194.15,195.05,195.05,195.52,9661,188888820000.0,,9275,0.96
2010-11-09,LUMAXTECH,EQ,195.05,196.0,200.0,195.0,200.0,198.95,198.24,23766,471142384999.99994,,20439,0.86
2010-11-10,LUMAXTECH,EQ,198.95,198.0,207.0,198.0,203.2,205.55,203.81,98277,2002957285000.0002,,58532,0.5956
2010-11-11,LUMAXTECH,EQ,205.55,209.5,209.9,202.4,205.0,205.05,205.37,37069,761290055000.0,,28199,0.7606999999999999
2010-11-12,LUMAXTECH,EQ,205.05,209.0,216.9,205.05,213.25,214.35,214.52,219569,4710294030000.0,,170486,0.7765000000000001
2010-11-15,LUMAXTECH,EQ,214.35,219.5,223.0,209.5,210.85,211.5,216.23,70586,1526296340000.0,,39975,0.5663
2010-11-16,LUMAXTECH,EQ,211.5,211.25,214.0,195.05,207.4,199.75,202.78,23416,474820130000.0,,16441,0.7021
2010-11-18,LUMAXTECH,EQ,199.75,199.0,200.95,189.4,199.1,199.25,196.8,11320,222779660000.0,,7324,0.647
2010-11-19,LUMAXTECH,EQ,199.25,195.5,197.95,190.0,196.0,195.9,193.57,19955,386271955000.0,,14216,0.7123999999999999
2010-11-22,LUMAXTECH,EQ,195.9,193.0,197.0,190.0,197.0,195.7,194.38,8917,173325405000.0,,7549,0.8466
2010-11-23,LUMAXTECH,EQ,195.7,195.0,201.0,186.5,201.0,195.5,194.41,8649,168146210000.0,,6962,0.8049
2010-11-24,LUMAXTECH,EQ,195.5,193.05,198.0,192.5,196.0,194.5,193.85,1732,33575445000.0,,1470,0.8487
2010-11-25,LUMAXTECH,EQ,194.5,198.0,198.0,188.5,191.7,191.05,190.47,4611,87827735000.0,,3421,0.7419
2010-11-26,LUMAXTECH,EQ,191.05,191.0,192.9,180.1,190.0,190.1,187.65,40866,766850790000.0,,35767,0.8752
2010-11-29,LUMAXTECH,EQ,190.1,191.0,191.0,181.2,181.55,182.8,183.19,20838,381729235000.0,,19970,0.9583
2010-11-30,LUMAXTECH,EQ,182.8,181.1,192.95,178.0,185.05,188.45,182.57,17978,328224300000.0,,13112,0.7293000000000001
2010-12-01,LUMAXTECH,EQ,188.45,185.0,186.95,183.1,185.0,185.05,185.02,42873,793220455000.0,,35592,0.8301999999999999
2010-12-02,LUMAXTECH,EQ,185.05,186.2,191.95,186.2,190.1,190.0,189.51,16709,316646105000.0,,13405,0.8023
2010-12-03,LUMAXTECH,EQ,190.0,187.25,194.75,183.5,183.55,184.05,186.92,10161,189925985000.0,,9690,0.9536
2010-12-06,LUMAXTECH,EQ,184.05,185.0,185.8,182.5,183.75,183.3,183.99,7370,135603964999.99998,,5916,0.8027
2010-12-07,LUMAXTECH,EQ,183.3,185.0,185.0,180.1,181.75,181.3,181.59,1219,22135410000.0,,805,0.6604000000000001
2010-12-08,LUMAXTECH,EQ,181.3,182.0,184.95,170.0,175.95,175.05,178.56,15529,277283175000.0,,12863,0.8283
2010-12-09,LUMAXTECH,EQ,175.05,176.0,176.9,162.0,165.0,171.15,168.4,78603,1323688350000.0,,60939,0.7753
2010-12-10,LUMAXTECH,EQ,171.15,165.0,173.0,163.0,171.0,172.1,167.17,60450,1010559000000.0,,48644,0.8047
2010-12-13,LUMAXTECH,EQ,172.1,170.85,178.6,165.0,170.0,170.0,172.25,8737,150495495000.0,,6727,0.7698999999999999
2010-12-14,LUMAXTECH,EQ,170.0,166.25,173.0,166.25,171.05,173.0,172.13,6715,115587750000.0,,5880,0.8756999999999999
2010-12-15,LUMAXTECH,EQ,173.0,175.0,176.95,165.05,165.05,168.95,173.05,3487,60340935000.0,,2840,0.8145
2010-12-16,LUMAXTECH,EQ,168.95,166.0,170.0,162.0,164.0,164.55,166.03,14873,246941035000.0,,11335,0.7621
2010-12-20,LUMAXTECH,EQ,164.55,164.0,164.7,159.95,163.0,162.7,161.22,24976,402671595000.0,,16179,0.6478
2010-12-21,LUMAXTECH,EQ,162.7,161.0,164.0,161.0,162.0,161.95,162.19,10986,178179520000.0,,10617,0.9664
2010-12-22,LUMAXTECH,EQ,161.95,162.0,168.0,162.0,168.0,166.75,165.74,6636,109986920000.0,,5011,0.7551000000000001
2010-12-23,LUMAXTECH,EQ,166.75,166.0,169.0,162.0,165.05,165.05,167.67,6490,108817825000.0,,5756,0.8869
2010-12-24,LUMAXTECH,EQ,165.05,170.0,171.0,166.1,170.05,170.05,170.22,2380,40512500000.0,,1980,0.8319
2010-12-27,LUMAXTECH,EQ,170.05,171.15,172.0,169.05,170.0,169.6,171.46,2612,44785990000.0,,2212,0.8469
2010-12-28,LUMAXTECH,EQ,169.6,166.5,173.0,166.25,170.85,172.45,171.96,5370,92344290000.0,,4628,0.8618000000000001
2010-12-29,LUMAXTECH,EQ,172.45,168.05,175.95,168.05,175.0,174.9,173.57,3541,61459469999.99999,,2753,0.7775
2010-12-30,LUMAXTECH,EQ,174.9,176.9,177.0,172.5,177.0,176.85,174.82,3794,66327285000.0,,2374,0.6257
2010-12-31,LUMAXTECH,EQ,176.85,174.0,181.0,172.0,174.05,174.5,177.15,4720,83617085000.0,,3481,0.7375
2011-01-03,LUMAXTECH,EQ,174.5,174.55,178.9,174.5,177.15,178.5,176.76,1665,29430850000.0,,1340,0.8048000000000001
2011-01-04,LUMAXTECH,EQ,178.5,172.15,181.05,172.15,179.8,179.9,179.84,3801,68355694999.99999,,3168,0.8334999999999999
2011-01-05,LUMAXTECH,EQ,179.9,180.0,180.0,175.55,178.95,178.25,179.08,760,13609750000.0,,740,0.9737000000000001
2011-01-06,LUMAXTECH,EQ,178.25,182.0,182.0,174.05,178.75,178.2,176.54,1727,30488934999.999996,,1225,0.7093
2011-01-07,LUMAXTECH,EQ,178.2,180.0,180.0,171.0,172.45,173.6,175.14,3896,68234415000.0,,2933,0.7528
2011-01-10,LUMAXTECH,EQ,173.6,164.05,173.0,162.1,165.0,164.35,165.07,10243,169078810000.0,,8788,0.858
2011-01-11,LUMAXTECH,EQ,164.35,158.05,186.9,158.05,163.1,163.1,164.95,1786,29460395000.0,,1557,0.8718000000000001
2011-01-12,LUMAXTECH,EQ,163.1,165.0,165.0,159.3,163.8,162.45,161.93,15633,253150950000.0,,14602,0.934
2011-01-13,LUMAXTECH,EQ,162.45,158.5,165.0,158.0,161.9,161.85,163.15,8417,137320750000.0,,6419,0.7626000000000001
2011-01-14,LUMAXTECH,EQ,161.85,160.2,162.85,160.0,162.45,161.5,161.3,1833,29566495000.0,,1041,0.5679
2011-01-17,LUMAXTECH,EQ,161.5,153.5,161.0,153.5,159.95,156.2,156.39,5901,92286670000.0,,5694,0.9649
2011-01-18,LUMAXTECH,EQ,156.2,159.9,162.6,154.65,162.0,161.1,160.32,20164,323266090000.0,,11850,0.5877
2011-01-19,LUMAXTECH,EQ,161.1,164.0,175.0,164.0,175.0,171.85,168.64,15215,256588015000.0,,12126,0.797
2011-01-20,LUMAXTECH,EQ,171.85,174.4,174.4,164.0,169.5,166.4,167.75,19856,333092755000.0,,11866,0.5976
2011-01-21,LUMAXTECH,EQ,166.4,162.6,170.75,162.6,170.75,170.55,168.07,1238,20806955000.0,,756,0.6107
2011-01-24,LUMAXTECH,EQ,170.55,163.25,172.95,163.25,172.95,170.95,168.56,2079,35043765000.0,,992,0.4772
2011-01-25,LUMAXTECH,EQ,170.95,174.0,174.3,165.1,168.0,167.9,168.89,3390,57252715000.0,,1977,0.5832
2011-01-27,LUMAXTECH,EQ,167.9,163.0,169.0,163.0,165.5,165.5,166.58,269,4480950000.0,,169,0.6283
2011-01-28,LUMAXTECH,EQ,165.5,165.0,165.0,153.0,160.0,160.05,156.67,16475,258113565000.0,,15569,0.9450000000000001
