Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-10-04,LYKALABS,EQ,32.95,32.5,34.5,32.5,33.8,34.15,33.85,450875,1526063480000.0,,210928,0.4678
2010-10-05,LYKALABS,EQ,34.15,33.85,35.35,33.75,34.5,34.85,34.63,305957,1059430115000.0,,129896,0.42460000000000003
2010-10-06,LYKALABS,EQ,34.85,34.9,35.8,34.45,34.75,34.65,35.04,191818,672142555000.0,,109676,0.5718
2010-10-07,LYKALABS,EQ,34.65,34.9,37.45,34.1,34.75,34.7,35.96,719468,2586932155000.0,,215819,0.3
2010-10-08,LYKALABS,EQ,34.7,35.5,36.0,34.55,35.55,35.4,35.39,249192,881973694999.9999,,107929,0.43310000000000004
2010-10-11,LYKALABS,EQ,35.4,35.9,36.1,34.1,35.2,34.9,35.38,105509,373292580000.0,,40303,0.38200000000000006
2010-10-12,LYKALABS,EQ,34.9,35.1,35.7,33.35,34.2,33.95,33.98,81351,276447910000.0,,27531,0.33840000000000003
2010-10-13,LYKALABS,EQ,33.95,33.8,35.2,33.8,34.4,34.4,34.55,98362,339871045000.0,,32623,0.33170000000000005
2010-10-14,LYKALABS,EQ,34.4,35.0,35.25,33.75,34.0,34.1,34.44,112399,387132745000.0,,32248,0.28690000000000004
2010-10-15,LYKALABS,EQ,34.1,34.1,34.25,33.0,33.05,33.35,33.62,61595,207090045000.0,,22067,0.3583
2010-10-18,LYKALABS,EQ,33.35,33.65,33.65,32.55,33.0,33.2,33.08,52115,172382345000.0,,20218,0.3879
2010-10-19,LYKALABS,EQ,33.2,33.6,33.75,32.5,32.55,32.7,33.24,29254,97238170000.0,,15975,0.5461
2010-10-20,LYKALABS,EQ,32.7,33.25,33.25,31.4,31.4,31.5,31.93,90655,289451335000.0,,64758,0.7143
2010-10-21,LYKALABS,EQ,31.5,32.2,32.6,31.8,32.15,32.25,32.24,85225,274789404999.99997,,42203,0.49520000000000003
2010-10-22,LYKALABS,EQ,32.25,32.9,33.1,32.1,32.2,32.3,32.64,65743,214603810000.0,,31317,0.4764
2010-10-25,LYKALABS,EQ,32.3,32.25,33.5,32.25,32.7,32.7,32.91,60851,200271365000.0,,33003,0.5424
2010-10-26,LYKALABS,EQ,32.7,32.4,33.25,32.25,32.5,32.45,32.76,38396,125797155000.0,,18446,0.4804
2010-10-27,LYKALABS,EQ,32.45,32.5,35.8,32.15,34.35,34.45,34.61,350407,1212799670000.0,,119167,0.3401
2010-10-28,LYKALABS,EQ,34.45,34.9,36.4,34.2,35.0,34.85,35.52,204157,725100720000.0,,107551,0.5268
2010-10-29,LYKALABS,EQ,34.85,35.5,35.55,32.5,34.1,33.8,34.35,97786,335892030000.0,,46735,0.4779
2010-11-01,LYKALABS,EQ,33.8,34.25,34.8,33.85,34.1,34.05,34.35,47676,163764195000.0,,39920,0.8373
2010-11-02,LYKALABS,EQ,34.05,34.0,35.9,33.25,34.8,35.15,35.18,187620,660007840000.0,,94120,0.5017
2010-11-03,LYKALABS,EQ,35.15,35.5,37.8,35.35,36.9,37.0,36.68,509288,1867912410000.0002,,226012,0.44380000000000003
2010-11-04,LYKALABS,EQ,37.0,39.5,39.5,36.15,36.6,36.7,36.95,173150,639759055000.0,,75960,0.4387
2010-11-05,LYKALABS,EQ,36.7,37.5,37.95,36.5,36.8,36.9,37.31,69318,258619204999.99997,,47979,0.6922
2010-11-08,LYKALABS,EQ,36.9,37.0,37.45,35.8,36.5,36.75,36.7,173923,638318980000.0,,59231,0.3406
2010-11-09,LYKALABS,EQ,36.75,38.0,42.0,37.4,38.15,38.25,38.36,506061,1941101485000.0002,,194288,0.3839
2010-11-10,LYKALABS,EQ,38.25,38.45,38.9,37.5,37.5,37.6,38.15,135127,515463755000.0,,59209,0.43820000000000003
2010-11-11,LYKALABS,EQ,37.6,37.5,38.5,35.75,36.45,36.2,37.27,129198,481558330000.0,,70757,0.5477000000000001
2010-11-12,LYKALABS,EQ,36.2,36.2,37.15,35.15,35.5,35.85,35.79,98670,353126540000.0,,57161,0.5793
2010-11-15,LYKALABS,EQ,35.85,37.5,38.5,35.45,35.75,35.9,36.51,206957,755572030000.0,,87564,0.42310000000000003
2010-11-16,LYKALABS,EQ,35.9,36.7,36.7,32.5,33.15,32.75,33.94,108672,368793175000.0,,66803,0.6147
2010-11-18,LYKALABS,EQ,32.75,32.9,33.7,30.25,31.45,31.35,31.32,146855,459885934999.99994,,77420,0.5272
2010-11-19,LYKALABS,EQ,31.35,31.85,32.25,30.3,30.8,30.75,31.21,73726,230117704999.99997,,45981,0.6237
2010-11-22,LYKALABS,EQ,30.75,31.5,31.85,31.0,31.7,31.6,31.44,30289,95242350000.0,,18166,0.5998
2010-11-23,LYKALABS,EQ,31.6,31.75,31.75,29.15,30.35,30.15,30.38,45731,138937000000.0,,28820,0.6302000000000001
2010-11-24,LYKALABS,EQ,30.15,30.3,31.0,30.05,30.2,30.3,30.44,16786,51103040000.0,,9210,0.5487
2010-11-25,LYKALABS,EQ,30.3,29.9,31.0,29.55,29.55,29.75,30.29,23967,72597205000.0,,14856,0.6199
2010-11-26,LYKALABS,EQ,29.75,30.5,30.5,26.15,28.7,28.05,28.15,54545,153520885000.0,,22660,0.4154
2010-11-29,LYKALABS,EQ,28.05,28.2,29.75,28.2,29.4,28.8,28.72,21722,62394955000.00001,,12747,0.5868
2010-11-30,LYKALABS,EQ,28.8,28.8,29.5,28.1,28.65,28.75,29.06,29283,85089435000.0,,18586,0.6347
2010-12-01,LYKALABS,EQ,28.75,28.9,31.3,28.9,30.6,30.85,30.51,44282,135083435000.00002,,24322,0.5493
2010-12-02,LYKALABS,EQ,30.85,31.75,31.9,30.05,31.5,31.25,31.27,41691,130367480000.0,,16053,0.385
2010-12-03,LYKALABS,EQ,31.25,31.0,31.1,29.6,29.7,29.75,30.12,27294,82219945000.0,,20508,0.7514000000000001
2010-12-06,LYKALABS,EQ,29.75,30.4,30.5,29.05,29.75,29.45,29.71,8657,25717590000.0,,6454,0.7454999999999999
2010-12-07,LYKALABS,EQ,29.45,29.5,29.9,27.85,28.65,28.6,28.59,42875,122569245000.0,,26097,0.6087
2010-12-08,LYKALABS,EQ,28.6,29.0,29.25,28.05,28.15,28.45,28.72,25440,73055150000.0,,13639,0.5361
2010-12-09,LYKALABS,EQ,28.45,28.85,28.85,26.0,26.1,26.3,27.18,27056,73534425000.0,,16436,0.6075
2010-12-10,LYKALABS,EQ,26.3,25.95,27.5,25.1,26.9,26.9,26.61,39093,104018380000.0,,21765,0.5567000000000001
2010-12-13,LYKALABS,EQ,26.9,27.8,29.75,27.8,28.9,29.15,28.96,128493,372099175000.0,,65293,0.5081
2010-12-14,LYKALABS,EQ,29.15,29.35,30.3,28.5,28.75,28.7,29.31,47223,138414560000.0,,18461,0.3909
2010-12-15,LYKALABS,EQ,28.7,28.65,28.65,28.0,28.3,28.2,28.27,23086,65272435000.0,,14367,0.6223
2010-12-16,LYKALABS,EQ,28.2,28.0,28.5,27.5,28.1,28.15,28.06,31053,87143255000.0,,20220,0.6511
2010-12-20,LYKALABS,EQ,28.15,28.95,29.1,28.05,29.0,28.7,28.73,26289,75523805000.0,,16379,0.623
2010-12-21,LYKALABS,EQ,28.7,28.6,29.0,28.4,28.55,28.55,28.71,6977,20028675000.0,,5000,0.7166
2010-12-22,LYKALABS,EQ,28.55,28.4,28.95,27.8,28.0,28.05,28.32,15339,43445500000.0,,11006,0.7175
2010-12-23,LYKALABS,EQ,28.05,28.1,28.5,27.5,27.8,27.6,27.86,27090,75468855000.0,,15960,0.5891
2010-12-24,LYKALABS,EQ,27.6,27.25,28.1,27.25,27.9,27.9,27.89,13964,38951875000.0,,9795,0.7014
2010-12-27,LYKALABS,EQ,27.9,28.6,30.0,28.1,28.5,28.35,28.86,83064,239761679999.99997,,39684,0.4778
2010-12-28,LYKALABS,EQ,28.35,28.05,28.5,27.9,28.0,28.1,28.19,19449,54832290000.0,,9186,0.4723
