Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-10-04,MADHAV,EQ,37.0,38.0,41.7,36.35,40.0,40.75,39.8,237626,945668460000.0,,49103,0.2066
2010-10-05,MADHAV,EQ,40.75,42.1,42.1,38.85,39.05,39.35,40.03,52399,209732595000.00003,,21288,0.40630000000000005
2010-10-06,MADHAV,EQ,39.35,39.1,41.7,38.4,38.7,39.1,40.02,78129,312664250000.0,,15124,0.1936
2010-10-07,MADHAV,EQ,39.1,39.85,40.25,38.5,38.55,38.65,39.26,21029,82564880000.0,,12930,0.6149
2010-10-08,MADHAV,EQ,38.65,39.2,39.2,37.7,38.1,38.3,38.37,23727,91044570000.0,,17970,0.7574
2010-10-11,MADHAV,EQ,38.3,37.75,39.15,37.75,38.25,38.35,38.45,19240,73980130000.0,,12778,0.6641
2010-10-12,MADHAV,EQ,38.35,38.0,38.75,37.8,37.9,37.95,38.13,18550,70724600000.0,,13863,0.7473000000000001
2010-10-13,MADHAV,EQ,37.95,38.45,38.85,38.1,38.15,38.45,38.39,5816,22328990000.0,,4250,0.7306999999999999
2010-10-14,MADHAV,EQ,38.45,38.45,38.75,38.15,38.2,38.4,38.43,12891,49539010000.0,,8700,0.6748999999999999
2010-10-15,MADHAV,EQ,38.4,38.6,38.7,37.5,38.0,38.2,38.29,21777,83374515000.0,,15877,0.7291
2010-10-18,MADHAV,EQ,38.2,42.0,42.0,37.0,38.5,38.3,38.52,22713,87491450000.0,,12622,0.5557
2010-10-19,MADHAV,EQ,38.3,38.5,39.2,37.05,37.5,37.8,38.09,9989,38046300000.0,,7791,0.78
2010-10-20,MADHAV,EQ,37.8,37.95,38.0,36.8,37.1,37.2,37.5,9682,36307670000.0,,6579,0.6795
2010-10-21,MADHAV,EQ,37.2,37.8,38.25,37.0,37.0,37.1,37.54,8085,30354059999.999996,,6773,0.8377
2010-10-22,MADHAV,EQ,37.1,37.5,38.9,37.25,37.55,37.75,37.77,15742,59455285000.0,,7795,0.49520000000000003
2010-10-25,MADHAV,EQ,37.75,38.85,38.85,36.6,37.0,36.9,37.12,13721,50933385000.0,,6668,0.48600000000000004
2010-10-26,MADHAV,EQ,36.9,36.05,36.95,35.6,36.0,36.1,36.35,7595,27605900000.0,,4571,0.6018
2010-10-27,MADHAV,EQ,36.1,35.9,36.6,34.6,35.25,34.8,35.43,19190,67988475000.0,,10767,0.5611
2010-10-28,MADHAV,EQ,34.8,35.45,35.45,34.0,34.15,34.4,34.71,11105,38550135000.0,,7741,0.6970999999999999
2010-10-29,MADHAV,EQ,34.4,34.75,34.75,33.5,33.75,33.55,33.89,8769,29717334999.999996,,6328,0.7216
2010-11-01,MADHAV,EQ,33.55,32.5,33.5,32.4,33.5,32.8,32.97,21000,69240075000.0,,19583,0.9325
2010-11-02,MADHAV,EQ,32.8,34.1,35.4,33.25,33.9,33.7,34.04,34718,118167110000.00002,,14836,0.42729999999999996
2010-11-03,MADHAV,EQ,33.7,34.4,34.45,33.7,34.45,34.2,34.19,6470,22119520000.0,,5139,0.7943000000000001
2010-11-04,MADHAV,EQ,34.2,34.2,34.75,33.35,34.0,34.05,33.93,7718,26189670000.0,,6540,0.8473999999999999
2010-11-05,MADHAV,EQ,34.05,33.1,34.3,33.1,34.0,33.9,34.11,3969,13537104999.999998,,3257,0.8206
2010-11-08,MADHAV,EQ,33.9,33.5,34.5,33.3,34.0,33.85,33.82,5011,16948250000.0,,3510,0.7005
2010-11-09,MADHAV,EQ,33.85,32.55,34.1,32.55,33.95,33.8,33.75,6700,22614660000.0,,5615,0.8381000000000001
2010-11-10,MADHAV,EQ,33.8,34.1,34.9,33.5,34.2,34.45,34.06,6086,20726600000.0,,4413,0.7251000000000001
2010-11-11,MADHAV,EQ,34.45,34.5,34.5,33.7,33.9,34.05,34.1,7336,25013050000.0,,4954,0.6753
2010-11-12,MADHAV,EQ,34.05,33.7,34.5,33.2,33.2,33.5,33.78,5862,19799095000.0,,3996,0.6817000000000001
2010-11-15,MADHAV,EQ,33.5,33.1,34.4,32.0,34.0,33.85,33.66,8303,27948840000.000004,,6210,0.7479000000000001
2010-11-16,MADHAV,EQ,33.85,33.05,34.15,32.0,33.45,33.1,33.23,15800,52496140000.0,,10017,0.634
2010-11-18,MADHAV,EQ,33.1,32.0,33.7,32.0,33.7,33.25,32.55,15839,51550535000.0,,9400,0.5935
2010-11-19,MADHAV,EQ,33.25,32.2,33.5,32.2,33.0,32.6,32.5,9941,32311650000.0,,7995,0.8042
2010-11-22,MADHAV,EQ,32.6,32.5,32.8,32.2,32.25,32.3,32.42,2020,6549375000.0,,1483,0.7342000000000001
2010-11-23,MADHAV,EQ,32.3,31.6,33.0,30.6,32.45,32.05,31.37,4716,14793265000.0,,3052,0.6472
2010-11-24,MADHAV,EQ,32.05,31.75,33.5,31.75,32.0,32.1,32.33,7685,24847685000.0,,7276,0.9468000000000001
2010-11-25,MADHAV,EQ,32.1,32.75,33.7,31.5,32.5,32.5,32.49,9456,30724190000.000004,,8996,0.9514
2010-11-26,MADHAV,EQ,32.5,34.0,34.0,29.7,29.7,30.15,30.73,14519,44614220000.0,,10565,0.7277
2010-11-29,MADHAV,EQ,30.15,29.0,30.55,29.0,30.5,30.35,30.17,5615,16938245000.000002,,4522,0.8053
2010-11-30,MADHAV,EQ,30.35,30.5,31.35,29.5,31.0,31.0,30.79,5173,15927054999.999998,,4199,0.8117000000000001
2010-12-01,MADHAV,EQ,31.0,35.3,35.3,30.0,31.35,31.6,31.99,1019,3259470000.0,,763,0.7488
2010-12-02,MADHAV,EQ,31.6,31.4,32.7,31.4,32.7,32.7,31.99,1532,4900500000.0,,1421,0.9275
2010-12-03,MADHAV,EQ,32.7,32.0,33.65,30.75,30.75,31.15,31.62,2682,8480445000.0,,1769,0.6596
2010-12-06,MADHAV,EQ,31.15,31.1,31.45,30.5,30.5,30.6,30.86,4532,13983679999.999998,,3350,0.7392000000000001
2010-12-07,MADHAV,EQ,30.6,35.15,35.15,30.65,31.0,31.15,32.78,5097,16705979999.999998,,2570,0.5042
2010-12-08,MADHAV,EQ,31.15,30.15,30.4,29.5,30.4,30.2,30.0,465,1395185000.0,,373,0.8022
2010-12-09,MADHAV,EQ,30.2,31.15,31.15,24.3,25.55,25.25,26.63,10662,28392030000.0,,7167,0.6722
2010-12-10,MADHAV,EQ,25.25,24.3,27.5,22.6,26.7,26.85,26.39,8879,23430945000.0,,5082,0.5724
2010-12-13,MADHAV,EQ,26.85,31.5,31.5,26.0,28.35,28.05,28.47,2772,7890670000.0,,2140,0.772
2010-12-14,MADHAV,EQ,28.05,27.3,28.85,27.15,28.0,27.55,27.76,3056,8483964999.999999,,1970,0.6446
2010-12-15,MADHAV,EQ,27.55,27.8,29.0,27.4,28.2,28.2,27.92,17689,49394595000.0,,4632,0.2619
2010-12-16,MADHAV,EQ,28.2,27.8,28.7,27.75,28.0,28.1,28.07,2870,8057045000.0,,2406,0.8383
2010-12-20,MADHAV,EQ,28.1,28.2,28.7,27.8,28.05,28.1,28.22,11954,33733555000.0,,9993,0.836
2010-12-21,MADHAV,EQ,28.1,27.1,29.0,27.0,28.15,28.2,28.38,3363,9544035000.0,,2755,0.8192
2010-12-22,MADHAV,EQ,28.2,26.5,30.0,26.5,27.8,27.3,27.93,6782,18940380000.0,,3600,0.5307999999999999
2010-12-23,MADHAV,EQ,27.3,26.7,28.25,26.7,27.0,27.15,27.25,15094,41136330000.0,,6708,0.44439999999999996
2010-12-24,MADHAV,EQ,27.15,26.1,28.0,26.1,27.0,27.25,27.4,12197,33419390000.000004,,6241,0.5117
2010-12-27,MADHAV,EQ,27.25,27.0,27.3,26.7,26.7,26.95,27.03,6439,17402175000.0,,2188,0.3398
2010-12-28,MADHAV,EQ,26.95,27.8,27.8,26.1,27.0,26.9,26.77,6236,16694020000.000002,,4661,0.7474
2010-12-29,MADHAV,EQ,26.9,27.25,27.3,26.85,27.3,27.3,27.09,1710,4632800000.0,,1210,0.7076000000000001
2010-12-30,MADHAV,EQ,27.3,27.0,27.3,26.8,27.0,27.0,27.02,3179,8588255000.0,,1651,0.5193
2010-12-31,MADHAV,EQ,27.0,26.55,27.5,26.55,26.85,26.95,27.16,2343,6363250000.0,,1565,0.6679
2011-01-03,MADHAV,EQ,26.95,27.1,28.8,27.1,28.7,28.75,28.23,3430,9684190000.0,,2745,0.8003
2011-01-04,MADHAV,EQ,28.75,28.7,28.7,28.05,28.05,28.2,28.27,6855,19380025000.0,,3819,0.5571
2011-01-05,MADHAV,EQ,28.2,28.1,28.4,27.6,27.8,27.6,27.86,1165,3246190000.0,,686,0.5888
2011-01-06,MADHAV,EQ,27.6,27.4,28.3,27.25,27.65,27.65,28.12,2169,6098680000.0,,1905,0.8783
2011-01-07,MADHAV,EQ,27.65,28.0,28.9,26.0,26.45,26.8,26.95,6586,17749120000.0,,3619,0.5495
2011-01-10,MADHAV,EQ,26.8,26.0,27.35,26.0,26.1,26.1,26.41,1366,3607755000.0000005,,589,0.43119999999999997
2011-01-11,MADHAV,EQ,26.1,24.7,26.8,24.65,25.5,25.5,25.93,1410,3656194999.9999995,,1249,0.8858
2011-01-12,MADHAV,EQ,25.5,24.75,27.45,24.75,26.45,26.5,25.83,5639,14562995000.000002,,3958,0.7019
2011-01-13,MADHAV,EQ,26.5,25.25,27.25,25.25,27.25,26.85,26.82,1757,4711470000.0,,1184,0.6739
2011-01-14,MADHAV,EQ,26.85,25.85,27.0,25.3,25.3,25.8,25.99,1627,4229135000.0,,1265,0.7775
2011-01-17,MADHAV,EQ,25.8,26.0,26.0,25.3,26.0,25.8,25.68,1556,3995340000.0,,1256,0.8072
2011-01-18,MADHAV,EQ,25.8,26.0,26.0,25.5,25.5,25.6,25.64,1632,4185225000.0,,1533,0.9393000000000001
2011-01-19,MADHAV,EQ,25.6,25.45,25.95,25.0,25.45,25.4,25.44,1226,3119540000.0,,652,0.5318
2011-01-20,MADHAV,EQ,25.4,24.2,24.95,24.15,24.7,24.7,24.47,1572,3847060000.0,,1070,0.6807
2011-01-21,MADHAV,EQ,24.7,24.2,26.0,24.15,25.2,25.45,25.58,1564,4000469999.9999995,,927,0.5927
2011-01-24,MADHAV,EQ,25.45,24.6,25.6,24.3,25.6,25.0,25.32,1515,3835640000.0,,1382,0.9122
2011-01-25,MADHAV,EQ,25.0,24.8,25.8,24.8,25.05,25.15,25.13,702,1763834999.9999998,,600,0.8547
2011-01-27,MADHAV,EQ,25.15,24.75,26.2,24.15,24.25,24.35,24.8,3565,8841085000.0,,1772,0.49710000000000004
