Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-10-04,MADRASFERT,EQ,20.75,20.4,21.6,20.3,20.65,20.65,20.96,144225,302272585000.0,,91387,0.6336
2010-10-05,MADRASFERT,EQ,20.65,20.35,21.1,20.35,20.45,20.5,20.69,62759,129838725000.0,,54462,0.8678
2010-10-06,MADRASFERT,EQ,20.5,20.55,22.35,20.55,21.5,21.35,21.42,476974,1021761025000.0,,321592,0.6742
2010-10-07,MADRASFERT,EQ,21.35,21.85,21.85,20.3,20.65,20.55,20.97,230265,482847170000.0,,170721,0.7414000000000001
2010-10-08,MADRASFERT,EQ,20.55,21.55,21.55,20.2,20.5,20.45,20.49,61417,125862305000.0,,52392,0.8531000000000001
2010-10-11,MADRASFERT,EQ,20.45,21.45,22.2,20.1,21.75,21.6,21.65,373536,808784850000.0,,228657,0.6121
2010-10-12,MADRASFERT,EQ,21.6,21.0,21.65,20.7,20.9,21.0,21.11,181549,383161485000.0,,106123,0.5845
2010-10-13,MADRASFERT,EQ,21.0,22.3,22.3,20.85,21.15,21.15,21.29,122234,260182104999.99997,,86035,0.7039
2010-10-14,MADRASFERT,EQ,21.15,21.15,23.2,21.0,21.8,21.95,22.32,1123009,2506912375000.0,,537671,0.47880000000000006
2010-10-15,MADRASFERT,EQ,21.95,22.0,23.0,20.85,21.1,21.1,22.01,482769,1062334260000.0,,212988,0.4412
2010-10-18,MADRASFERT,EQ,21.1,21.05,21.25,20.5,21.1,21.05,20.92,87170,182371530000.0,,47299,0.5426
2010-10-19,MADRASFERT,EQ,21.05,20.7,21.6,20.7,20.75,20.8,21.23,199779,424219080000.0,,103589,0.5185000000000001
2010-10-20,MADRASFERT,EQ,20.8,20.3,20.8,18.75,18.95,19.1,19.53,481824,941068319999.9999,,302701,0.6282
2010-10-21,MADRASFERT,EQ,19.1,19.25,19.65,18.9,19.25,19.15,19.22,120010,230646585000.0,,87484,0.7290000000000001
2010-10-22,MADRASFERT,EQ,19.15,19.4,20.65,18.75,20.5,20.15,19.95,357536,713226785000.0,,202600,0.5667
2010-10-25,MADRASFERT,EQ,20.15,20.5,20.5,19.75,19.95,19.95,20.07,142124,285279805000.0,,84594,0.5952000000000001
2010-10-26,MADRASFERT,EQ,19.95,20.0,20.5,19.65,19.75,19.75,20.05,154998,310781585000.0,,98011,0.6323
2010-10-27,MADRASFERT,EQ,19.75,19.8,20.0,19.35,19.6,19.55,19.7,85019,167454100000.0,,52986,0.6232
2010-10-28,MADRASFERT,EQ,19.55,19.5,20.0,19.5,19.5,19.55,19.69,60568,119234500000.0,,41450,0.6844
2010-10-29,MADRASFERT,EQ,19.55,19.9,19.95,18.85,19.3,19.0,19.23,138455,266246375000.0,,92478,0.6679
2010-11-01,MADRASFERT,EQ,19.0,19.75,19.9,19.3,19.5,19.55,19.56,53403,104431930000.0,,40718,0.7625000000000001
2010-11-02,MADRASFERT,EQ,19.55,19.5,20.3,19.0,19.4,19.55,19.77,203962,403173320000.0,,98749,0.4842
2010-11-03,MADRASFERT,EQ,19.55,19.95,21.55,19.85,20.9,20.7,21.11,947584,2000304285000.0002,,339975,0.3588
2010-11-04,MADRASFERT,EQ,20.7,20.9,21.0,19.75,20.2,20.4,20.32,204104,414765190000.0,,113136,0.5543
2010-11-05,MADRASFERT,EQ,20.4,20.9,24.5,20.9,23.7,23.3,23.42,860049,2014068860000.0002,,638715,0.7426
2010-11-08,MADRASFERT,EQ,23.3,23.6,27.8,22.8,26.65,26.8,26.1,2017797,5266551740000.0,,974365,0.4829
2010-11-09,MADRASFERT,EQ,26.8,26.8,29.35,25.0,28.3,28.4,27.85,1828619,5093476495000.0,,701472,0.3836
2010-11-10,MADRASFERT,EQ,28.4,28.0,30.7,27.5,28.7,28.95,29.42,2067068,6082008185000.0,,991774,0.4798
2010-11-11,MADRASFERT,EQ,28.95,28.6,29.7,26.6,27.7,27.45,28.42,1040760,2957581725000.0,,480631,0.4618
2010-11-12,MADRASFERT,EQ,27.45,27.9,28.25,25.6,26.2,25.95,26.82,780816,2094276089999.9998,,321337,0.4115
2010-11-15,MADRASFERT,EQ,25.95,26.7,26.75,24.3,25.65,25.45,25.34,547476,1387475920000.0,,198197,0.36200000000000004
2010-11-16,MADRASFERT,EQ,25.45,25.8,25.8,22.95,24.2,23.75,23.93,568767,1360775055000.0,,279243,0.49100000000000005
2010-11-18,MADRASFERT,EQ,23.75,24.0,24.9,22.0,23.5,23.45,23.75,410669,975459419999.9999,,163619,0.39840000000000003
2010-11-19,MADRASFERT,EQ,23.45,23.6,24.4,21.7,22.0,22.0,22.82,564628,1288260200000.0,,257936,0.4568
2010-11-22,MADRASFERT,EQ,22.0,22.8,22.8,20.75,21.3,21.4,21.55,492892,1062110115000.0,,247190,0.5015
2010-11-23,MADRASFERT,EQ,21.4,21.05,23.45,20.75,23.2,23.1,22.32,722658,1613165535000.0,,265830,0.3679
2010-11-24,MADRASFERT,EQ,23.1,23.25,23.8,22.2,22.3,22.45,23.04,477207,1099689550000.0,,213613,0.4476
2010-11-25,MADRASFERT,EQ,22.45,22.4,23.45,21.35,21.75,21.55,22.22,393414,874261315000.0,,213291,0.5422
2010-11-26,MADRASFERT,EQ,21.55,22.0,22.0,19.45,19.95,20.1,20.51,579372,1188228370000.0,,268524,0.4635
2010-11-29,MADRASFERT,EQ,20.1,20.5,22.15,20.0,21.75,21.8,21.59,736070,1589335890000.0,,346066,0.47020000000000006
2010-11-30,MADRASFERT,EQ,21.8,21.8,23.5,21.5,23.2,23.3,22.46,652625,1465474240000.0,,227027,0.3479
2010-12-01,MADRASFERT,EQ,23.3,23.7,24.85,22.6,24.25,24.25,24.08,771748,1858098795000.0,,314055,0.4069
2010-12-02,MADRASFERT,EQ,24.25,25.0,25.45,23.25,23.3,23.4,24.36,1002260,2441961605000.0,,456766,0.4557
2010-12-03,MADRASFERT,EQ,23.4,23.4,23.5,22.0,22.25,22.25,22.69,404931,918918165000.0,,158642,0.3918
2010-12-06,MADRASFERT,EQ,22.25,22.5,23.6,22.1,22.75,22.6,22.91,289073,662175680000.0,,128239,0.4436
2010-12-07,MADRASFERT,EQ,22.6,22.5,22.7,21.55,21.9,21.9,22.07,220152,485843170000.0,,90655,0.4118
2010-12-08,MADRASFERT,EQ,21.9,21.6,22.1,20.85,21.2,21.4,21.44,243633,522341609999.99994,,96296,0.39530000000000004
2010-12-09,MADRASFERT,EQ,21.4,21.5,21.5,19.3,19.3,19.3,20.1,464056,932962380000.0001,,334202,0.7202
2010-12-10,MADRASFERT,EQ,19.3,18.5,20.6,18.25,19.65,19.6,19.61,440935,864882040000.0,,170715,0.3872
2010-12-13,MADRASFERT,EQ,19.6,20.2,20.2,18.0,19.0,19.1,19.16,589703,1129729240000.0,,271783,0.46090000000000003
2010-12-14,MADRASFERT,EQ,19.1,19.5,20.4,19.1,19.5,19.6,19.78,477463,944423769999.9999,,179152,0.37520000000000003
2010-12-15,MADRASFERT,EQ,19.6,19.9,20.25,18.9,19.1,19.2,19.58,389801,763090320000.0,,200734,0.515
2010-12-16,MADRASFERT,EQ,19.2,19.5,19.6,18.35,18.95,18.95,18.89,466852,882058150000.0,,195482,0.41869999999999996
2010-12-20,MADRASFERT,EQ,18.95,18.5,20.1,18.5,19.75,19.7,19.56,332657,650707090000.0,,118711,0.3569
2010-12-21,MADRASFERT,EQ,19.7,19.6,20.7,19.6,19.7,19.85,20.17,435642,878635800000.0,,147075,0.3376
2010-12-22,MADRASFERT,EQ,19.85,20.0,20.4,19.55,19.7,19.75,19.93,152992,304870035000.0,,72191,0.4719
2010-12-23,MADRASFERT,EQ,19.75,19.5,20.2,19.5,19.65,19.8,19.82,108332,214708054999.99997,,43476,0.40130000000000005
2010-12-24,MADRASFERT,EQ,19.8,19.05,20.4,19.05,20.2,20.15,20.14,246809,497100570000.0,,131809,0.5341
2010-12-27,MADRASFERT,EQ,20.15,20.5,20.8,19.9,20.1,20.05,20.32,178016,361703270000.0,,86506,0.48590000000000005
2010-12-28,MADRASFERT,EQ,20.05,20.4,20.4,19.85,19.9,20.0,20.09,86366,173518090000.0,,46542,0.5389
2010-12-29,MADRASFERT,EQ,20.0,20.0,20.8,19.8,20.35,20.3,20.44,201724,412404375000.0,,106388,0.5274
2010-12-30,MADRASFERT,EQ,20.3,20.3,21.0,20.25,20.5,20.55,20.65,343582,709542530000.0,,128933,0.3753
2010-12-31,MADRASFERT,EQ,20.55,20.95,21.5,20.5,20.95,21.05,21.07,294295,620218185000.0,,167488,0.5690999999999999
2011-01-03,MADRASFERT,EQ,21.05,21.4,21.9,21.2,21.85,21.8,21.59,279484,603301805000.0,,167350,0.5988
2011-01-04,MADRASFERT,EQ,21.8,21.75,22.3,21.55,21.55,21.7,21.84,287344,627440290000.0,,139279,0.4847
2011-01-05,MADRASFERT,EQ,21.7,22.0,23.3,21.55,22.0,21.9,22.47,979792,2201786015000.0,,457282,0.4667
2011-01-06,MADRASFERT,EQ,21.9,21.1,21.7,20.3,20.4,20.4,20.74,241940,501828580000.0,,109813,0.4539
2011-01-07,MADRASFERT,EQ,20.4,20.4,20.85,19.85,20.15,20.05,20.29,147574,299425330000.0,,75693,0.5129
2011-01-10,MADRASFERT,EQ,20.05,20.0,20.0,17.95,18.25,18.2,18.62,385882,718407790000.0,,252480,0.6543000000000001
2011-01-11,MADRASFERT,EQ,18.2,18.95,19.5,18.1,19.0,18.6,18.86,222183,419003220000.0,,98660,0.444
2011-01-12,MADRASFERT,EQ,18.6,18.8,19.9,18.5,19.55,19.6,19.29,232157,447718475000.0,,124036,0.5343
2011-01-13,MADRASFERT,EQ,19.6,20.0,20.15,19.0,19.05,19.2,19.62,192634,377958090000.0,,69427,0.3604
2011-01-14,MADRASFERT,EQ,19.2,19.45,19.45,18.65,18.7,18.8,19.06,152706,291016940000.0,,60499,0.3962
2011-01-17,MADRASFERT,EQ,18.8,18.85,18.95,18.35,18.55,18.5,18.68,67656,126397014999.99998,,29893,0.4418
2011-01-18,MADRASFERT,EQ,18.5,18.55,19.1,18.55,18.95,18.95,18.84,116334,219131375000.0,,57875,0.4975
2011-01-19,MADRASFERT,EQ,18.95,19.05,19.4,18.65,18.7,18.75,18.99,73839,140226775000.0,,46825,0.6341
2011-01-20,MADRASFERT,EQ,18.75,18.3,19.0,18.3,18.8,18.9,18.84,126802,238856935000.0,,65682,0.518
2011-01-21,MADRASFERT,EQ,18.9,18.6,19.2,18.55,18.65,18.7,18.89,70155,132494535000.00002,,37156,0.5296000000000001
2011-01-24,MADRASFERT,EQ,18.7,18.5,20.45,18.5,19.85,20.1,19.65,235748,463336770000.0,,121093,0.5136999999999999
2011-01-25,MADRASFERT,EQ,20.1,20.0,23.7,19.7,23.05,23.2,22.42,1333404,2989040670000.0,,651138,0.4883
2011-01-27,MADRASFERT,EQ,23.2,23.8,24.15,21.1,21.35,21.35,22.69,469812,1066131990000.0,,277756,0.5912
2011-01-28,MADRASFERT,EQ,21.35,21.3,21.8,20.25,20.5,20.7,20.9,315133,658709765000.0,,234059,0.7427
2011-01-31,MADRASFERT,EQ,20.7,20.05,22.4,20.05,21.25,21.3,21.42,345344,739751580000.0,,155996,0.45170000000000005
2011-02-01,MADRASFERT,EQ,21.3,21.9,22.25,19.75,20.05,20.1,21.03,332709,699523545000.0,,215584,0.648
2011-02-02,MADRASFERT,EQ,20.1,20.9,20.9,20.2,20.25,20.35,20.51,123472,253250835000.0,,67457,0.5463
2011-02-03,MADRASFERT,EQ,20.35,20.8,21.7,20.3,21.6,21.45,21.18,242590,513784950000.0,,146586,0.6043000000000001
2011-02-04,MADRASFERT,EQ,21.45,21.95,22.5,21.3,21.95,21.6,21.83,279477,609991075000.0,,155577,0.5567000000000001
2011-02-07,MADRASFERT,EQ,21.6,22.45,22.6,20.7,21.15,21.3,21.63,370814,802023305000.0,,122305,0.3298
2011-02-08,MADRASFERT,EQ,21.3,22.5,22.5,19.6,19.9,19.95,20.39,276797,564355125000.0,,199834,0.7220000000000001
