Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2017-11-22,MAGADSUGAR,EQ,220.8,222.95,222.95,210.1,218.25,218.4,216.61,6595,142851605000.0,79,4897,0.7425
2017-11-23,MAGADSUGAR,EQ,218.4,212.0,224.9,212.0,222.5,222.4,220.19,15664,344908875000.0,140,14309,0.9135
2017-11-24,MAGADSUGAR,EQ,222.4,225.0,231.0,223.0,228.0,227.75,228.62,16982,388244875000.0,209,15206,0.8954000000000001
2017-11-27,MAGADSUGAR,EQ,227.75,230.0,230.0,218.0,219.0,222.1,221.71,6319,140101610000.0,85,5522,0.8739
2017-11-28,MAGADSUGAR,EQ,222.1,215.2,227.35,215.2,221.6,225.3,225.19,12864,289688805000.0,160,10604,0.8243
2017-11-29,MAGADSUGAR,EQ,225.3,222.0,224.15,214.15,214.15,215.25,216.5,12133,262681235000.0,163,11073,0.9126000000000001
2017-11-30,MAGADSUGAR,EQ,215.25,210.1,219.0,210.1,217.0,216.65,216.51,8640,187068310000.0,65,6861,0.7941
2017-12-01,MAGADSUGAR,EQ,216.65,219.9,219.9,205.85,205.85,205.85,208.98,10110,211279215000.0,146,9647,0.9542
2017-12-04,MAGADSUGAR,EQ,205.85,205.0,207.0,197.1,198.0,199.0,201.41,15860,319441720000.0,902,14943,0.9422
2017-12-05,MAGADSUGAR,EQ,199.0,197.0,205.0,191.5,199.0,199.25,196.97,16646,327872940000.0,639,16002,0.9612999999999999
2017-12-06,MAGADSUGAR,EQ,199.25,205.0,205.0,195.0,195.0,199.75,200.34,7704,154345440000.0,240,5969,0.7748
2017-12-07,MAGADSUGAR,EQ,199.75,204.75,204.75,193.0,195.0,194.5,197.28,7486,147681220000.0,134,7004,0.9356
2017-12-08,MAGADSUGAR,EQ,194.5,200.0,204.0,196.0,198.25,200.05,200.84,15925,319842930000.0,144,14844,0.9320999999999999
2017-12-11,MAGADSUGAR,EQ,200.05,207.5,207.5,194.2,199.2,198.25,199.65,13201,263559479999.99997,101,10580,0.8015000000000001
2017-12-12,MAGADSUGAR,EQ,198.25,201.0,201.0,191.0,193.85,193.95,194.41,4994,97090045000.0,121,4403,0.8817
2017-12-13,MAGADSUGAR,EQ,193.95,194.0,198.9,190.85,193.0,192.1,192.82,7618,146886650000.0,107,5111,0.6709
2017-12-14,MAGADSUGAR,EQ,192.1,197.8,197.8,188.0,191.05,188.8,190.58,9358,178344155000.0,80,5871,0.6274000000000001
2017-12-15,MAGADSUGAR,EQ,188.8,197.95,197.95,183.75,187.45,185.0,187.75,9733,182734680000.0,140,8004,0.8224
2017-12-18,MAGADSUGAR,EQ,185.0,185.0,189.9,171.7,181.0,183.1,184.97,16890,312409335000.0,166,13064,0.7735
2017-12-19,MAGADSUGAR,EQ,183.1,189.0,194.75,180.6,188.0,188.85,190.82,27678,528164170000.0,310,20687,0.7474
2017-12-20,MAGADSUGAR,EQ,188.85,187.0,196.0,186.5,188.25,189.7,190.4,8902,169496525000.0,146,6519,0.7323000000000001
2017-12-21,MAGADSUGAR,EQ,189.7,188.3,189.95,175.1,183.05,186.6,184.86,15063,278458335000.0,192,11127,0.7387
2017-12-22,MAGADSUGAR,EQ,186.6,185.0,188.0,183.1,183.1,184.15,185.21,11806,218663854999.99997,140,8644,0.7322
2017-12-26,MAGADSUGAR,EQ,184.15,191.0,195.0,179.0,183.0,182.85,182.15,10286,187358750000.0,179,6802,0.6613
2017-12-27,MAGADSUGAR,EQ,182.85,188.75,188.75,178.0,178.1,180.0,181.2,16469,298425450000.0,166,15074,0.9153
2017-12-28,MAGADSUGAR,EQ,180.0,170.85,179.95,170.1,172.0,172.1,173.68,22750,395116555000.0,301,19543,0.8590000000000001
2017-12-29,MAGADSUGAR,EQ,172.1,170.0,179.5,168.75,172.95,169.6,170.34,21847,372146435000.0,198,20068,0.9186
2018-01-01,MAGADSUGAR,EQ,169.6,186.55,186.55,171.0,172.95,173.1,174.42,17206,300103355000.0,244,12491,0.726
2018-01-02,MAGADSUGAR,EQ,173.1,173.0,176.95,170.0,171.35,171.8,171.96,4995,85894720000.0,86,3987,0.7981999999999999
2018-01-03,MAGADSUGAR,EQ,171.8,170.3,175.6,170.3,173.8,173.7,172.36,2785,48003285000.0,53,2125,0.763
2018-01-04,MAGADSUGAR,EQ,173.7,174.0,174.0,166.0,169.4,171.25,169.51,20007,339135905000.0,289,16009,0.8002
2018-01-05,MAGADSUGAR,EQ,171.25,171.6,177.0,171.6,172.65,173.0,174.06,12071,210102395000.00003,164,8532,0.7068000000000001
2018-01-08,MAGADSUGAR,EQ,173.0,174.0,177.55,170.2,172.4,173.3,173.31,7166,124195385000.00002,122,4881,0.6811
2018-01-09,MAGADSUGAR,EQ,173.3,172.1,175.3,171.0,171.0,171.4,171.79,12234,210165404999.99997,149,9434,0.7711
2018-01-10,MAGADSUGAR,EQ,171.4,169.05,174.85,169.05,172.0,172.7,172.57,4485,77396590000.0,139,3623,0.8078000000000001
2018-01-11,MAGADSUGAR,EQ,172.7,172.2,173.95,169.0,169.6,169.55,170.51,15584,265724045000.00003,160,13993,0.8979
2018-01-12,MAGADSUGAR,EQ,169.55,172.35,172.35,167.45,167.45,168.2,169.56,8794,149112010000.0,158,8459,0.9619
2018-01-15,MAGADSUGAR,EQ,168.2,168.2,169.85,164.0,165.0,165.55,165.83,24213,401534120000.0,199,22246,0.9188
2018-01-16,MAGADSUGAR,EQ,165.55,164.2,165.0,160.0,161.55,163.05,161.57,17217,278180020000.0,237,13706,0.7961
2018-01-17,MAGADSUGAR,EQ,163.05,162.45,163.95,156.5,163.95,163.15,160.56,4038,64832310000.0,101,3072,0.7608
2018-01-18,MAGADSUGAR,EQ,163.15,163.75,163.75,152.5,157.0,157.2,158.69,17872,283603210000.0,175,16474,0.9218000000000001
2018-01-19,MAGADSUGAR,EQ,157.2,157.0,159.5,153.15,154.0,154.0,154.76,24488,378978995000.0,159,23576,0.9628
2018-01-22,MAGADSUGAR,EQ,154.0,154.0,154.0,149.0,149.0,149.5,150.2,14540,218397585000.0,189,10357,0.7123
2018-01-23,MAGADSUGAR,EQ,149.5,151.75,151.75,148.2,150.05,150.15,150.24,17362,260838425000.0,122,15396,0.8868
2018-01-24,MAGADSUGAR,EQ,150.15,151.6,151.6,146.1,146.15,147.3,148.08,11548,171004190000.0,120,10817,0.9367000000000001
2018-01-25,MAGADSUGAR,EQ,147.3,146.0,147.95,140.3,146.7,144.85,144.35,22448,324030280000.0,311,18057,0.8044
2018-01-29,MAGADSUGAR,EQ,144.85,146.0,147.8,141.05,141.05,141.15,144.18,6770,97608650000.0,130,5567,0.8223
2018-01-30,MAGADSUGAR,EQ,141.15,142.0,146.0,140.0,144.25,143.75,142.66,8554,122030485000.00002,167,5702,0.6666
2018-01-31,MAGADSUGAR,EQ,143.75,144.75,151.0,144.0,150.7,150.55,147.61,23850,352043935000.0,242,17617,0.7387
2018-02-01,MAGADSUGAR,EQ,150.55,152.0,152.35,143.4,148.0,148.0,149.31,2784,41566620000.0,121,2286,0.8211
2018-02-02,MAGADSUGAR,EQ,148.0,142.05,150.5,137.05,138.1,138.25,141.28,8085,114225230000.0,146,7338,0.9076000000000001
2018-02-05,MAGADSUGAR,EQ,138.25,137.0,146.0,134.05,145.4,144.1,139.99,18531,259415435000.0,178,11051,0.5964
2018-02-06,MAGADSUGAR,EQ,144.1,141.8,158.5,130.55,149.0,148.75,148.49,18076,268402385000.0,421,10713,0.5927
2018-02-07,MAGADSUGAR,EQ,148.75,154.0,160.0,154.0,156.1,156.25,157.48,38789,610837990000.0,414,33635,0.8671
2018-02-08,MAGADSUGAR,EQ,156.25,165.0,173.85,159.0,168.6,168.8,167.09,18458,308417540000.0,426,12104,0.6558
2018-02-09,MAGADSUGAR,EQ,168.8,164.3,184.8,155.95,175.9,174.65,177.7,57206,1016565005000.0001,1202,35438,0.6195
2018-02-12,MAGADSUGAR,EQ,174.65,179.65,181.0,174.25,175.0,175.2,177.6,16194,287603375000.0,356,9124,0.5634
2018-02-14,MAGADSUGAR,EQ,175.2,181.0,190.0,170.65,170.65,174.45,179.58,15217,273269150000.0,398,11414,0.7501000000000001
2018-02-15,MAGADSUGAR,EQ,174.45,177.8,177.8,163.2,164.2,164.45,167.61,11025,184786950000.0,454,6494,0.589
2018-02-16,MAGADSUGAR,EQ,164.45,172.0,172.0,157.0,161.8,162.9,163.15,5500,89730450000.0,181,3773,0.6859999999999999
2018-02-19,MAGADSUGAR,EQ,162.9,167.9,167.9,152.0,161.95,159.35,158.33,7357,116481939999.99998,204,5680,0.7721
2018-02-20,MAGADSUGAR,EQ,159.35,158.0,173.7,154.15,162.0,159.9,161.72,3067,49598840000.0,124,2138,0.6970999999999999
2018-02-21,MAGADSUGAR,EQ,159.9,159.9,159.9,155.35,157.0,156.7,157.1,2159,33918734999.999996,52,1921,0.8898
2018-02-22,MAGADSUGAR,EQ,156.7,155.1,160.0,155.1,157.5,157.55,158.11,3032,47939650000.0,77,1757,0.5795
2018-02-23,MAGADSUGAR,EQ,157.55,155.15,168.0,155.1,164.95,165.0,164.44,11397,187407150000.0,419,6144,0.5391
2018-02-26,MAGADSUGAR,EQ,165.0,165.05,176.0,165.05,168.25,168.45,168.0,14951,251170870000.00003,220,7251,0.485
