Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-10-04,MAGMA,EQ,80.2,82.3,83.0,79.55,80.5,80.8,81.53,1070451,8726983970000.0,,567459,0.5301
2010-10-05,MAGMA,EQ,80.8,80.05,85.2,80.0,83.05,83.95,83.26,1407343,11717743150000.0,,283072,0.2011
2010-10-06,MAGMA,EQ,83.95,84.5,85.7,80.0,80.7,80.9,83.24,1102484,9176850085000.0,,283972,0.2576
2010-10-07,MAGMA,EQ,80.9,81.45,81.8,79.7,80.9,80.75,80.9,199168,1611330075000.0,,70722,0.35509999999999997
2010-10-08,MAGMA,EQ,80.75,80.75,81.4,79.1,79.35,79.5,80.25,68022,545882365000.00006,,42489,0.6246
2010-10-11,MAGMA,EQ,79.5,80.35,82.75,79.6,82.75,82.35,81.72,338290,2764542860000.0,,143605,0.42450000000000004
2010-10-12,MAGMA,EQ,82.35,82.9,83.2,80.5,81.35,81.4,81.93,137814,1129114390000.0,,67605,0.49060000000000004
2010-10-13,MAGMA,EQ,81.4,83.0,84.4,80.5,81.55,82.1,82.72,1045464,8648192375000.0,,324440,0.3103
2010-10-14,MAGMA,EQ,82.1,83.0,83.4,79.5,79.95,81.5,81.44,1762678,14355042665000.0,,595399,0.33780000000000004
2010-10-15,MAGMA,EQ,81.5,82.0,82.1,79.7,79.85,80.05,80.98,336121,2721940210000.0,,202269,0.6018
2010-10-18,MAGMA,EQ,80.05,81.0,81.0,78.55,79.85,79.9,79.71,106951,852500819999.9999,,47186,0.4412
2010-10-19,MAGMA,EQ,79.9,80.0,80.7,76.05,76.35,77.2,78.9,590323,4657590970000.0,,380473,0.6445000000000001
2010-10-20,MAGMA,EQ,77.2,77.7,77.8,73.75,73.95,74.8,76.56,462308,3539553975000.0,,196206,0.4244
2010-10-21,MAGMA,EQ,74.8,75.0,76.2,74.0,75.6,75.65,75.29,250974,1889520330000.0,,156010,0.6215999999999999
2010-10-22,MAGMA,EQ,75.65,76.7,77.3,74.25,74.25,75.3,75.79,452601,3430379735000.0,,134838,0.2979
2010-10-25,MAGMA,EQ,75.3,75.65,76.9,74.3,75.0,75.4,75.72,176004,1332742825000.0,,58922,0.3348
2010-10-26,MAGMA,EQ,75.4,75.5,77.75,74.8,76.4,77.0,76.71,488312,3746023254999.9995,,109934,0.22510000000000002
2010-10-27,MAGMA,EQ,77.0,77.7,80.25,76.0,76.5,77.05,78.76,662639,5219158810000.0,,65808,0.0993
2010-10-28,MAGMA,EQ,77.05,77.5,77.5,75.35,76.0,75.8,76.78,326423,2506434225000.0,,126830,0.3885
2010-10-29,MAGMA,EQ,75.8,75.2,76.25,74.3,75.1,75.55,75.48,196842,1485735670000.0,,44147,0.2243
2010-11-01,MAGMA,EQ,75.55,75.65,78.0,74.95,75.0,75.35,76.42,303663,2320486430000.0,,55355,0.18230000000000002
2010-11-02,MAGMA,EQ,75.35,75.7,76.25,74.8,75.15,75.05,75.81,159194,1206777625000.0,,80613,0.5064
2010-11-03,MAGMA,EQ,75.05,75.1,76.7,75.1,75.85,75.95,76.17,166006,1264506370000.0,,66188,0.3987
2010-11-04,MAGMA,EQ,75.95,76.5,79.45,75.75,77.9,78.5,78.37,711866,5579061325000.0,,169786,0.23850000000000002
2010-11-05,MAGMA,EQ,78.5,78.5,79.8,77.3,77.75,77.6,78.26,76815,601171070000.0,,25930,0.3376
2010-11-08,MAGMA,EQ,77.6,78.35,78.5,75.5,76.7,77.15,77.81,406826,3165679850000.0,,286269,0.7037000000000001
2010-11-09,MAGMA,EQ,77.15,78.0,78.8,75.5,76.5,76.3,76.45,227096,1736187760000.0002,,121795,0.5363
2010-11-10,MAGMA,EQ,76.3,77.0,81.25,76.0,79.9,80.0,79.74,1192487,9509098765000.0,,716990,0.6013000000000001
2010-11-11,MAGMA,EQ,80.0,80.7,82.8,79.0,79.65,79.3,81.24,227861,1851090720000.0,,105274,0.462
2010-11-12,MAGMA,EQ,79.3,79.95,80.9,77.65,78.25,78.15,79.39,134995,1071761894999.9999,,80190,0.594
2010-11-15,MAGMA,EQ,78.15,79.3,85.5,78.5,85.5,84.3,83.08,710399,5901759060000.0,,383811,0.5403
2010-11-16,MAGMA,EQ,84.3,85.9,87.4,80.5,81.0,81.45,84.39,671673,5668395020000.0,,210829,0.3139
2010-11-18,MAGMA,EQ,81.45,82.0,82.7,77.7,82.0,81.1,80.05,305439,2445054105000.0,,125769,0.4118
2010-11-19,MAGMA,EQ,81.1,81.55,82.7,78.3,80.2,79.85,81.26,136004,1105166125000.0,,46227,0.33990000000000004
2010-11-22,MAGMA,EQ,79.85,80.5,82.25,79.25,79.7,79.8,80.79,143718,1161043540000.0,,51767,0.3602
2010-11-23,MAGMA,EQ,79.8,79.95,79.95,78.2,78.6,78.75,78.95,56969,449752730000.0,,38295,0.6722
2010-11-24,MAGMA,EQ,78.75,78.85,80.5,78.7,79.8,80.05,80.0,286452,2291727750000.0,,128814,0.4497
2010-11-25,MAGMA,EQ,80.05,80.0,80.5,75.5,75.7,76.75,78.16,382114,2986699005000.0,,194064,0.5079
2010-11-26,MAGMA,EQ,76.75,76.75,76.75,66.0,71.35,72.55,72.92,404112,2946645400000.0,,210657,0.5213
2010-11-29,MAGMA,EQ,72.55,72.0,74.9,70.7,72.0,71.25,71.76,132647,951827100000.0,,100072,0.7544
2010-11-30,MAGMA,EQ,71.25,70.1,77.7,70.05,76.2,76.7,74.42,453140,3372159870000.0005,,175861,0.38810000000000006
2010-12-01,MAGMA,EQ,76.7,75.0,77.75,75.0,77.0,77.1,76.96,171213,1317579735000.0,,26372,0.154
2010-12-02,MAGMA,EQ,77.1,77.5,79.4,76.25,77.5,77.75,78.15,117573,918796594999.9999,,21367,0.18170000000000003
2010-12-03,MAGMA,EQ,77.75,76.1,78.1,75.2,75.45,76.2,76.46,99960,764308435000.0,,18150,0.1816
2010-12-06,MAGMA,EQ,76.2,77.4,79.0,72.45,72.5,73.45,76.69,286382,2196369795000.0,,156126,0.5452
2010-12-07,MAGMA,EQ,73.45,72.9,74.5,69.05,70.0,69.75,71.84,157714,1132985850000.0,,69345,0.4397
2010-12-08,MAGMA,EQ,69.75,69.65,71.2,68.5,70.0,70.2,69.74,120674,841571940000.0,,40682,0.3371
2010-12-09,MAGMA,EQ,70.2,71.0,71.0,60.4,68.95,68.1,65.78,258109,1697926595000.0,,116376,0.4509
2010-12-10,MAGMA,EQ,68.1,65.0,73.75,65.0,71.15,71.25,70.76,134056,948540990000.0,,96787,0.7220000000000001
2010-12-13,MAGMA,EQ,71.25,72.0,73.45,71.1,72.0,72.8,72.49,50441,365665435000.0,,6312,0.1251
2010-12-14,MAGMA,EQ,72.8,73.5,74.7,71.55,72.5,73.6,73.6,160176,1178832800000.0,,28241,0.17629999999999998
2010-12-15,MAGMA,EQ,73.6,71.0,73.3,70.0,70.0,70.9,72.03,46635,335907455000.0,,9542,0.2046
2010-12-16,MAGMA,EQ,70.9,70.8,74.5,69.95,72.0,73.15,72.7,289876,2107270330000.0,,20799,0.0718
2010-12-20,MAGMA,EQ,73.15,72.0,73.05,70.7,70.95,71.3,72.05,93883,676412115000.0,,42408,0.45170000000000005
2010-12-21,MAGMA,EQ,71.3,70.25,72.7,70.25,71.0,70.8,71.37,87072,621445225000.0,,22106,0.2539
2010-12-22,MAGMA,EQ,70.8,71.85,72.2,69.55,69.7,70.0,71.22,55144,392737795000.0,,16001,0.2902
2010-12-23,MAGMA,EQ,70.0,70.2,71.3,69.35,69.85,69.85,70.48,85003,599087000000.0,,16133,0.1898
