Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-12-03,MAGNUM,EQ,9.2,9.05,9.4,8.95,9.0,9.05,9.14,12592,11505995000.0,,9374,0.7444
2010-12-06,MAGNUM,EQ,9.05,9.25,9.25,8.65,8.65,8.9,8.85,6744,5965530000.0,,6133,0.9094
2010-12-07,MAGNUM,EQ,8.9,9.0,9.0,8.6,8.65,8.65,8.63,231,199390000.0,,214,0.9264
2010-12-08,MAGNUM,EQ,8.65,8.45,8.8,8.4,8.6,8.45,8.66,14210,12310545000.0,,13895,0.9778
2010-12-09,MAGNUM,EQ,8.45,8.25,8.5,8.05,8.05,8.05,8.16,6610,5394550000.0,,6600,0.9984999999999999
2010-12-10,MAGNUM,EQ,8.05,7.65,8.4,7.65,7.95,7.95,8.0,15701,12563500000.0,,13936,0.8876000000000001
2010-12-13,MAGNUM,EQ,7.95,8.0,8.35,8.0,8.35,8.3,8.23,9985,8216314999.999999,,8714,0.8727
2010-12-14,MAGNUM,EQ,8.3,8.15,8.75,8.15,8.75,8.75,8.55,45335,38767665000.0,,43750,0.965
2010-12-15,MAGNUM,EQ,8.75,8.75,8.95,8.55,8.8,8.8,8.66,5579,4832365000.0,,5576,0.9995
2010-12-16,MAGNUM,EQ,8.8,8.45,8.8,8.4,8.6,8.6,8.46,17173,14533429999.999998,,15332,0.8928
2010-12-20,MAGNUM,EQ,8.6,8.25,8.4,8.2,8.25,8.25,8.26,20095,16596529999.999998,,15575,0.7751000000000001
2010-12-21,MAGNUM,EQ,8.25,8.2,8.5,8.1,8.4,8.35,8.32,11218,9335995000.0,,10886,0.9704
2010-12-22,MAGNUM,EQ,8.35,8.45,8.45,8.2,8.4,8.4,8.38,10357,8681400000.0,,10355,0.9998
2010-12-23,MAGNUM,EQ,8.4,8.5,8.5,8.15,8.35,8.3,8.26,31611,26102085000.0,,30011,0.9494
2010-12-24,MAGNUM,EQ,8.3,8.6,8.6,8.1,8.35,8.3,8.24,1863,1535570000.0,,1559,0.8368000000000001
2010-12-27,MAGNUM,EQ,8.3,8.15,8.25,8.1,8.15,8.15,8.18,14405,11780985000.0,,10689,0.742
2010-12-28,MAGNUM,EQ,8.15,8.35,8.35,8.1,8.15,8.15,8.22,3172,2606450000.0,,2172,0.6847
2010-12-29,MAGNUM,EQ,8.15,8.05,8.35,8.05,8.15,8.2,8.18,8350,6832475000.0,,8350,1.0
2010-12-30,MAGNUM,EQ,8.2,8.1,8.25,8.05,8.1,8.1,8.08,8797,7110475000.0,,8795,0.9998
2010-12-31,MAGNUM,EQ,8.1,8.15,8.4,8.15,8.25,8.25,8.26,17947,14823515000.0,,17473,0.9736
2011-01-03,MAGNUM,EQ,8.25,8.25,8.7,8.25,8.6,8.55,8.62,12920,11137090000.0,,11600,0.8978
2011-01-04,MAGNUM,EQ,8.55,8.4,8.55,8.4,8.45,8.45,8.45,4882,4124630000.0000005,,4882,1.0
2011-01-05,MAGNUM,EQ,8.45,8.55,8.55,8.3,8.35,8.35,8.4,5200,4368500000.0,,5200,1.0
2011-01-06,MAGNUM,EQ,8.35,8.35,8.35,8.25,8.25,8.3,8.32,3325,2767500000.0,,3225,0.9699
2011-01-07,MAGNUM,EQ,8.3,8.2,8.35,8.15,8.35,8.35,8.23,5529,4549505000.0,,5379,0.9729000000000001
2011-01-10,MAGNUM,EQ,8.35,8.05,8.3,8.05,8.25,8.1,8.16,4752,3876994999.9999995,,2827,0.5949
2011-01-11,MAGNUM,EQ,8.1,8.0,8.2,8.0,8.0,8.0,8.05,6212,4999735000.0,,4351,0.7004
2011-01-12,MAGNUM,EQ,8.0,8.0,8.5,7.85,8.5,8.35,8.26,29382,24263840000.0,,21365,0.7271
2011-01-13,MAGNUM,EQ,8.35,8.3,8.45,8.25,8.35,8.35,8.32,14945,12437255000.0,,14495,0.9699
