Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2015-04-16,MANAKSTEEL,EQ,17.6,16.5,17.4,16.4,16.4,16.6,16.69,6917,11545240000.0,30,6721,0.9717
2015-04-17,MANAKSTEEL,EQ,16.6,14.95,18.25,14.95,17.9,18.2,17.88,16415,29343050000.0,79,14922,0.909
2015-04-20,MANAKSTEEL,EQ,18.2,18.0,18.4,16.4,16.4,16.4,16.89,2311,3903205000.0000005,32,2190,0.9476000000000001
2015-04-21,MANAKSTEEL,EQ,16.4,14.9,15.85,14.8,14.9,14.9,14.87,5084,7561660000.000001,39,4738,0.9319
2015-04-22,MANAKSTEEL,EQ,14.9,15.0,16.35,13.45,14.45,14.2,14.75,12763,18830445000.0,68,9049,0.7090000000000001
2015-04-23,MANAKSTEEL,EQ,14.2,13.95,14.5,12.85,13.15,13.15,13.22,14386,19017075000.0,41,11735,0.8157
2015-04-24,MANAKSTEEL,EQ,13.15,13.0,13.15,12.2,12.2,12.25,12.69,14513,18422680000.0,41,8967,0.6179
2015-04-27,MANAKSTEEL,EQ,12.25,12.0,12.5,11.65,11.65,11.65,11.72,13401,15700850000.0,21,12401,0.9254000000000001
2015-04-28,MANAKSTEEL,EQ,11.65,11.5,12.2,11.15,11.2,11.25,11.69,13400,15661150000.0,43,9991,0.7456
2015-04-29,MANAKSTEEL,EQ,11.25,11.2,11.8,11.2,11.8,11.8,11.76,24402,28694955000.0,35,19359,0.7933
2015-04-30,MANAKSTEEL,EQ,11.8,11.85,12.35,11.8,11.85,12.0,11.83,8448,9991690000.0,17,8347,0.988
2015-05-04,MANAKSTEEL,EQ,12.0,11.9,12.5,11.75,11.9,11.9,12.11,2783,3370869999.9999995,18,1812,0.6511
2015-05-05,MANAKSTEEL,EQ,11.9,12.45,12.45,11.65,12.45,12.45,12.42,3283,4076455000.0000005,9,2000,0.6092000000000001
2015-05-06,MANAKSTEEL,EQ,12.45,12.45,12.65,11.85,12.65,11.85,11.86,12883,15274960000.0,26,11772,0.9138
