Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-10-04,MANGALAM,EQ,16.35,16.0,17.25,16.0,16.8,16.8,16.84,37833,63694805000.00001,,20598,0.5444
2010-10-05,MANGALAM,EQ,16.8,16.8,18.0,16.4,17.7,17.55,17.57,130830,229880115000.0,,53662,0.41020000000000006
2010-10-06,MANGALAM,EQ,17.55,18.0,18.6,17.5,17.8,17.65,18.12,241231,437127395000.0,,95789,0.3971
2010-10-07,MANGALAM,EQ,17.65,17.8,17.8,17.05,17.15,17.15,17.38,34887,60626019999.99999,,29074,0.8334
2010-10-08,MANGALAM,EQ,17.15,17.5,17.5,16.7,17.1,16.95,17.06,11992,20464320000.0,,8119,0.677
2010-10-11,MANGALAM,EQ,16.95,17.5,17.85,16.85,17.85,17.4,17.28,27659,47787350000.0,,18197,0.6579
2010-10-12,MANGALAM,EQ,17.4,17.85,17.85,16.9,17.0,17.05,17.19,16109,27688965000.000004,,9911,0.6152000000000001
2010-10-13,MANGALAM,EQ,17.05,16.8,17.25,16.6,16.75,16.85,16.95,20648,34988265000.0,,10544,0.5107
2010-10-14,MANGALAM,EQ,16.85,16.85,17.3,16.55,16.55,16.75,16.98,20023,33989745000.0,,11883,0.5935
2010-10-15,MANGALAM,EQ,16.75,17.6,17.6,16.6,16.6,16.65,16.92,11364,19233305000.0,,7808,0.6870999999999999
2010-10-18,MANGALAM,EQ,16.65,16.55,16.9,16.35,16.85,16.7,16.52,7657,12649680000.0,,4794,0.6261
2010-10-19,MANGALAM,EQ,16.7,16.55,16.8,16.3,16.5,16.4,16.51,9128,15069254999.999998,,5313,0.5821000000000001
2010-10-20,MANGALAM,EQ,16.4,16.5,16.6,16.1,16.15,16.15,16.39,12070,19783850000.0,,7896,0.6542
2010-10-21,MANGALAM,EQ,16.15,16.0,16.8,15.9,16.05,16.15,16.04,12890,20671415000.0,,8646,0.6708
2010-10-22,MANGALAM,EQ,16.15,16.9,16.9,16.0,16.0,16.2,16.22,5932,9623345000.0,,4511,0.7605
2010-10-25,MANGALAM,EQ,16.2,15.85,16.65,15.85,16.05,16.15,16.39,19372,31743655000.0,,7492,0.38670000000000004
2010-10-26,MANGALAM,EQ,16.15,16.4,18.15,16.3,17.6,17.55,17.66,172317,304292950000.0,,104924,0.6089
2010-10-27,MANGALAM,EQ,17.55,17.85,17.85,16.55,16.65,16.75,17.0,35377,60137500000.0,,23610,0.6674
2010-10-28,MANGALAM,EQ,16.75,16.95,17.5,16.55,16.6,16.8,17.07,14016,23925405000.0,,9306,0.664
2010-10-29,MANGALAM,EQ,16.8,17.0,17.25,16.6,16.8,16.85,16.91,38874,65719994999.99999,,35717,0.9188
2010-11-01,MANGALAM,EQ,16.85,17.0,20.25,17.0,18.2,18.15,19.33,1093704,2114447745000.0,,445583,0.40740000000000004
2010-11-02,MANGALAM,EQ,18.15,18.2,18.45,17.3,17.7,17.65,17.87,115967,207279645000.0,,60630,0.5228
2010-11-03,MANGALAM,EQ,17.65,18.4,21.0,17.8,19.75,19.8,19.94,796932,1588898165000.0,,301723,0.3786
2010-11-04,MANGALAM,EQ,19.8,19.55,21.3,19.3,19.4,19.55,20.58,296574,610340680000.0,,97316,0.3281
