Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-10-04,MARICO,EQ,129.5,128.05,131.9,128.05,131.4,131.1,130.85,333970,4370088470000.0005,,239250,0.7164
2010-10-05,MARICO,EQ,131.1,130.0,133.85,129.05,133.3,133.3,132.69,250425,3322848220000.0,,180671,0.7215
2010-10-06,MARICO,EQ,133.3,132.5,136.9,132.5,133.2,133.9,135.29,512411,6932326565000.001,,343883,0.6711
2010-10-07,MARICO,EQ,133.9,134.95,136.7,133.1,134.0,134.15,135.2,162075,2191200825000.0,,89010,0.5492
2010-10-08,MARICO,EQ,134.15,136.95,136.95,128.5,129.25,129.85,131.15,177518,2328203130000.0,,122541,0.6903
2010-10-11,MARICO,EQ,129.85,130.0,131.65,128.55,129.7,129.85,129.99,175193,2277290015000.0,,137245,0.7834000000000001
2010-10-12,MARICO,EQ,129.85,130.0,135.0,130.0,132.0,131.95,133.15,263072,3502815379999.9995,,142659,0.5423
2010-10-13,MARICO,EQ,131.95,131.95,134.35,131.15,132.55,132.45,132.48,151974,2013416155000.0,,100340,0.6602
2010-10-14,MARICO,EQ,132.45,132.5,135.6,131.25,131.9,131.75,133.95,334701,4483277245000.0,,144890,0.4329
2010-10-15,MARICO,EQ,131.75,131.6,132.75,130.1,130.4,130.45,131.08,62337,817123115000.0,,40996,0.6577
2010-10-18,MARICO,EQ,130.45,130.1,131.45,128.5,128.85,128.95,129.55,69115,895403469999.9999,,45279,0.6551
2010-10-19,MARICO,EQ,128.95,129.3,130.95,128.6,130.0,129.45,129.63,42753,554193115000.0,,25496,0.5964
2010-10-20,MARICO,EQ,129.45,129.5,130.35,126.8,127.35,127.55,127.99,120792,1546027050000.0,,86551,0.7165
2010-10-21,MARICO,EQ,127.55,127.05,129.5,127.05,128.9,128.65,128.28,60187,772057015000.0,,27812,0.4621
2010-10-22,MARICO,EQ,128.65,129.6,129.6,127.5,128.5,127.8,128.35,35795,459438750000.0,,18781,0.5246999999999999
2010-10-25,MARICO,EQ,127.8,127.05,131.5,127.05,131.4,130.7,130.7,624114,8157456700000.0,,572882,0.9179
2010-10-26,MARICO,EQ,130.7,131.95,139.45,130.3,131.3,133.3,135.98,1331283,18102895725000.0,,526709,0.3956
2010-10-27,MARICO,EQ,133.3,138.5,138.5,130.05,136.5,136.0,136.17,981870,13369874850000.0,,818169,0.8333
2010-10-28,MARICO,EQ,136.0,137.95,145.7,135.05,140.0,139.95,142.1,1511285,21474724590000.0,,830611,0.5496
2010-10-29,MARICO,EQ,139.95,139.95,141.25,135.05,136.55,137.15,137.95,643233,8873536180000.0,,529429,0.8231
2010-11-01,MARICO,EQ,137.15,137.5,138.9,136.2,137.95,137.85,137.52,64914,892717605000.0001,,32923,0.5072
2010-11-02,MARICO,EQ,137.85,138.0,141.8,138.0,141.8,140.9,140.74,259870,3657517704999.9995,,143820,0.5534
