Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-10-04,MARKSANS,EQ,3.95,4.0,4.1,3.9,3.95,4.0,4.03,531962,214390995000.00003,,218272,0.4103
2010-10-05,MARKSANS,EQ,4.0,3.95,4.05,3.9,4.0,4.0,3.97,332653,131918760000.00002,,199092,0.5985
2010-10-06,MARKSANS,EQ,4.0,4.0,4.05,3.9,3.95,3.95,3.98,678706,270128215000.0,,344775,0.508
2010-10-07,MARKSANS,EQ,3.95,4.0,4.15,3.95,3.95,4.0,4.03,540798,218205929999.99997,,261212,0.483
2010-10-08,MARKSANS,EQ,4.0,4.05,4.05,3.95,3.95,4.0,3.99,241649,96387570000.0,,146677,0.6070000000000001
2010-10-11,MARKSANS,EQ,4.0,4.05,4.05,3.9,3.95,3.95,3.95,331324,130973260000.00002,,157440,0.47520000000000007
2010-10-12,MARKSANS,EQ,3.95,3.95,4.0,3.9,3.9,3.95,3.96,201254,79628130000.0,,149439,0.7425
2010-10-13,MARKSANS,EQ,3.95,3.95,4.2,3.9,4.1,4.1,4.06,1463547,594107350000.0,,823075,0.5624
2010-10-14,MARKSANS,EQ,4.1,4.0,4.2,3.95,3.95,3.95,4.02,280055,112721064999.99998,,162410,0.5799000000000001
2010-10-15,MARKSANS,EQ,3.95,4.0,4.1,3.9,3.95,3.95,3.98,472838,188404950000.0,,194856,0.4121
2010-10-18,MARKSANS,EQ,3.95,4.0,4.0,3.9,3.95,3.95,3.92,262962,103049630000.0,,185864,0.7068000000000001
2010-10-19,MARKSANS,EQ,3.95,3.95,3.95,3.85,3.85,3.9,3.91,300163,117301625000.0,,192398,0.6409999999999999
2010-10-20,MARKSANS,EQ,3.9,3.9,3.95,3.85,3.85,3.85,3.9,149998,58457160000.0,,100490,0.6698999999999999
2010-10-21,MARKSANS,EQ,3.85,3.9,3.95,3.85,3.85,3.85,3.89,118631,46148095000.0,,61048,0.5146000000000001
2010-10-22,MARKSANS,EQ,3.85,3.85,3.95,3.85,3.9,3.85,3.89,320210,124442920000.0,,176325,0.5507
2010-10-25,MARKSANS,EQ,3.85,3.9,4.3,3.85,4.05,4.05,4.14,1631500,675550860000.0,,413393,0.2534
