Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2016-07-28,MAXINDIA,EQ,140.9,144.0,146.9,134.3,137.25,137.45,140.57,1995353,28048855189999.996,17864,893391,0.44770000000000004
2016-07-29,MAXINDIA,EQ,137.45,138.0,139.4,131.35,132.3,132.4,134.2,655065,8790891709999.999,6479,418910,0.6395000000000001
2016-08-01,MAXINDIA,EQ,132.4,134.8,135.35,128.85,130.2,130.3,132.25,721142,9537414615000.0,6638,434520,0.6025
2016-08-02,MAXINDIA,EQ,130.3,130.0,132.0,124.0,125.25,125.15,128.06,511618,6551969950000.0,6690,328880,0.6428
2016-08-03,MAXINDIA,EQ,125.15,125.5,128.15,121.55,124.2,123.25,124.57,737835,9191503095000.0,11517,440601,0.5972
2016-08-04,MAXINDIA,EQ,123.25,124.9,125.05,119.1,119.55,119.75,121.4,417290,5065766375000.0,10190,256915,0.6157
2016-08-05,MAXINDIA,EQ,119.75,119.7,138.35,119.05,134.15,135.3,130.86,2027920,26538117420000.0,15855,916010,0.45170000000000005
2016-08-08,MAXINDIA,EQ,135.3,137.0,138.0,130.5,131.5,131.2,133.06,817619,10879365650000.0,10890,531116,0.6496
2016-08-09,MAXINDIA,EQ,131.2,132.0,132.0,125.55,128.0,127.95,127.97,1129234,14450624219999.998,19550,925850,0.8199
2016-08-10,MAXINDIA,EQ,127.95,128.9,129.9,122.2,123.0,123.45,124.89,927691,11586089150000.0,12318,762237,0.8216
2016-08-11,MAXINDIA,EQ,123.45,123.0,129.0,123.0,127.85,127.65,126.27,388981,4911724990000.0,10758,286862,0.7375
2016-08-12,MAXINDIA,EQ,127.65,128.1,129.95,125.0,125.5,125.8,127.36,299138,3809910554999.9995,20642,229791,0.7682
2016-08-16,MAXINDIA,EQ,125.8,125.5,127.7,124.2,127.2,126.75,126.85,307858,3905048285000.0,10050,237675,0.772
2016-08-17,MAXINDIA,EQ,126.75,126.1,129.0,125.65,127.0,127.85,126.95,431385,5476452265000.0,19054,343348,0.7959
2016-08-18,MAXINDIA,EQ,127.85,128.0,137.7,127.5,137.0,136.3,131.26,2220499,29145746950000.0,13141,1820918,0.8200000000000001
2016-08-19,MAXINDIA,EQ,136.3,135.9,152.8,132.15,146.65,147.25,144.89,2923874,42365151765000.0,28421,1481826,0.5068
2016-08-22,MAXINDIA,EQ,147.25,148.0,154.0,148.0,152.7,152.05,150.5,1661178,25000936165000.0,11910,1170818,0.7048000000000001
2016-08-23,MAXINDIA,EQ,152.05,151.9,152.6,148.5,150.4,150.1,150.16,1005940,15104724944999.998,6614,805849,0.8011
2016-08-24,MAXINDIA,EQ,150.1,150.0,154.5,150.0,153.2,153.15,150.99,1510089,22800841340000.0,6920,1245249,0.8246
2016-08-25,MAXINDIA,EQ,153.15,154.0,165.2,151.55,164.5,163.5,160.07,1819225,29120999164999.996,23622,1023684,0.5627000000000001
2016-08-26,MAXINDIA,EQ,163.5,165.0,167.5,162.0,164.4,165.05,165.25,749483,12385410800000.0,15010,394175,0.5259
2016-08-29,MAXINDIA,EQ,165.05,163.25,164.65,154.25,154.85,154.95,157.05,434627,6825697590000.001,4921,204317,0.47009999999999996
2016-08-30,MAXINDIA,EQ,154.95,156.65,163.3,152.6,162.0,161.25,159.25,582439,9275206210000.0,7425,198964,0.34159999999999996
2016-08-31,MAXINDIA,EQ,161.25,161.05,162.15,153.6,154.0,154.6,157.66,279766,4410787455000.0,6757,181898,0.6502
2016-09-01,MAXINDIA,EQ,154.6,155.75,155.75,148.05,149.0,149.5,151.48,227673,3448742500000.0,4691,139846,0.6142000000000001
2016-09-02,MAXINDIA,EQ,149.5,149.95,150.0,142.85,147.65,146.25,145.58,489854,7131471740000.001,11874,404394,0.8255
2016-09-06,MAXINDIA,EQ,146.25,147.5,150.65,144.5,145.5,145.6,147.41,305183,4498583345000.0,11462,176794,0.5793
2016-09-07,MAXINDIA,EQ,145.6,146.65,150.5,144.7,144.7,145.55,147.58,235410,3474186465000.0,5380,117024,0.49710000000000004
2016-09-08,MAXINDIA,EQ,145.55,146.6,148.0,143.25,144.0,144.25,145.41,154059,2240109710000.0,4443,101886,0.6613
2016-09-09,MAXINDIA,EQ,144.25,144.0,144.45,138.5,139.9,139.9,139.95,288662,4039818270000.0005,3201,194844,0.675
2016-09-12,MAXINDIA,EQ,139.9,138.4,141.85,134.95,139.9,139.45,138.33,306308,4237025760000.0,2556,237236,0.7745000000000001
2016-09-14,MAXINDIA,EQ,139.45,139.9,143.65,139.15,141.2,141.9,140.51,358848,5042208250000.0,7597,281382,0.7841
2016-09-15,MAXINDIA,EQ,141.9,144.6,146.4,141.55,143.05,142.95,142.83,1983010,28323632325000.0,5255,1888937,0.9526000000000001
2016-09-16,MAXINDIA,EQ,142.95,144.7,151.95,143.8,148.7,149.9,149.03,905445,13493562165000.0,16315,542062,0.5987
2016-09-19,MAXINDIA,EQ,149.9,150.5,153.8,149.5,150.0,151.35,151.62,1197126,18151416060000.0,13999,1024876,0.8561
