Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2019-08-22,MBAPL,EQ,68.0,80.65,81.5,70.5,78.0,77.5,74.41,16587,123422664999.99998,171,10478,0.6317
2019-08-23,MBAPL,EQ,77.5,84.9,84.9,75.0,76.0,75.05,75.42,4729,35667505000.0,29,4100,0.867
2019-08-26,MBAPL,EQ,75.05,78.6,78.6,75.0,76.0,75.85,75.81,7600,57614000000.0,27,7100,0.9342
2019-08-27,MBAPL,EQ,75.85,75.05,75.05,75.0,75.0,75.0,75.0,9500,71252500000.0,12,9000,0.9474
2019-08-28,MBAPL,EQ,75.0,75.0,77.0,75.0,75.15,75.15,75.03,10601,79544000000.0,12,10601,1.0
2019-08-29,MBAPL,EQ,75.15,89.6,89.6,75.0,75.0,75.2,75.33,1487,11200940000.0,14,1412,0.9496
2019-08-30,MBAPL,EQ,75.2,75.0,76.0,75.0,75.0,75.0,75.47,1061,8007500000.0,4,561,0.5287
2019-09-03,MBAPL,EQ,75.0,75.0,81.8,75.0,75.0,75.35,75.36,13367,100738510000.0,23,7367,0.5511
2019-09-04,MBAPL,EQ,75.35,75.0,78.0,75.0,78.0,78.0,75.01,1005,7539000000.0,4,1005,1.0
2019-09-05,MBAPL,EQ,78.0,75.0,79.0,73.0,75.0,75.05,76.26,25408,193762500000.0,32,15005,0.5906
2019-09-06,MBAPL,EQ,75.05,75.5,75.5,75.5,75.5,75.5,75.5,1,7550000.0,1,1,1.0
2019-09-11,MBAPL,EQ,75.5,90.5,90.5,76.0,78.4,78.05,80.29,2263,18170380000.0,38,846,0.3738
2019-09-12,MBAPL,EQ,78.05,75.0,80.0,75.0,78.0,78.0,78.52,1157,9085115000.0,26,1005,0.8686
2019-09-13,MBAPL,EQ,78.0,78.0,81.9,78.0,80.0,80.0,79.61,498,3964790000.0,3,498,1.0
2019-09-16,MBAPL,EQ,80.0,80.0,81.45,80.0,80.0,80.0,80.0,3101,24808145000.0,7,3101,1.0
