Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-10-04,MBECL,EQ,282.9,286.1,293.0,282.0,282.85,283.7,286.12,90878,2600221775000.0,,45309,0.4986
2010-10-05,MBECL,EQ,283.7,283.05,286.6,281.5,283.0,282.5,282.91,29479,834000830000.0,,20726,0.7031000000000001
2010-10-06,MBECL,EQ,282.5,284.05,284.05,276.4,278.0,278.25,281.21,41785,1175051760000.0,,32154,0.7695000000000001
2010-10-07,MBECL,EQ,278.25,276.0,280.6,276.0,278.8,277.5,278.52,24208,674251055000.0,,14362,0.5933
2010-10-08,MBECL,EQ,277.5,281.5,281.5,273.55,273.55,274.45,276.9,45135,1249809835000.0,,19807,0.4388
2010-10-11,MBECL,EQ,274.45,275.1,290.0,271.0,288.2,288.1,284.6,120648,3433587590000.0,,55609,0.46090000000000003
2010-10-12,MBECL,EQ,288.1,288.95,288.95,281.0,286.4,284.8,284.11,22292,633345235000.0,,14677,0.6584000000000001
2010-10-13,MBECL,EQ,284.8,284.7,287.05,281.1,282.5,282.15,282.77,95713,2706442185000.0,,89053,0.9304000000000001
2010-10-14,MBECL,EQ,282.15,282.0,283.9,275.3,276.9,276.3,280.26,12386,347135550000.0,,9499,0.7669
2010-10-15,MBECL,EQ,276.3,277.1,278.8,272.25,272.65,273.45,275.32,10448,287654045000.0,,6082,0.5821000000000001
2010-10-18,MBECL,EQ,273.45,275.0,275.0,266.1,268.25,270.25,268.68,30802,827582795000.0,,17150,0.5568
2010-10-19,MBECL,EQ,270.25,271.0,271.0,263.3,264.3,265.2,266.85,23924,638414545000.0,,19211,0.8029999999999999
2010-10-20,MBECL,EQ,265.2,265.0,269.95,261.0,262.7,261.7,263.58,19553,515385395000.0,,15558,0.7957
2010-10-21,MBECL,EQ,261.7,263.15,269.0,262.4,265.0,264.45,264.84,10000,264839520000.00003,,5171,0.5171
2010-10-22,MBECL,EQ,264.45,269.5,269.5,258.1,260.0,260.65,262.2,13419,351845720000.0,,10796,0.8045
2010-10-25,MBECL,EQ,260.65,262.0,272.95,259.1,267.55,267.9,266.36,50407,1342617895000.0,,23160,0.4595
2010-10-26,MBECL,EQ,267.9,267.05,270.45,263.1,264.0,264.4,267.87,57870,1550167230000.0,,55336,0.9562
2010-10-27,MBECL,EQ,264.4,262.0,269.3,261.3,261.3,262.1,264.45,12819,338997750000.0,,9404,0.7336
2010-10-28,MBECL,EQ,262.1,262.3,267.9,259.1,260.0,260.5,263.78,11179,294885110000.0,,8268,0.7395999999999999
2010-10-29,MBECL,EQ,260.5,260.2,260.75,255.1,255.6,256.25,257.95,21749,561008615000.0,,16349,0.7517
2010-11-01,MBECL,EQ,256.25,264.4,264.4,255.0,256.0,257.15,258.64,39649,1025489930000.0001,,35218,0.8882
2010-11-02,MBECL,EQ,257.15,260.0,260.0,250.2,250.2,250.45,253.28,35879,908759905000.0001,,29677,0.8271
2010-11-03,MBECL,EQ,250.45,251.0,255.0,250.0,253.9,251.2,253.55,19990,506841895000.0,,17176,0.8592000000000001
2010-11-04,MBECL,EQ,251.2,251.35,255.0,248.5,249.0,249.85,250.88,18518,464581805000.0,,14863,0.8026000000000001
2010-11-05,MBECL,EQ,249.85,253.0,258.8,253.0,258.75,257.0,256.64,5064,129959995000.0,,3519,0.6949
2010-11-08,MBECL,EQ,257.0,254.0,257.0,254.0,254.0,254.5,255.42,12542,320348075000.0,,10664,0.8503000000000001
