Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-12-03,MCDHOLDING,EQ,134.95,141.45,141.7,134.0,138.0,135.45,138.81,14099,195702190000.0,,7919,0.5617
2010-12-06,MCDHOLDING,EQ,135.45,133.1,142.0,133.1,134.0,134.85,137.48,10334,142068710000.0,,5225,0.5056
2010-12-07,MCDHOLDING,EQ,134.85,131.05,139.4,131.05,134.6,135.1,135.33,7526,101849340000.0,,4468,0.5937
2010-12-08,MCDHOLDING,EQ,135.1,135.3,136.5,128.35,129.0,129.05,130.42,5232,68236930000.00001,,4027,0.7697
2010-12-09,MCDHOLDING,EQ,129.05,125.5,129.0,122.6,122.7,122.65,123.61,4197,51880435000.0,,3673,0.8751000000000001
2010-12-10,MCDHOLDING,EQ,122.65,117.0,125.0,116.65,123.25,123.9,122.21,8063,98535120000.0,,4559,0.5654
2010-12-13,MCDHOLDING,EQ,123.9,120.45,127.5,120.45,125.0,124.6,124.14,2734,33939259999.999996,,1573,0.5753
2010-12-14,MCDHOLDING,EQ,124.6,123.5,128.0,123.5,125.3,124.9,125.17,3792,47465315000.0,,2462,0.6493000000000001
2010-12-15,MCDHOLDING,EQ,124.9,124.05,126.0,120.0,121.55,121.65,122.6,5575,68348244999.99999,,3977,0.7134
2010-12-16,MCDHOLDING,EQ,121.65,121.2,126.0,120.0,122.35,122.55,123.13,11110,136795050000.0,,8334,0.7501000000000001
2010-12-20,MCDHOLDING,EQ,122.55,121.5,128.7,120.55,126.45,126.65,125.82,7827,98480365000.0,,4313,0.551
2010-12-21,MCDHOLDING,EQ,126.65,124.8,133.0,124.8,133.0,133.0,132.41,5443,72071880000.0,,4240,0.779
2010-12-22,MCDHOLDING,EQ,133.0,137.0,137.0,131.15,131.15,132.25,134.38,6379,85721550000.0,,4101,0.6429
2010-12-23,MCDHOLDING,EQ,132.25,126.0,133.95,126.0,130.95,129.9,130.13,2370,30840934999.999996,,1749,0.738
2010-12-24,MCDHOLDING,EQ,129.9,126.55,133.85,126.55,130.7,129.7,130.04,4556,59246780000.00001,,3862,0.8477
2010-12-27,MCDHOLDING,EQ,129.7,134.0,134.0,129.9,130.0,130.5,130.87,1998,26147680000.0,,1185,0.5931000000000001
2010-12-28,MCDHOLDING,EQ,130.5,129.0,137.05,124.0,137.05,137.05,135.76,26293,356949960000.0,,8929,0.3396
2010-12-29,MCDHOLDING,EQ,137.05,138.5,141.4,135.0,136.75,136.0,138.24,26151,361516435000.0,,15353,0.5871000000000001
2010-12-30,MCDHOLDING,EQ,136.0,141.0,142.0,133.0,137.0,135.95,137.47,12909,177466380000.0,,3751,0.29059999999999997
2010-12-31,MCDHOLDING,EQ,135.95,136.8,141.6,135.05,137.0,137.6,138.58,17528,242905679999.99997,,5886,0.3358
2011-01-03,MCDHOLDING,EQ,137.6,139.95,142.0,138.0,138.85,138.75,139.16,9891,137647765000.0,,4503,0.45530000000000004
2011-01-04,MCDHOLDING,EQ,138.75,138.85,139.0,135.7,136.9,136.65,137.12,5621,77075215000.0,,1557,0.277
2011-01-05,MCDHOLDING,EQ,136.65,136.0,136.4,130.0,133.0,131.7,133.41,4799,64025615000.0,,3570,0.7439
2011-01-06,MCDHOLDING,EQ,131.7,135.75,135.75,128.15,128.15,129.2,131.07,5570,73003860000.0,,3483,0.6253000000000001
2011-01-07,MCDHOLDING,EQ,129.2,130.4,131.25,127.0,129.0,127.7,129.05,5678,73271900000.0,,2970,0.5231
2011-01-10,MCDHOLDING,EQ,127.7,124.15,134.4,116.55,126.75,127.75,129.8,20310,263627100000.0,,10163,0.5004
2011-01-11,MCDHOLDING,EQ,127.75,132.0,132.0,124.0,125.2,125.6,127.19,7859,99955680000.0,,2340,0.2977
2011-01-12,MCDHOLDING,EQ,125.6,129.55,129.55,124.0,126.5,125.8,126.12,6817,85974250000.0,,2682,0.3934
2011-01-13,MCDHOLDING,EQ,125.8,133.35,133.35,125.5,125.85,125.8,127.64,2965,37846285000.0,,1585,0.5346000000000001
2011-01-14,MCDHOLDING,EQ,125.8,127.35,128.0,120.5,123.45,123.7,123.75,5548,68656915000.0,,1966,0.3544
2011-01-17,MCDHOLDING,EQ,123.7,116.05,126.0,116.05,121.5,121.85,123.56,3606,44555720000.0,,2011,0.5577000000000001
2011-01-18,MCDHOLDING,EQ,121.85,125.9,125.9,117.25,118.25,118.55,119.83,8075,96763005000.0,,6126,0.7586
2011-01-19,MCDHOLDING,EQ,118.55,121.65,122.0,118.0,118.0,118.35,119.98,5330,63950000000.0,,3245,0.6088
2011-01-20,MCDHOLDING,EQ,118.35,118.1,119.0,116.0,116.9,117.8,117.38,3430,40261620000.0,,1474,0.42969999999999997
2011-01-21,MCDHOLDING,EQ,117.8,118.0,119.35,115.05,116.0,116.05,117.02,4190,49031765000.0,,2903,0.6928
2011-01-24,MCDHOLDING,EQ,116.05,118.8,119.0,116.5,117.6,117.5,117.5,213919,2513631000000.0,,212569,0.9937
2011-01-25,MCDHOLDING,EQ,117.5,118.5,129.2,118.5,120.8,121.1,124.63,33075,412210420000.0,,9688,0.2929
2011-01-27,MCDHOLDING,EQ,121.1,121.5,122.4,116.0,116.15,116.5,118.99,9621,114480145000.0,,6048,0.6286
2011-01-28,MCDHOLDING,EQ,116.5,117.7,117.7,111.3,112.25,113.5,113.47,5279,59900435000.0,,3006,0.5694
2011-01-31,MCDHOLDING,EQ,113.5,110.05,112.9,105.6,107.2,106.6,108.24,11279,122087685000.00002,,7824,0.6937000000000001
2011-02-01,MCDHOLDING,EQ,106.6,110.0,117.3,102.3,103.9,107.55,114.34,79833,912808135000.0,,6968,0.0873
2011-02-02,MCDHOLDING,EQ,107.55,107.45,109.3,103.0,104.55,104.4,107.08,10852,116207820000.0,,4457,0.4107
2011-02-03,MCDHOLDING,EQ,104.4,105.1,107.0,103.05,105.55,106.0,105.55,5811,61337035000.0,,2507,0.4314
2011-02-04,MCDHOLDING,EQ,106.0,106.5,109.0,104.0,105.3,104.6,106.8,9768,104318665000.0,,4352,0.4455
2011-02-07,MCDHOLDING,EQ,104.6,105.15,106.0,102.0,103.0,102.7,104.27,6818,71088990000.0,,3296,0.48340000000000005
2011-02-08,MCDHOLDING,EQ,102.7,103.25,110.0,99.5,101.5,100.75,104.06,6384,66434794999.99999,,2749,0.43060000000000004
2011-02-09,MCDHOLDING,EQ,100.75,101.1,101.1,91.5,95.55,92.25,95.29,7871,75004080000.0,,3636,0.4619
2011-02-10,MCDHOLDING,EQ,92.25,89.9,93.85,87.0,89.25,89.15,90.35,7729,69834770000.0,,3840,0.4968
2011-02-11,MCDHOLDING,EQ,89.15,92.0,92.0,87.6,90.15,90.35,90.21,8911,80389235000.0,,5289,0.5935
2011-02-14,MCDHOLDING,EQ,90.35,94.0,99.4,91.6,99.4,99.4,97.74,16147,157822610000.0,,8900,0.5512
2011-02-15,MCDHOLDING,EQ,99.4,100.05,103.55,96.5,97.9,98.0,99.35,14956,148592120000.0,,7818,0.5227
2011-02-16,MCDHOLDING,EQ,98.0,99.75,104.0,99.55,102.75,102.25,101.83,14564,148308190000.0,,7682,0.5275
2011-02-17,MCDHOLDING,EQ,102.25,100.65,107.5,100.65,105.55,105.7,105.12,12864,135232070000.0,,8350,0.6491
2011-02-18,MCDHOLDING,EQ,105.7,110.0,115.8,104.55,106.5,105.45,107.8,13737,148086915000.0,,7086,0.5158
2011-02-21,MCDHOLDING,EQ,105.45,104.95,105.5,101.5,102.3,103.15,103.88,4667,48481230000.0,,2579,0.5526
2011-02-22,MCDHOLDING,EQ,103.15,102.1,102.2,98.75,99.0,99.25,100.44,11686,117378410000.00002,,5291,0.45280000000000004
