Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2015-05-06,MEP,EQ,63.0,65.0,65.0,52.8,57.0,58.4,60.15,17012497,102336210035000.0,66558,4818054,0.2832
2015-05-07,MEP,EQ,58.4,57.1,59.95,48.75,52.0,51.5,53.11,3803574,20201276275000.0,19013,1899386,0.4994
2015-05-08,MEP,EQ,51.5,50.75,58.5,50.75,52.0,53.4,55.69,2079792,11582239395000.0,13603,357037,0.17170000000000002
2015-05-11,MEP,EQ,53.4,54.0,58.4,54.0,57.7,57.8,56.43,2879155,16246037850000.0,11832,837986,0.2911
2015-05-12,MEP,EQ,57.8,58.1,58.75,55.6,58.1,58.1,57.49,1037797,5965799625000.0,5847,265917,0.25620000000000004
2015-05-13,MEP,EQ,58.1,58.0,61.75,56.8,58.25,58.7,59.44,2314174,13755985230000.002,10050,965971,0.41740000000000005
2015-05-14,MEP,EQ,58.7,59.0,60.35,57.25,60.0,58.45,59.01,1457363,8599596755000.0,4425,453467,0.31120000000000003
2015-05-15,MEP,EQ,58.45,59.3,60.75,57.55,58.0,59.15,58.76,2168366,12741585915000.0,3592,425872,0.19640000000000002
2015-05-18,MEP,EQ,59.15,58.6,60.0,58.0,59.95,59.7,59.25,1089585,6455407505000.0,2325,748832,0.6873
2015-05-19,MEP,EQ,59.7,59.95,62.0,58.8,61.2,61.3,60.69,1209215,7338416009999.999,5031,319139,0.2639
2015-05-20,MEP,EQ,61.3,61.75,62.0,58.1,58.45,59.1,60.11,888024,5338106600000.0,2383,393658,0.44329999999999997
2015-05-21,MEP,EQ,59.1,58.95,59.35,57.5,57.95,58.05,58.26,533298,3106985885000.0,1711,344310,0.6456000000000001
2015-05-22,MEP,EQ,58.05,58.7,58.75,56.9,57.25,57.35,57.83,391199,2262332360000.0,1296,247736,0.6333
2015-05-25,MEP,EQ,57.35,57.45,59.9,55.15,59.25,59.5,58.89,841624,4956265485000.0,3537,342487,0.4069
2015-05-26,MEP,EQ,59.5,59.3,63.1,58.1,62.5,62.15,61.26,1417209,8681842250000.0,4469,462734,0.3265
2015-05-27,MEP,EQ,62.15,61.55,63.5,59.6,61.3,62.7,62.05,1535455,9526746390000.0,5315,733819,0.4779
2015-05-28,MEP,EQ,62.7,61.45,62.2,59.35,59.5,59.55,60.74,520057,3158775725000.0,2184,233421,0.44880000000000003
2015-05-29,MEP,EQ,59.55,59.5,60.8,56.0,58.5,58.75,58.92,643175,3789534915000.0,1983,328059,0.5101
2015-06-01,MEP,EQ,58.75,59.3,59.7,57.0,58.2,58.25,58.4,496586,2900248270000.0,2126,208796,0.4205
2015-06-02,MEP,EQ,58.25,58.2,58.35,54.6,55.0,55.6,56.58,569389,3221731735000.0,1409,281020,0.49350000000000005
2015-06-03,MEP,EQ,55.6,55.65,57.25,53.0,55.2,55.7,56.13,815274,4576474025000.0,1746,407363,0.4997
2015-06-04,MEP,EQ,55.7,55.1,56.2,50.25,52.0,53.1,53.86,538817,2902229390000.0,1678,128378,0.23829999999999998
2015-06-05,MEP,EQ,53.1,53.0,54.75,52.4,53.4,53.55,53.5,2155694,11532677615000.0,1475,1005027,0.4662
2015-06-08,MEP,EQ,53.55,54.0,55.4,53.25,53.5,54.05,54.4,243936,1326957405000.0,803,126869,0.5201
2015-06-09,MEP,EQ,54.05,53.9,53.9,49.0,50.6,50.5,51.19,231674,1186006085000.0,694,100530,0.4339
2015-06-10,MEP,EQ,50.5,50.5,58.0,50.5,54.6,54.55,56.12,3004670,16860903750000.0,5531,992202,0.33020000000000005
2015-06-11,MEP,EQ,54.55,55.0,55.35,51.8,53.0,53.05,53.37,489840,2614167910000.0,1754,164715,0.33630000000000004
2015-06-12,MEP,EQ,53.05,52.1,53.0,50.5,51.0,51.6,52.23,359642,1878264960000.0002,772,202976,0.5644
2015-06-15,MEP,EQ,51.6,51.5,54.5,51.5,52.5,53.45,53.33,430542,2296120090000.0,1057,160122,0.3719
2015-06-16,MEP,EQ,53.45,54.0,54.6,52.15,54.3,53.85,53.55,295648,1583237630000.0,746,132183,0.4471
2015-06-17,MEP,EQ,53.85,54.6,55.05,53.15,53.9,54.05,54.45,215849,1175327820000.0,531,112169,0.5197
2015-06-18,MEP,EQ,54.05,53.4,54.75,52.0,52.25,52.45,53.29,239821,1277894060000.0,811,117623,0.4905
2015-06-19,MEP,EQ,52.45,53.25,53.9,44.5,45.0,48.05,50.38,1478894,7450266065000.001,2811,730475,0.4939
2015-06-22,MEP,EQ,48.05,48.0,57.35,47.9,55.0,56.4,53.66,2940515,15777440344999.998,10113,1027117,0.3493
2015-06-23,MEP,EQ,56.4,55.1,58.1,52.2,54.0,53.35,55.67,1206601,6717572455000.0,4729,371989,0.30829999999999996
2015-06-24,MEP,EQ,53.35,53.95,56.0,51.65,52.4,52.65,53.7,513272,2756138065000.0,2566,253174,0.4933
2015-06-25,MEP,EQ,52.65,52.05,54.4,52.05,52.5,53.6,53.54,212970,1140241555000.0,693,166163,0.7802
2015-06-26,MEP,EQ,53.6,53.9,61.8,53.5,58.4,58.9,58.67,3098938,18182579830000.0,9545,913984,0.2949
2015-06-29,MEP,EQ,58.9,57.0,63.5,55.7,63.05,62.3,61.0,1608979,9813972785000.0,3940,800403,0.4975
2015-06-30,MEP,EQ,62.3,63.3,65.0,60.4,61.1,61.4,63.38,1880991,11921902430000.0,6291,831715,0.4422
2015-07-01,MEP,EQ,61.4,61.65,64.8,60.75,61.7,63.15,62.68,1507348,9448203015000.0,5365,636750,0.42240000000000005
2015-07-02,MEP,EQ,63.15,62.1,62.85,60.05,60.85,61.0,61.53,788272,4849972125000.0,2005,521024,0.6609999999999999
2015-07-03,MEP,EQ,61.0,61.1,63.45,60.35,62.0,61.5,62.12,790286,4909618545000.0,2097,419431,0.5307000000000001
2015-07-06,MEP,EQ,61.5,61.5,62.9,60.2,61.0,61.05,61.31,676015,4144447054999.9995,1588,525025,0.7766
2015-07-07,MEP,EQ,61.05,61.35,65.85,61.0,61.9,62.2,63.41,3935448,24956459855000.0,11708,1447715,0.3679
2015-07-08,MEP,EQ,62.2,61.35,62.9,60.05,60.55,60.75,61.01,1008903,6155685940000.0,2876,501453,0.49700000000000005
2015-07-09,MEP,EQ,60.75,61.2,62.2,57.2,60.2,59.4,60.23,393257,2368537300000.0,2109,230332,0.5857
2015-07-10,MEP,EQ,59.4,60.1,61.8,59.25,60.0,59.75,60.36,299900,1810171825000.0,1101,193168,0.6441
2015-07-13,MEP,EQ,59.75,60.15,61.6,59.15,59.75,59.8,60.04,742783,4459767205000.0,1375,491619,0.6619
2015-07-14,MEP,EQ,59.8,60.35,60.45,58.1,59.25,59.15,59.41,1342330,7975356740000.001,1624,813267,0.6059
2015-07-15,MEP,EQ,59.15,59.9,59.9,58.1,58.25,58.55,58.83,121793,716508630000.0,683,74625,0.6127
2015-07-16,MEP,EQ,58.55,60.5,64.7,60.0,61.85,61.85,62.99,3733303,23514442830000.0,14761,1112001,0.2979
2015-07-17,MEP,EQ,61.85,63.0,67.2,62.8,63.25,64.75,64.61,8317128,53733548160000.0,19327,3379278,0.40630000000000005
2015-07-20,MEP,EQ,64.75,65.5,65.9,62.4,62.8,62.8,63.83,1053275,6722752755000.0,6031,446127,0.4236
2015-07-21,MEP,EQ,62.8,63.25,63.25,58.1,60.6,59.8,60.68,590816,3584950385000.0,3023,352874,0.5972999999999999
2015-07-22,MEP,EQ,59.8,60.4,60.95,58.2,59.9,59.7,59.45,628720,3737962015000.0,3761,363670,0.5784
2015-07-23,MEP,EQ,59.7,61.0,61.8,56.85,58.5,58.5,58.77,1334475,7842277850000.0,5190,850868,0.6376
