Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-10-04,MLL,EQ,59.25,59.8,61.1,59.1,60.7,60.7,60.11,5729174,34437279920000.0,,2221958,0.38780000000000003
2010-10-05,MLL,EQ,60.7,61.1,64.0,60.8,63.55,63.25,63.06,6688388,42173713325000.0,,2604917,0.3895
2010-10-06,MLL,EQ,63.25,64.9,67.1,64.0,66.3,66.2,65.91,9064479,59741653345000.01,,2527344,0.2788
2010-10-07,MLL,EQ,66.2,66.6,67.75,63.0,64.85,64.5,66.19,3636696,24070935280000.0,,930561,0.2559
2010-10-08,MLL,EQ,64.5,65.25,68.7,63.55,68.35,67.9,66.71,6237206,41610715915000.0,,1512366,0.2425
2010-10-11,MLL,EQ,67.9,68.95,69.0,67.2,67.35,67.6,68.02,3228450,21959811680000.0,,944751,0.2926
2010-10-12,MLL,EQ,67.6,68.2,68.2,64.25,66.8,66.95,65.94,5341242,35219330065000.0,,1767138,0.3308
2010-10-13,MLL,EQ,66.95,67.4,67.8,66.15,66.25,66.3,66.73,2450759,16354856840000.0,,896820,0.36590000000000006
2010-10-14,MLL,EQ,66.3,66.7,68.4,65.4,66.7,66.8,66.89,3614036,24173386695000.0,,779805,0.2158
2010-10-15,MLL,EQ,66.8,67.35,67.4,65.2,65.5,65.65,66.18,1968256,13026863655000.0,,467833,0.2377
2010-10-18,MLL,EQ,65.65,64.85,65.7,62.65,64.95,64.75,64.01,1394698,8926853115000.0,,254378,0.18239999999999998
2010-10-19,MLL,EQ,64.75,65.45,67.8,64.3,65.45,65.6,66.56,3569117,23756586845000.0,,793702,0.2224
2010-10-20,MLL,EQ,65.6,65.0,67.45,65.0,65.4,65.55,66.42,2648493,17591341760000.0,,364045,0.1375
2010-10-21,MLL,EQ,65.55,65.9,66.65,64.95,66.6,66.3,65.91,1550923,10222488260000.0,,304593,0.19640000000000002
2010-10-22,MLL,EQ,66.3,66.3,66.8,64.1,65.2,65.3,65.61,1671639,10967313080000.0,,352712,0.21100000000000002
2010-10-25,MLL,EQ,65.3,66.0,70.5,65.55,70.35,69.95,68.49,6008760,41154453740000.0,,1672001,0.2783
