Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-10-04,CRONIMET,EQ,85.1,84.0,88.65,84.0,85.3,84.7,85.84,22703,194873645000.0,,15546,0.6848000000000001
2010-10-05,CRONIMET,EQ,84.7,82.6,86.0,81.2,82.0,82.4,83.73,11136,93240095000.0,,6455,0.5797
2010-10-06,CRONIMET,EQ,82.4,81.2,86.05,80.0,84.7,84.1,83.66,23021,192599000000.0,,14385,0.6249
2010-10-07,CRONIMET,EQ,84.1,80.35,86.45,80.35,81.5,81.75,83.96,25828,216852240000.0,,17183,0.6653
2010-10-08,CRONIMET,EQ,81.75,81.2,84.0,80.55,81.7,81.4,82.01,32804,269016210000.0,,29704,0.9055
2010-10-11,CRONIMET,EQ,81.4,81.9,83.6,81.5,82.75,82.45,82.11,16627,136524555000.0,,10111,0.6081000000000001
2010-10-12,CRONIMET,EQ,82.45,83.5,84.0,80.5,81.05,81.2,81.87,10981,89897195000.0,,7369,0.6711
2010-10-13,CRONIMET,EQ,81.2,81.1,82.6,81.0,81.0,81.1,81.26,8355,67896405000.00001,,6642,0.795
2010-10-14,CRONIMET,EQ,81.1,81.2,83.25,80.5,81.05,81.0,81.62,9960,81292015000.0,,7487,0.7517
2010-10-15,CRONIMET,EQ,81.0,80.6,84.5,80.6,82.5,82.5,82.57,18076,149246715000.0,,11757,0.6504000000000001
2010-10-18,CRONIMET,EQ,82.5,80.5,89.5,80.5,88.0,88.45,87.17,37195,324238430000.0,,19404,0.5217
2010-10-19,CRONIMET,EQ,88.45,90.2,95.7,90.2,90.55,91.2,93.25,79694,743137855000.0,,43093,0.5407000000000001
2010-10-20,CRONIMET,EQ,91.2,90.0,90.95,87.2,88.1,88.1,88.98,10344,92043890000.0,,6842,0.6614
2010-10-21,CRONIMET,EQ,88.1,81.95,93.4,81.95,93.0,92.65,91.46,32112,293691135000.0,,14377,0.44770000000000004
2010-10-22,CRONIMET,EQ,92.65,86.95,108.0,86.95,101.9,101.95,103.28,324963,3356238054999.9995,,62030,0.19090000000000001
2010-10-25,CRONIMET,EQ,101.95,100.5,104.8,92.2,94.6,94.0,97.86,66361,649400460000.0,,30602,0.4611
2010-10-26,CRONIMET,EQ,94.0,93.05,104.25,93.05,99.95,99.7,100.2,88555,887313650000.0,,23412,0.2644
2010-10-27,CRONIMET,EQ,99.7,97.0,101.9,97.0,101.0,99.85,100.18,31075,311318815000.0,,16611,0.5345000000000001
2010-10-28,CRONIMET,EQ,99.85,96.0,103.0,96.0,98.4,97.85,98.89,20403,201763870000.0,,10470,0.5132
2010-10-29,CRONIMET,EQ,97.85,95.1,101.0,95.1,95.7,95.9,96.4,18511,178451800000.0,,12910,0.6973999999999999
2010-11-01,CRONIMET,EQ,95.9,96.55,99.85,96.55,97.0,97.05,97.66,10116,98787805000.0,,7731,0.7642
2010-11-02,CRONIMET,EQ,97.05,95.3,97.95,95.3,96.0,95.85,96.43,13162,126920700000.0,,8592,0.6528
2010-11-03,CRONIMET,EQ,95.85,94.05,103.6,94.05,102.0,101.35,100.13,32442,324829675000.0,,14586,0.4496
2010-11-04,CRONIMET,EQ,101.35,93.95,104.5,93.95,102.4,101.0,102.7,34558,354922045000.0,,24363,0.705
2010-11-05,CRONIMET,EQ,101.0,108.0,108.0,101.0,104.0,103.85,104.16,15902,165636645000.0,,8489,0.5338
2010-11-08,CRONIMET,EQ,103.85,97.95,106.0,97.95,105.0,104.85,104.96,26114,274084540000.0,,20474,0.784
2010-11-09,CRONIMET,EQ,104.85,101.1,105.9,100.5,101.8,101.65,102.53,26348,270152115000.0,,17587,0.6675
2010-11-10,CRONIMET,EQ,101.65,97.65,111.0,97.65,109.25,109.3,107.68,55146,593789090000.0,,27770,0.5036
2010-11-11,CRONIMET,EQ,109.3,106.5,114.75,106.5,109.1,112.5,112.3,63857,717137955000.0,,44364,0.6947
2010-11-12,CRONIMET,EQ,112.5,106.95,119.2,106.2,110.9,110.65,113.92,118559,1350630615000.0,,42542,0.3588
2010-11-15,CRONIMET,EQ,110.65,114.5,114.5,91.0,104.1,104.7,105.36,53616,564920250000.0,,35884,0.6693000000000001
2010-11-16,CRONIMET,EQ,104.7,101.2,108.5,101.0,105.95,104.05,103.98,36845,383120080000.0,,28990,0.7868
2010-11-18,CRONIMET,EQ,104.05,101.0,108.0,101.0,108.0,107.05,105.55,36599,386317575000.0,,28461,0.7776000000000001
2010-11-19,CRONIMET,EQ,107.05,107.0,108.5,104.5,106.9,106.5,106.65,10732,114453435000.00002,,7813,0.728
2010-11-22,CRONIMET,EQ,106.5,104.5,111.0,104.5,109.9,109.1,109.56,15049,164880975000.0,,11844,0.787
2010-11-23,CRONIMET,EQ,109.1,108.0,111.0,95.0,108.0,108.1,108.04,20100,217167885000.0,,13504,0.6718000000000001
2010-11-24,CRONIMET,EQ,108.1,104.0,111.0,104.0,109.0,107.8,109.48,12918,141426595000.0,,8659,0.6703
2010-11-25,CRONIMET,EQ,107.8,103.0,110.0,100.15,102.55,105.15,104.64,23280,243594395000.00003,,14419,0.6194
2010-11-26,CRONIMET,EQ,105.15,109.7,109.7,92.0,102.9,99.5,98.53,18389,181188795000.0,,11553,0.6283
2010-11-29,CRONIMET,EQ,99.5,98.5,100.05,91.0,91.05,92.65,95.25,24929,237439265000.0,,18095,0.7259000000000001
2010-11-30,CRONIMET,EQ,92.65,87.0,98.0,87.0,95.0,95.25,95.22,8235,78414330000.0,,4066,0.49369999999999997
2010-12-01,CRONIMET,EQ,95.25,90.0,99.0,90.0,98.25,98.6,97.79,8870,86743260000.0,,6509,0.7338
2010-12-02,CRONIMET,EQ,98.6,100.0,106.0,97.0,105.05,105.45,102.1,28488,290876205000.0,,19652,0.6898000000000001
2010-12-03,CRONIMET,EQ,105.45,98.15,108.5,98.15,106.5,106.95,103.66,28976,300363215000.0,,22304,0.7697
2010-12-06,CRONIMET,EQ,106.95,105.0,107.7,101.1,105.0,104.85,104.76,13262,138927100000.0,,10291,0.7759999999999999
2010-12-07,CRONIMET,EQ,104.85,102.0,107.0,100.6,103.0,104.6,104.29,17303,180456430000.0,,11927,0.6893000000000001
2010-12-08,CRONIMET,EQ,104.6,101.0,104.0,96.0,104.0,100.0,100.04,10008,100123635000.0,,7494,0.7488
2010-12-09,CRONIMET,EQ,100.0,98.2,100.0,94.0,94.2,95.75,98.13,16475,161665210000.0,,14575,0.8847
2010-12-10,CRONIMET,EQ,95.75,87.5,100.45,87.5,93.5,94.0,95.6,14588,139457305000.0,,11666,0.7997
2010-12-13,CRONIMET,EQ,94.0,94.05,96.85,91.05,94.0,93.25,93.52,10149,94913885000.0,,6603,0.6506000000000001
2010-12-14,CRONIMET,EQ,93.25,90.0,96.95,90.0,96.0,95.95,94.55,9581,90589025000.0,,7619,0.7952
2010-12-15,CRONIMET,EQ,95.95,92.1,97.0,92.1,95.6,94.7,95.52,7194,68716740000.0,,6358,0.8837999999999999
2010-12-16,CRONIMET,EQ,94.7,92.0,96.1,92.0,93.0,94.5,94.77,3784,35860690000.0,,3475,0.9183
2010-12-20,CRONIMET,EQ,94.5,90.0,98.75,90.0,92.0,92.75,94.02,1236,11620740000.0,,748,0.6052000000000001
2010-12-21,CRONIMET,EQ,92.75,90.2,96.7,90.2,92.75,92.9,93.36,1845,17225840000.0,,1517,0.8222
2010-12-22,CRONIMET,EQ,92.9,90.35,97.8,90.35,93.2,93.25,94.9,9802,93016310000.0,,6688,0.6823
2010-12-23,CRONIMET,EQ,93.25,93.6,96.7,93.6,94.5,94.5,95.35,5592,53322190000.0,,4432,0.7926000000000001
2010-12-24,CRONIMET,EQ,94.5,92.0,97.0,92.0,97.0,97.0,96.62,7959,76899845000.0,,7526,0.9456
2010-12-27,CRONIMET,EQ,97.0,95.0,98.0,93.65,94.1,94.25,95.38,4343,41422605000.0,,3871,0.8913
2010-12-28,CRONIMET,EQ,94.25,92.0,94.0,89.0,90.0,90.45,91.83,7820,71808380000.0,,7294,0.9327
2010-12-29,CRONIMET,EQ,90.45,88.05,94.5,88.05,93.8,93.95,92.91,6059,56297160000.0,,4434,0.7318000000000001
2010-12-30,CRONIMET,EQ,93.95,91.0,96.75,91.0,94.3,94.4,93.68,1973,18482685000.0,,1809,0.9169
2010-12-31,CRONIMET,EQ,94.4,92.0,97.0,92.0,96.9,95.95,95.56,6897,65910825000.0,,6392,0.9268000000000001
2011-01-03,CRONIMET,EQ,95.95,94.0,99.0,94.0,94.2,95.0,95.65,4621,44198385000.0,,1984,0.4293
2011-01-04,CRONIMET,EQ,95.0,93.1,107.0,93.1,103.15,104.55,102.93,261087,2687332195000.0,,40106,0.1536
2011-01-05,CRONIMET,EQ,104.55,102.0,104.6,97.1,98.0,98.0,100.52,31840,320052480000.0,,11787,0.37020000000000003
2011-01-06,CRONIMET,EQ,98.0,95.25,99.05,95.25,96.0,96.2,96.91,6978,67625380000.00001,,3902,0.5592
2011-01-07,CRONIMET,EQ,96.2,94.25,98.85,93.2,93.5,93.9,95.64,12824,122654175000.0,,10435,0.8137000000000001
2011-01-10,CRONIMET,EQ,93.9,90.0,106.65,90.0,91.25,92.4,93.97,10801,101498025000.0,,4639,0.42950000000000005
2011-01-11,CRONIMET,EQ,92.4,90.2,94.95,90.2,93.0,93.0,93.09,11251,104736525000.0,,10102,0.8979
2011-01-12,CRONIMET,EQ,93.0,91.25,97.5,91.25,93.15,93.9,93.67,2252,21095190000.0,,1867,0.8290000000000001
2011-01-13,CRONIMET,EQ,93.9,91.25,95.0,91.25,94.5,93.1,94.03,5157,48490890000.0,,3965,0.7689
2011-01-14,CRONIMET,EQ,93.1,91.25,94.95,91.25,93.0,91.8,92.83,4661,43266395000.0,,2983,0.64
2011-01-17,CRONIMET,EQ,91.8,89.05,94.5,86.15,88.9,87.95,89.05,10835,96490390000.0,,7235,0.6677
2011-01-18,CRONIMET,EQ,87.95,86.1,91.0,86.1,89.4,88.65,88.78,5203,46190565000.0,,2519,0.4841
2011-01-19,CRONIMET,EQ,88.65,86.0,90.2,86.0,88.5,89.75,88.99,2152,19151200000.0,,1757,0.8164
2011-01-20,CRONIMET,EQ,89.75,85.1,95.6,85.1,94.6,94.75,92.45,10172,94043995000.0,,7107,0.6987000000000001
2011-01-21,CRONIMET,EQ,94.75,92.0,96.0,91.1,94.85,93.45,92.93,2878,26746665000.000004,,2036,0.7073999999999999
2011-01-24,CRONIMET,EQ,93.45,90.2,97.0,90.2,92.5,92.6,93.31,2325,21694335000.0,,1693,0.7282
2011-01-25,CRONIMET,EQ,92.6,105.0,105.0,92.1,93.5,93.5,93.72,2535,23758215000.0,,1990,0.785
2011-01-27,CRONIMET,EQ,93.5,91.15,96.5,89.05,91.0,90.5,91.77,2400,22025920000.0,,1257,0.5238
2011-01-28,CRONIMET,EQ,90.5,87.05,92.95,87.0,87.3,87.5,88.29,4188,36976100000.0,,3202,0.7646
2011-01-31,CRONIMET,EQ,87.5,84.15,92.0,84.15,90.0,90.8,89.06,6906,61503485000.0,,6416,0.929
2011-02-01,CRONIMET,EQ,90.8,88.0,92.3,88.0,91.0,91.0,90.61,2242,20315110000.0,,1694,0.7556
2011-02-02,CRONIMET,EQ,91.0,91.1,93.45,86.05,88.5,88.6,89.45,3123,27934325000.0,,1960,0.6276
2011-02-03,CRONIMET,EQ,88.6,86.1,91.2,86.1,90.0,89.9,89.85,2792,25085105000.0,,2351,0.8420000000000001
2011-02-04,CRONIMET,EQ,89.9,85.1,100.0,85.1,88.8,87.05,88.5,3808,33700625000.0,,2638,0.6928
2011-02-07,CRONIMET,EQ,87.05,84.05,93.8,84.05,93.5,90.05,89.16,5625,50154750000.0,,3825,0.68
2011-02-08,CRONIMET,EQ,90.05,85.05,91.0,85.05,91.0,90.15,89.99,4601,41402280000.0,,3983,0.8656999999999999
