Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2012-06-13,MINDACORP,EQ,75.0,45.0,45.0,45.0,45.0,45.0,45.0,1,4500000.0,1,1,1.0
2013-03-01,MINDACORP,EQ,324.9,308.7,308.7,308.7,308.7,308.7,308.7,3,92610000.0,2,3,1.0
2013-03-04,MINDACORP,EQ,308.7,293.3,293.3,293.3,293.3,293.3,293.3,1,29330000.0,1,1,1.0
2013-03-05,MINDACORP,EQ,293.3,300.0,300.0,300.0,300.0,300.0,300.0,11,330000000.0,2,11,1.0
2013-03-25,MINDACORP,EQ,300.0,289.0,289.0,289.0,289.0,289.0,289.0,1,28900000.0,1,1,1.0
2013-04-01,MINDACORP,EQ,289.0,302.0,303.0,302.0,303.0,303.0,302.03,103,3110900000.0,3,103,1.0
2013-04-05,MINDACORP,EQ,303.0,303.0,303.0,295.0,295.0,295.0,301.67,30,905000000.0,3,30,1.0
2013-04-08,MINDACORP,EQ,295.0,280.5,280.5,280.5,280.5,280.5,280.5,6,168300000.0,3,6,1.0
2013-05-10,MINDACORP,EQ,280.5,290.0,290.0,290.0,290.0,290.0,290.0,10,290000000.0,1,10,1.0
2013-05-13,MINDACORP,EQ,290.0,304.0,304.0,304.0,304.0,304.0,304.0,1,30400000.0,1,1,1.0
2013-05-14,MINDACORP,EQ,304.0,304.0,304.0,304.0,304.0,304.0,304.0,1,30400000.0,1,1,1.0
2013-05-20,MINDACORP,EQ,304.0,310.0,310.0,309.0,309.0,309.0,309.5,2,61900000.0,2,1,0.5
2013-05-21,MINDACORP,EQ,309.0,295.0,295.0,295.0,295.0,295.0,295.0,1,29500000.0,1,1,1.0
2013-06-24,MINDACORP,EQ,295.0,290.0,290.0,290.0,290.0,290.0,290.0,9,261000000.0,3,9,1.0
2013-08-29,MINDACORP,EQ,290.0,290.0,290.0,290.0,290.0,290.0,290.0,5,145000000.0,1,5,1.0
2013-09-17,MINDACORP,EQ,290.0,275.5,275.5,275.5,275.5,275.5,275.5,2,55100000.0,2,1,0.5
2013-10-07,MINDACORP,EQ,275.5,262.0,262.0,262.0,262.0,262.0,262.0,1,26200000.0,1,1,1.0
