Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-10-04,MIRCELECTR,EQ,25.4,26.15,27.1,25.5,25.8,25.65,26.08,378836,988178369999.9999,,196358,0.5183
2010-10-05,MIRCELECTR,EQ,25.65,25.75,26.1,25.3,25.3,25.4,25.87,263866,682709125000.0,,197800,0.7495999999999999
2010-10-06,MIRCELECTR,EQ,25.4,25.6,26.7,25.2,25.45,25.6,26.09,439391,1146413845000.0,,236949,0.5393
2010-10-07,MIRCELECTR,EQ,25.6,25.75,27.5,25.6,26.6,26.55,26.73,1544094,4127220590000.0,,693914,0.44939999999999997
2010-10-08,MIRCELECTR,EQ,26.55,27.0,27.9,26.5,26.75,26.85,27.16,944748,2565708595000.0,,320952,0.3397
2010-10-11,MIRCELECTR,EQ,26.85,27.4,27.4,26.7,27.0,27.0,27.01,245047,661780710000.0,,136003,0.555
2010-10-12,MIRCELECTR,EQ,27.0,27.0,29.6,27.0,28.6,28.75,28.6,2524128,7218997805000.0,,763665,0.3025
2010-10-13,MIRCELECTR,EQ,28.75,29.2,30.45,28.7,29.3,29.35,29.62,2379914,7048439350000.0,,876201,0.3682
2010-10-14,MIRCELECTR,EQ,29.35,29.9,29.9,27.8,28.1,28.15,28.46,684885,1949150105000.0,,345329,0.5042
2010-10-15,MIRCELECTR,EQ,28.15,28.15,28.4,27.5,27.95,27.75,27.88,379452,1057725265000.0,,156531,0.41250000000000003
2010-10-18,MIRCELECTR,EQ,27.75,27.8,28.15,26.75,27.3,27.5,27.22,277792,756108700000.0,,104782,0.3772
2010-10-19,MIRCELECTR,EQ,27.5,27.75,28.3,27.05,27.8,27.7,27.84,324389,903018605000.0001,,118528,0.3654
2010-10-20,MIRCELECTR,EQ,27.7,27.8,28.2,26.9,27.2,27.15,27.39,324252,888221060000.0,,121629,0.3751
2010-10-21,MIRCELECTR,EQ,27.15,27.3,28.4,27.15,28.4,28.0,27.76,407375,1131036465000.0,,192730,0.4731
2010-10-22,MIRCELECTR,EQ,28.0,28.45,29.15,28.0,28.3,28.45,28.59,520190,1487222375000.0,,283648,0.5453
2010-10-25,MIRCELECTR,EQ,28.45,28.95,28.95,27.15,27.35,27.6,27.51,360209,990848810000.0,,185813,0.5158
2010-10-26,MIRCELECTR,EQ,27.6,27.65,27.85,26.65,26.9,26.9,26.97,253751,684291995000.0,,134196,0.5288
2010-10-27,MIRCELECTR,EQ,26.9,26.7,27.25,25.75,26.25,26.35,26.46,401043,1061047415000.0,,159879,0.3987
2010-10-28,MIRCELECTR,EQ,26.35,26.5,26.85,25.4,25.8,25.6,25.95,198745,515652440000.00006,,108411,0.5455
2010-10-29,MIRCELECTR,EQ,25.6,25.65,26.5,25.1,25.4,25.45,25.59,171806,439699820000.0,,84445,0.4915
2010-11-01,MIRCELECTR,EQ,25.45,24.5,26.3,24.5,26.0,25.95,25.89,134085,347129590000.0,,85482,0.6375000000000001
2010-11-02,MIRCELECTR,EQ,25.95,26.25,26.25,25.65,25.7,25.8,25.99,110166,286327115000.0,,51039,0.4633
2010-11-03,MIRCELECTR,EQ,25.8,26.2,26.6,25.0,25.85,25.95,26.01,233497,607393600000.0,,100943,0.43229999999999996
2010-11-04,MIRCELECTR,EQ,25.95,26.0,26.25,25.1,26.0,25.8,25.7,135624,348491005000.0,,57721,0.42560000000000003
2010-11-05,MIRCELECTR,EQ,25.8,26.0,26.6,25.85,26.1,26.1,26.2,47569,124650085000.00002,,30372,0.6385000000000001
2010-11-08,MIRCELECTR,EQ,26.1,26.0,27.0,25.7,26.85,26.8,26.46,304702,806139605000.0,,198245,0.6506000000000001
2010-11-09,MIRCELECTR,EQ,26.8,26.75,27.0,26.3,26.6,26.6,26.51,136451,361793220000.0,,70244,0.5147999999999999
2010-11-10,MIRCELECTR,EQ,26.6,26.65,27.3,26.05,27.0,27.0,26.85,160939,432146620000.0,,68808,0.4275
2010-11-11,MIRCELECTR,EQ,27.0,27.85,28.4,26.4,26.55,26.95,27.65,471544,1303727950000.0,,214684,0.45530000000000004
2010-11-12,MIRCELECTR,EQ,26.95,27.0,27.2,24.8,25.2,25.2,25.78,361540,932110419999.9999,,244589,0.6765000000000001
2010-11-15,MIRCELECTR,EQ,25.2,24.55,25.7,24.55,25.35,25.25,25.32,163964,415128225000.0,,108699,0.6629
2010-11-16,MIRCELECTR,EQ,25.25,25.25,25.45,23.85,24.15,24.25,24.39,206451,503471065000.00006,,127879,0.6194
2010-11-18,MIRCELECTR,EQ,24.25,24.25,24.5,23.5,24.0,23.75,23.89,200398,478771830000.0,,113128,0.5645
2010-11-19,MIRCELECTR,EQ,23.75,24.0,24.25,23.65,23.7,23.75,23.84,114141,272111450000.0,,50395,0.4415
2010-11-22,MIRCELECTR,EQ,23.75,23.9,24.9,23.55,24.5,24.5,24.19,122199,295606935000.0,,45656,0.3736
2010-11-23,MIRCELECTR,EQ,24.5,24.45,24.6,22.6,23.4,23.6,23.51,213008,500759575000.0,,141209,0.6629
2010-11-24,MIRCELECTR,EQ,23.6,23.9,23.9,23.0,23.05,23.15,23.62,111512,263379045000.00003,,83334,0.7473000000000001
2010-11-25,MIRCELECTR,EQ,23.15,23.25,23.55,22.05,22.2,22.4,22.76,42797,97406980000.0,,33955,0.7934000000000001
2010-11-26,MIRCELECTR,EQ,22.4,22.4,23.3,21.15,21.4,21.45,21.7,115206,249952700000.0,,69184,0.6005
2010-11-29,MIRCELECTR,EQ,21.45,20.05,22.4,20.05,20.95,20.7,20.84,212257,442390145000.0,,149819,0.7058
2010-11-30,MIRCELECTR,EQ,20.7,20.65,22.65,20.45,22.1,22.2,21.61,143882,310864140000.0,,79133,0.55
2010-12-01,MIRCELECTR,EQ,22.2,22.2,24.15,22.2,23.25,23.5,23.16,150649,348902970000.0,,76491,0.5077
