Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-10-04,MMTC,EQ,1350.25,1352.0,1369.0,1350.0,1353.75,1352.05,1358.39,15999,2173294670000.0,,6781,0.4238
2010-10-05,MMTC,EQ,1352.05,1360.0,1370.0,1352.0,1353.65,1355.9,1358.97,13340,1812862489999.9998,,7362,0.5519
2010-10-06,MMTC,EQ,1355.9,1357.05,1395.0,1346.05,1349.0,1356.4,1374.58,71461,9822875475000.0,,21049,0.29460000000000003
2010-10-07,MMTC,EQ,1356.4,1368.0,1380.0,1335.0,1340.0,1345.35,1359.4,38485,5231650865000.0,,18555,0.48210000000000003
2010-10-08,MMTC,EQ,1345.35,1346.05,1360.0,1340.0,1344.0,1342.05,1348.18,13925,1877347445000.0,,5981,0.42950000000000005
2010-10-11,MMTC,EQ,1342.05,1350.0,1358.0,1342.6,1342.6,1344.95,1348.46,9875,1331604285000.0,,4054,0.4105
2010-10-12,MMTC,EQ,1344.95,1345.05,1352.0,1330.0,1345.0,1342.55,1340.86,14836,1989292825000.0,,5740,0.38689999999999997
2010-10-13,MMTC,EQ,1342.55,1350.25,1350.25,1335.0,1342.25,1337.2,1340.59,14142,1895866850000.0,,7398,0.5231
2010-10-14,MMTC,EQ,1337.2,1347.8,1351.9,1335.0,1339.0,1337.45,1343.49,13035,1751243055000.0,,6255,0.47990000000000005
2010-10-15,MMTC,EQ,1337.45,1340.05,1347.9,1322.0,1328.0,1326.8,1331.46,13761,1832216139999.9998,,8185,0.5948
2010-10-18,MMTC,EQ,1326.8,1330.0,1340.0,1317.0,1319.5,1319.3,1321.81,8847,1169401240000.0,,4748,0.5367000000000001
2010-10-19,MMTC,EQ,1319.3,1327.5,1333.0,1310.25,1310.25,1314.7,1321.03,11252,1486424370000.0,,5831,0.5182
2010-10-20,MMTC,EQ,1314.7,1320.5,1322.0,1305.0,1308.3,1307.3,1312.05,9657,1267049830000.0,,5249,0.5435
2010-10-21,MMTC,EQ,1307.3,1315.0,1319.9,1300.1,1305.25,1305.0,1309.07,9240,1209581260000.0,,4854,0.5253
2010-10-22,MMTC,EQ,1305.0,1310.5,1315.8,1300.0,1300.05,1300.7,1306.72,13241,1730222320000.0,,7470,0.5642
2010-10-25,MMTC,EQ,1300.7,1307.0,1335.0,1301.2,1317.0,1314.55,1318.2,19402,2557576560000.0,,6867,0.3539
2010-10-26,MMTC,EQ,1314.55,1318.5,1368.0,1305.0,1312.0,1320.4,1338.19,45059,6029762725000.0,,10995,0.244
2010-10-27,MMTC,EQ,1320.4,1316.0,1331.0,1306.0,1306.0,1310.85,1318.47,9198,1212729245000.0,,4349,0.4728
2010-10-28,MMTC,EQ,1310.85,1340.0,1348.8,1304.05,1305.0,1308.3,1314.51,7671,1008357905000.0001,,3859,0.5031
2010-10-29,MMTC,EQ,1308.3,1315.0,1315.05,1288.0,1296.0,1292.45,1301.1,12740,1657599700000.0,,6957,0.5461
2010-11-01,MMTC,EQ,1292.45,1300.2,1314.8,1295.0,1298.5,1297.25,1302.27,7046,917582815000.0,,4063,0.5766
2010-11-02,MMTC,EQ,1297.25,1302.5,1306.45,1278.1,1287.0,1285.05,1289.38,15419,1988092564999.9998,,6841,0.4437
2010-11-03,MMTC,EQ,1285.05,1300.0,1328.6,1287.0,1290.0,1291.75,1307.11,29391,3841725460000.0,,8571,0.2916
2010-11-04,MMTC,EQ,1291.75,1298.0,1325.0,1282.1,1303.5,1304.6,1310.49,23447,3072704125000.0,,4886,0.2084
2010-11-05,MMTC,EQ,1304.6,1311.1,1319.9,1310.0,1313.0,1313.95,1314.08,5210,684635830000.0,,3358,0.6445000000000001
2010-11-08,MMTC,EQ,1313.95,1319.6,1325.0,1290.1,1301.0,1297.3,1303.1,9810,1278338820000.0,,5642,0.5751
2010-11-09,MMTC,EQ,1297.3,1302.6,1318.0,1295.0,1299.0,1298.55,1304.7,15070,1966186385000.0002,,6158,0.4086
2010-11-10,MMTC,EQ,1298.55,1298.0,1315.0,1293.0,1300.0,1297.35,1301.6,16516,2149716310000.0002,,7297,0.4418
