Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2013-03-14,MOHITIND,EQ,46.0,46.1,52.85,45.9,48.9,47.7,47.84,3475,16623685000.0,78,1337,0.3847
2013-03-15,MOHITIND,EQ,47.7,47.7,48.8,46.3,46.3,46.7,46.96,3279,15399629999.999998,59,2628,0.8015000000000001
2013-03-18,MOHITIND,EQ,46.7,48.95,48.95,46.3,47.0,46.45,46.6,491,2287950000.0,12,491,1.0
2013-03-19,MOHITIND,EQ,46.45,46.5,48.7,45.8,47.3,46.05,46.05,71025,327085740000.0,34,70725,0.9958
2013-03-20,MOHITIND,EQ,46.05,46.05,47.9,44.8,46.4,46.45,46.18,34136,157636170000.0,57,31847,0.9329000000000001
2013-03-21,MOHITIND,EQ,46.45,49.0,49.0,45.25,46.75,46.1,47.0,133949,629558370000.0,267,25482,0.1902
2013-03-22,MOHITIND,EQ,46.1,46.0,46.5,44.0,45.75,45.55,45.68,150938,689517130000.0,460,78016,0.5169
2013-03-25,MOHITIND,EQ,45.55,45.15,45.15,39.1,39.15,39.65,42.48,27621,117334675000.0,116,20006,0.7243
2013-03-26,MOHITIND,EQ,39.65,42.25,42.25,38.5,40.85,40.6,40.14,351,1408955000.0,31,170,0.4843
2013-03-28,MOHITIND,EQ,40.6,40.35,42.5,39.0,41.2,40.9,40.7,7336,29859140000.000004,40,7334,0.9997
2013-04-01,MOHITIND,EQ,40.9,41.25,44.85,38.05,39.0,39.4,40.47,5274,21343355000.0,86,2814,0.5336
2013-04-02,MOHITIND,EQ,39.4,40.0,43.05,38.8,40.4,39.8,39.89,11966,47732895000.0,106,7109,0.5941
2013-04-03,MOHITIND,EQ,39.8,41.4,41.4,38.0,39.45,38.95,39.1,10096,39471625000.0,91,6256,0.6197
2013-04-04,MOHITIND,EQ,38.95,38.6,39.9,36.1,36.55,36.9,37.08,24252,89927700000.0,84,20955,0.8641
2013-04-05,MOHITIND,EQ,36.9,39.0,39.0,35.6,37.95,37.65,36.81,28652,105476300000.0,107,15178,0.5297
2013-04-08,MOHITIND,EQ,37.65,38.5,40.0,36.8,37.6,37.5,39.01,9558,37282075000.0,69,6860,0.7177
2013-04-09,MOHITIND,EQ,37.5,37.1,38.5,36.1,36.15,36.7,36.82,2688,9897995000.0,41,1433,0.5331
2013-04-10,MOHITIND,EQ,36.7,37.5,39.4,37.0,39.0,39.0,37.32,225,839690000.0,13,225,1.0
2013-04-11,MOHITIND,EQ,39.0,37.5,37.95,36.5,37.95,37.95,37.01,636,2353700000.0,23,536,0.8428
2013-04-12,MOHITIND,EQ,37.95,37.05,40.25,36.0,39.8,39.8,38.11,1393,5308685000.0,20,368,0.26420000000000005
