Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2015-02-23,MOLDTKPAC,EQ,247.0,246.05,249.95,235.15,243.0,242.75,244.26,7038,171911120000.0,177,4091,0.5813
2015-02-24,MOLDTKPAC,EQ,242.75,245.0,247.9,231.1,243.0,243.1,244.13,13749,335648800000.0,248,9952,0.7238
2015-02-25,MOLDTKPAC,EQ,243.1,245.0,245.0,231.2,233.15,233.35,237.22,6279,148953480000.0,142,5073,0.8079000000000001
2015-02-26,MOLDTKPAC,EQ,233.35,232.0,233.15,222.0,222.55,223.05,226.68,5495,124562130000.0,175,4515,0.8217
2015-02-27,MOLDTKPAC,EQ,223.05,233.8,240.0,224.0,225.0,225.85,231.09,39437,911357519999.9999,284,32856,0.8331000000000001
2015-02-28,MOLDTKPAC,EQ,225.85,225.85,238.0,220.1,225.0,225.3,225.44,12580,283608905000.0,262,7415,0.5894
2015-03-02,MOLDTKPAC,EQ,225.3,229.9,230.0,221.25,225.0,225.35,226.61,12912,292603265000.0,298,9650,0.7474
2015-03-03,MOLDTKPAC,EQ,225.35,222.0,229.95,222.0,225.5,226.4,227.09,14797,336026955000.0,302,12017,0.8120999999999999
2015-03-04,MOLDTKPAC,EQ,226.4,222.1,234.7,222.1,226.5,225.3,227.69,24921,567431235000.0,489,17796,0.7141
2015-03-05,MOLDTKPAC,EQ,225.3,229.5,229.5,222.0,224.0,224.65,225.09,21095,474836730000.0,300,18407,0.8726
2015-03-09,MOLDTKPAC,EQ,224.65,229.0,229.0,222.0,222.15,225.7,224.86,15919,357952075000.0,295,12568,0.7895000000000001
2015-03-10,MOLDTKPAC,EQ,225.7,225.7,226.5,220.05,225.0,224.8,224.91,15681,352688310000.0,191,14646,0.934
2015-03-11,MOLDTKPAC,EQ,224.8,224.8,228.85,216.0,217.0,219.1,224.09,38218,856435694999.9999,678,22426,0.5868
2015-03-12,MOLDTKPAC,EQ,219.1,219.5,248.9,219.5,238.0,238.0,238.77,87800,2096436910000.0002,2145,44927,0.5117
2015-03-13,MOLDTKPAC,EQ,238.0,241.0,246.0,226.0,226.0,227.1,233.03,46677,1087703355000.0001,1649,26981,0.578
2015-03-16,MOLDTKPAC,EQ,227.1,223.15,232.9,218.0,218.0,220.1,221.37,19645,434877070000.0,360,15359,0.7818
2015-03-17,MOLDTKPAC,EQ,220.1,216.5,227.0,216.0,216.5,217.5,220.23,25183,554605540000.0,1026,15010,0.596
2015-03-18,MOLDTKPAC,EQ,217.5,220.5,223.7,215.1,218.9,217.75,219.06,10535,230781920000.00003,327,7666,0.7277
2015-03-19,MOLDTKPAC,EQ,217.75,215.05,225.0,215.05,219.25,221.05,221.1,13538,299330020000.0,438,7555,0.5581
2015-03-20,MOLDTKPAC,EQ,221.05,220.0,225.0,214.0,216.0,219.45,217.61,16690,363184300000.0,440,9925,0.5947
2015-03-23,MOLDTKPAC,EQ,219.45,224.5,229.9,216.1,218.0,217.1,220.43,18770,413747135000.0,451,11004,0.5863
2015-03-24,MOLDTKPAC,EQ,217.1,221.0,222.5,207.0,214.95,209.05,211.34,14007,296026495000.0,409,8781,0.6269
2015-03-25,MOLDTKPAC,EQ,209.05,210.15,212.95,201.2,205.0,205.7,206.8,11401,235771065000.0,332,7044,0.6178
2015-03-26,MOLDTKPAC,EQ,205.7,204.3,212.65,204.0,212.55,210.25,209.89,16024,336330950000.0,363,11468,0.7156999999999999
2015-03-27,MOLDTKPAC,EQ,210.25,212.95,212.95,201.5,202.0,204.0,203.78,44006,896753925000.0,341,40874,0.9288
2015-03-30,MOLDTKPAC,EQ,204.0,204.5,215.0,204.0,212.7,211.55,210.66,15458,325643720000.0,411,10905,0.7055
2015-03-31,MOLDTKPAC,EQ,211.55,212.85,215.0,207.0,215.0,211.95,210.81,10236,215786379999.99997,408,7655,0.7479000000000001
2015-04-01,MOLDTKPAC,EQ,211.95,214.95,216.45,211.2,215.0,213.65,213.19,9363,199608150000.0,239,6589,0.7037000000000001
