Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-10-04,MTNL,EQ,63.5,63.1,65.25,62.9,64.9,64.15,63.81,1652971,10547756400000.0,,1125989,0.6812
2010-10-05,MTNL,EQ,64.15,65.1,67.6,64.6,66.35,66.4,66.66,3567761,23784254085000.0,,1268445,0.3555
2010-10-06,MTNL,EQ,66.4,66.75,67.75,66.15,66.45,66.55,66.79,1033809,6904853175000.0,,373019,0.3608
2010-10-07,MTNL,EQ,66.55,66.95,68.45,65.7,66.0,66.1,67.35,1858868,12519939325000.0,,681176,0.3664
2010-10-08,MTNL,EQ,66.1,66.5,66.95,65.1,65.6,65.35,65.87,678813,4471282815000.0,,218436,0.32180000000000003
2010-10-11,MTNL,EQ,65.35,65.9,66.7,64.8,65.6,65.65,65.78,570862,3755004179999.9995,,226105,0.3961
2010-10-12,MTNL,EQ,65.65,66.0,67.95,65.7,67.45,67.55,67.04,3463657,23221522360000.0,,927849,0.26789999999999997
2010-10-13,MTNL,EQ,67.55,68.5,71.2,68.05,69.2,69.15,69.63,5050685,35170155700000.0,,1565504,0.31
2010-10-14,MTNL,EQ,69.15,69.5,69.8,66.4,66.55,67.2,68.23,1321413,9016094890000.0,,356450,0.2697
2010-10-15,MTNL,EQ,67.2,67.0,68.85,66.5,67.05,67.1,67.83,1593366,10807989040000.0,,279549,0.1754
2010-10-18,MTNL,EQ,67.1,67.0,67.4,65.45,66.3,66.15,66.18,614057,4064009715000.0,,165568,0.2696
2010-10-19,MTNL,EQ,66.15,67.3,69.65,66.55,66.95,67.1,68.2,2297602,15670339730000.002,,674027,0.2934
2010-10-20,MTNL,EQ,67.1,66.25,68.35,66.0,66.5,66.6,67.49,1117856,7544815700000.0,,259031,0.23170000000000002
2010-10-21,MTNL,EQ,66.6,66.8,67.8,66.8,67.65,67.3,67.15,764249,5132026975000.0,,305954,0.40030000000000004
2010-10-22,MTNL,EQ,67.3,67.5,68.7,66.2,67.45,67.25,67.69,633266,4286452540000.0,,171564,0.27090000000000003
2010-10-25,MTNL,EQ,67.25,67.5,70.95,66.65,70.9,70.45,68.85,2619497,18036466870000.0,,1172606,0.4476
2010-10-26,MTNL,EQ,70.45,71.0,71.5,68.65,69.15,69.1,70.33,2509709,17651410870000.0,,794065,0.3164
2010-10-27,MTNL,EQ,69.1,69.95,70.5,68.3,69.9,70.0,69.53,1566684,10893133130000.0,,503847,0.3216
