Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-10-04,MUKANDLTD,EQ,75.0,76.0,76.35,74.1,74.1,74.35,75.26,33383,251235640000.0,,23523,0.7046
2010-10-05,MUKANDLTD,EQ,74.35,73.5,76.0,73.5,75.2,74.85,74.93,38130,285692650000.0,,23666,0.6207
2010-10-06,MUKANDLTD,EQ,74.85,76.0,76.5,75.05,75.8,75.75,75.88,67288,510598350000.0,,34170,0.5078
2010-10-07,MUKANDLTD,EQ,75.75,76.0,76.0,74.0,74.05,74.15,75.21,37735,283793645000.0,,23036,0.6104999999999999
2010-10-08,MUKANDLTD,EQ,74.15,74.6,75.3,73.25,73.75,73.6,73.86,25335,187133860000.0,,15644,0.6175
2010-10-11,MUKANDLTD,EQ,73.6,75.9,75.9,73.3,73.3,73.7,74.18,21720,161113265000.0,,11707,0.539
2010-10-12,MUKANDLTD,EQ,73.7,74.1,74.5,73.3,74.05,73.9,73.83,13797,101857685000.0,,8115,0.5882000000000001
2010-10-13,MUKANDLTD,EQ,73.9,74.8,74.8,73.5,73.75,73.8,73.99,31230,231084990000.0,,20789,0.6657
2010-10-14,MUKANDLTD,EQ,73.8,73.1,75.0,73.1,73.9,73.75,74.2,42333,314113700000.0,,18558,0.43840000000000007
2010-10-15,MUKANDLTD,EQ,73.75,74.0,74.0,72.5,72.9,72.8,73.17,21375,156403445000.0,,12806,0.5991
2010-10-18,MUKANDLTD,EQ,72.8,73.5,74.1,70.0,73.15,73.5,72.72,29856,217125215000.0,,11874,0.39770000000000005
2010-10-19,MUKANDLTD,EQ,73.5,73.5,75.9,72.35,72.6,73.1,73.51,40689,299105295000.0,,16714,0.4108
2010-10-20,MUKANDLTD,EQ,73.1,73.0,73.75,70.9,70.95,71.2,71.8,41327,296743200000.0,,24349,0.5892000000000001
2010-10-21,MUKANDLTD,EQ,71.2,71.95,72.5,70.3,71.7,71.85,71.58,33055,236608860000.0,,18841,0.5700000000000001
