Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-10-04,MUNJALSHOW,EQ,57.9,57.8,58.9,57.4,57.45,57.9,58.0,19126,110927689999.99998,,14053,0.7348
2010-10-05,MUNJALSHOW,EQ,57.9,57.3,59.45,57.3,59.2,58.95,58.69,16572,97260455000.0,,11888,0.7173999999999999
2010-10-06,MUNJALSHOW,EQ,58.95,58.05,62.0,58.05,59.05,59.5,60.1,53113,319218280000.0,,29099,0.5479
2010-10-07,MUNJALSHOW,EQ,59.5,59.65,60.55,57.8,58.05,58.05,59.19,43831,259445410000.0,,33593,0.7664
2010-10-08,MUNJALSHOW,EQ,58.05,57.55,59.4,57.55,58.75,58.9,58.75,12301,72267715000.0,,10053,0.8173
2010-10-11,MUNJALSHOW,EQ,58.9,58.75,60.0,58.5,59.25,59.15,59.01,18288,107920295000.0,,10228,0.5593
2010-10-12,MUNJALSHOW,EQ,59.15,59.0,59.35,58.5,59.3,59.25,58.83,5533,32552425000.0,,3845,0.6949
2010-10-13,MUNJALSHOW,EQ,59.25,58.0,63.4,58.0,61.3,61.55,62.1,144425,896870550000.0,,76194,0.5276
2010-10-14,MUNJALSHOW,EQ,61.55,60.1,63.3,60.1,62.5,62.05,62.5,126082,788007995000.0,,67372,0.5344
2010-10-15,MUNJALSHOW,EQ,62.05,60.1,62.95,60.1,61.8,62.0,62.26,54955,342140570000.0,,37149,0.6759999999999999
2010-10-18,MUNJALSHOW,EQ,62.0,62.0,62.35,61.05,61.5,61.5,61.5,16650,102390060000.0,,14019,0.8420000000000001
2010-10-19,MUNJALSHOW,EQ,61.5,61.5,67.25,61.05,63.7,64.05,65.23,427416,2788195975000.0,,121537,0.28440000000000004
2010-10-20,MUNJALSHOW,EQ,64.05,64.0,65.5,63.6,64.0,63.95,64.87,106026,687740920000.0,,67770,0.6392
2010-10-21,MUNJALSHOW,EQ,63.95,64.2,65.35,63.6,64.4,64.35,64.44,71710,462121305000.0,,42427,0.5916
2010-10-22,MUNJALSHOW,EQ,64.35,63.6,65.4,63.6,64.05,64.3,64.65,27987,180922895000.0,,18175,0.6494
2010-10-25,MUNJALSHOW,EQ,64.3,65.0,65.5,63.5,63.5,63.6,64.6,55683,359703505000.0,,38598,0.6931999999999999
2010-10-26,MUNJALSHOW,EQ,63.6,64.35,66.0,63.05,65.0,65.4,64.93,111223,722217390000.0,,78730,0.7079000000000001
2010-10-27,MUNJALSHOW,EQ,65.4,68.8,70.0,66.1,67.25,67.1,67.37,262804,1770520950000.0,,152444,0.5801
2010-10-28,MUNJALSHOW,EQ,67.1,67.5,72.8,67.5,72.8,71.4,70.84,815500,5776933410000.0,,358625,0.43979999999999997
2010-10-29,MUNJALSHOW,EQ,71.4,72.1,73.45,65.2,66.0,66.15,69.21,738681,5112516470000.0,,336462,0.45549999999999996
2010-11-01,MUNJALSHOW,EQ,66.15,68.0,68.95,65.95,67.3,67.05,67.35,160928,1083829125000.0,,79596,0.49460000000000004
2010-11-02,MUNJALSHOW,EQ,67.05,67.1,68.0,66.0,67.6,67.1,66.85,95286,636949970000.0,,64938,0.6815000000000001
