Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-10-04,MURUDCERA,EQ,38.8,38.0,39.0,38.0,38.45,38.6,38.56,13089,50473415000.0,,9506,0.7263
2010-10-05,MURUDCERA,EQ,38.6,38.8,41.0,38.45,39.2,39.35,39.94,48042,191863165000.0,,23539,0.49
2010-10-06,MURUDCERA,EQ,39.35,40.0,40.15,39.0,39.1,39.1,39.57,14936,59096740000.0,,10258,0.6868000000000001
2010-10-07,MURUDCERA,EQ,39.1,38.65,40.2,38.6,39.75,39.6,39.62,36750,145619445000.0,,26182,0.7123999999999999
2010-10-08,MURUDCERA,EQ,39.6,40.9,41.75,38.55,38.7,38.9,40.35,81171,327564830000.0,,37691,0.4643
2010-10-11,MURUDCERA,EQ,38.9,40.0,40.1,38.1,38.75,39.0,39.3,32477,127630420000.0,,18497,0.5695
2010-10-12,MURUDCERA,EQ,39.0,41.7,41.7,38.8,38.8,39.3,39.82,71551,284933620000.0,,49358,0.6898000000000001
2010-10-13,MURUDCERA,EQ,39.3,39.75,40.2,39.25,39.4,39.4,39.69,69938,277570610000.0,,52465,0.7502
2010-10-14,MURUDCERA,EQ,39.4,39.25,40.25,39.25,39.3,39.5,39.76,44972,178795365000.0,,32028,0.7122
2010-10-15,MURUDCERA,EQ,39.5,38.15,40.05,38.15,39.4,39.2,39.31,33280,130814214999.99998,,25838,0.7764
2010-10-18,MURUDCERA,EQ,39.2,40.2,40.2,38.1,39.0,38.8,38.62,76238,294457855000.0,,58647,0.7693000000000001
2010-10-19,MURUDCERA,EQ,38.8,35.15,35.15,29.0,31.0,30.95,30.98,141969,439857340000.00006,,81262,0.5724
2010-10-20,MURUDCERA,EQ,30.95,31.0,31.9,29.15,29.5,29.75,30.53,31065,94851695000.0,,20685,0.6659
2010-10-21,MURUDCERA,EQ,29.75,29.15,30.0,28.2,28.85,28.9,28.88,37404,108005755000.0,,26011,0.6954000000000001
2010-10-22,MURUDCERA,EQ,28.9,29.0,29.75,28.0,28.7,28.95,28.98,27551,79836480000.0,,17131,0.6218
2010-10-25,MURUDCERA,EQ,28.95,29.0,29.4,28.25,28.35,28.6,28.59,14211,40635900000.0,,9509,0.6691
2010-10-26,MURUDCERA,EQ,28.6,28.2,28.95,28.1,28.85,28.6,28.54,13299,37949545000.0,,12025,0.9042
2010-10-27,MURUDCERA,EQ,28.6,28.25,29.9,28.0,29.35,28.95,28.63,6250,17893710000.0,,4818,0.7709
