Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-10-04,MVL,EQ,78.95,80.0,81.0,78.1,78.45,78.55,79.23,73332,580996415000.0,,29361,0.4004
2010-10-05,MVL,EQ,78.55,78.5,79.0,77.1,77.5,77.5,78.12,139854,1092582130000.0001,,21959,0.157
2010-10-06,MVL,EQ,77.5,78.0,81.5,77.5,78.9,78.75,79.82,656722,5242250615000.0,,427343,0.6507
2010-10-07,MVL,EQ,78.75,79.65,81.0,78.0,78.1,78.15,78.86,343089,2705706790000.0,,168477,0.4911
2010-10-08,MVL,EQ,78.15,79.3,79.35,75.6,76.6,76.6,77.13,105141,810926690000.0,,25651,0.244
2010-10-11,MVL,EQ,76.6,79.5,79.5,75.1,75.5,75.85,75.84,682809,5178442305000.0,,428104,0.627
2010-10-12,MVL,EQ,75.85,75.1,76.0,72.15,72.85,72.65,73.17,93926,687262195000.0,,49712,0.5293
2010-10-13,MVL,EQ,72.65,73.0,84.0,72.1,81.0,80.5,80.78,731972,5912591240000.0,,224966,0.3073
2010-10-14,MVL,EQ,80.5,76.0,83.45,76.0,77.5,77.0,80.64,262328,2115515485000.0002,,113073,0.43100000000000005
2010-10-15,MVL,EQ,77.0,78.0,79.3,76.5,76.65,77.0,77.38,169765,1313629425000.0,,145569,0.8575
2010-10-18,MVL,EQ,77.0,77.5,78.5,72.7,73.7,74.25,75.02,192373,1443265155000.0,,121609,0.6322
2010-10-19,MVL,EQ,74.25,75.5,76.5,74.0,74.05,74.2,75.1,43201,324453660000.0,,13313,0.30820000000000003
2010-10-20,MVL,EQ,74.2,74.0,76.45,73.6,74.35,74.05,75.23,56036,421556440000.00006,,17175,0.3065
2010-10-21,MVL,EQ,74.05,74.05,75.45,73.5,73.5,73.85,74.06,59732,442403195000.0,,36257,0.6070000000000001
2010-10-22,MVL,EQ,73.85,72.4,74.75,72.3,74.0,73.5,73.6,96660,711454300000.0,,72132,0.7462000000000001
2010-10-25,MVL,EQ,73.5,74.65,75.4,73.95,74.0,74.65,74.92,71226,533617015000.00006,,44720,0.6279
2010-10-26,MVL,EQ,74.65,75.5,75.85,72.8,73.0,73.6,73.89,392186,2897925160000.0,,196830,0.5019
2010-10-27,MVL,EQ,73.6,73.0,75.5,72.2,74.25,73.9,74.05,57874,428550855000.0,,26393,0.456
2010-10-28,MVL,EQ,73.9,74.0,74.0,67.15,68.35,67.9,69.37,390752,2710583675000.0,,133666,0.3421
2010-10-29,MVL,EQ,67.9,69.2,71.0,63.5,64.25,65.75,67.56,358141,2419449055000.0,,118107,0.3298
2010-11-01,MVL,EQ,65.75,66.6,67.5,62.4,63.65,63.65,64.09,511006,3274851910000.0,,433173,0.8477
2010-11-02,MVL,EQ,63.65,64.15,69.4,60.6,62.4,62.85,65.73,3325602,21858616390000.0,,2283208,0.6866
