Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-10-04,NAGREEKCAP,EQ,37.0,37.25,37.25,35.4,35.55,35.6,35.84,2117,7587210000.000001,,1465,0.6920000000000001
2010-10-05,NAGREEKCAP,EQ,35.6,36.9,37.25,36.15,37.0,36.95,36.81,8764,32260790000.000004,,4859,0.5544
2010-10-06,NAGREEKCAP,EQ,36.95,38.0,40.75,35.45,37.05,37.3,37.81,10744,40624715000.0,,3230,0.3006
2010-10-07,NAGREEKCAP,EQ,37.3,39.0,39.0,37.0,37.0,37.35,38.08,16548,63009400000.0,,12073,0.7295999999999999
2010-10-08,NAGREEKCAP,EQ,37.35,37.05,38.25,36.1,36.1,36.55,37.3,2675,9977125000.0,,1300,0.48600000000000004
2010-10-11,NAGREEKCAP,EQ,36.55,37.85,38.2,37.1,37.2,37.2,37.27,2729,10170680000.0,,2304,0.8443
2010-10-12,NAGREEKCAP,EQ,37.2,35.3,37.75,35.3,37.7,37.7,36.52,1928,7040810000.000001,,500,0.2593
2010-10-13,NAGREEKCAP,EQ,37.7,35.95,38.5,35.95,37.4,37.35,37.55,5219,19598915000.0,,3066,0.5875
2010-10-14,NAGREEKCAP,EQ,37.35,35.55,37.5,35.55,36.8,36.8,37.08,1766,6548455000.0,,1765,0.9994
2010-10-15,NAGREEKCAP,EQ,36.8,37.2,37.6,36.3,36.6,36.55,36.66,1619,5935330000.0,,1520,0.9389000000000001
2010-10-18,NAGREEKCAP,EQ,36.55,33.0,37.0,33.0,37.0,36.5,36.17,1391,5031600000.0,,921,0.6620999999999999
2010-10-19,NAGREEKCAP,EQ,36.5,36.35,37.9,36.35,36.85,36.85,36.79,2751,10120090000.0,,1970,0.7161
2010-10-20,NAGREEKCAP,EQ,36.85,36.55,37.0,36.4,36.4,36.4,36.54,306,1118020000.0,,206,0.6731999999999999
2010-10-21,NAGREEKCAP,EQ,36.4,36.5,37.75,36.5,36.6,36.6,37.02,334,1236525000.0,,229,0.6856
2010-10-22,NAGREEKCAP,EQ,36.6,37.0,37.75,36.2,36.4,36.75,36.71,791,2903410000.0,,601,0.7598
2010-10-25,NAGREEKCAP,EQ,36.75,35.15,38.0,35.15,37.0,37.05,37.08,3241,12016480000.0,,1923,0.5933
2010-10-26,NAGREEKCAP,EQ,37.05,35.85,37.75,35.85,37.5,37.45,37.29,432,1610990000.0,,340,0.787
2010-10-27,NAGREEKCAP,EQ,37.45,38.0,38.0,36.65,37.0,37.0,37.99,402,1527365000.0,,400,0.995
2010-10-28,NAGREEKCAP,EQ,37.0,36.95,38.75,36.85,37.45,37.75,37.91,2518,9546575000.0,,2185,0.8678
2010-10-29,NAGREEKCAP,EQ,37.75,36.1,38.0,36.0,38.0,36.35,36.4,420,1528690000.0,,240,0.5714
2010-11-01,NAGREEKCAP,EQ,36.35,36.6,38.0,36.55,36.55,36.75,37.16,3395,12615425000.0,,545,0.1605
2010-11-02,NAGREEKCAP,EQ,36.75,37.9,37.9,36.3,36.55,36.55,36.95,525,1940000000.0,,425,0.8095
2010-11-03,NAGREEKCAP,EQ,36.55,36.7,37.9,36.7,37.9,37.85,37.2,1189,4422655000.0,,913,0.7679
2010-11-04,NAGREEKCAP,EQ,37.85,41.95,45.0,37.35,38.0,37.7,40.07,6503,26059045000.0,,4668,0.7178
2010-11-05,NAGREEKCAP,EQ,37.7,35.25,36.1,35.25,36.1,35.65,35.68,1000,3567500000.0,,500,0.5
2010-11-08,NAGREEKCAP,EQ,35.65,35.5,42.8,35.5,42.8,42.5,41.2,19057,78521175000.0,,14032,0.7363
2010-11-09,NAGREEKCAP,EQ,42.5,44.9,48.8,43.2,43.2,43.65,45.46,45546,207071320000.0,,24819,0.5449
2010-11-10,NAGREEKCAP,EQ,43.65,46.0,52.2,43.5,43.5,44.1,47.65,12942,61663155000.00001,,7048,0.5446
2010-11-11,NAGREEKCAP,EQ,44.1,44.0,47.5,43.6,44.1,43.9,45.42,10885,49440080000.0,,6731,0.6184000000000001
2010-11-12,NAGREEKCAP,EQ,43.9,45.0,46.95,42.15,42.15,42.3,43.57,13818,60205940000.0,,12638,0.9146
2010-11-15,NAGREEKCAP,EQ,42.3,42.2,43.4,41.2,42.45,42.35,42.21,829,3499400000.0,,660,0.7961
2010-11-16,NAGREEKCAP,EQ,42.35,39.35,41.5,39.0,39.0,39.7,39.84,4924,19618625000.0,,4088,0.8301999999999999
2010-11-18,NAGREEKCAP,EQ,39.7,45.7,45.7,35.6,40.0,39.9,39.93,1192,4759830000.0,,910,0.7634000000000001
2010-11-19,NAGREEKCAP,EQ,39.9,39.5,41.5,38.55,38.65,38.6,38.73,498,1928715000.0000002,,467,0.9378000000000001
2010-11-22,NAGREEKCAP,EQ,38.6,38.5,39.4,37.75,37.75,38.0,38.1,333,1268570000.0,,222,0.6667000000000001
2010-11-23,NAGREEKCAP,EQ,38.0,37.5,38.5,36.55,38.2,37.95,37.79,2893,10933865000.0,,2779,0.9606
2010-11-24,NAGREEKCAP,EQ,37.95,37.5,43.85,36.95,41.0,41.55,41.9,26160,109619010000.00002,,6036,0.23070000000000002
2010-11-25,NAGREEKCAP,EQ,41.55,39.0,42.95,39.0,39.6,39.75,41.7,8224,34295025000.0,,2457,0.2988
2010-11-26,NAGREEKCAP,EQ,39.75,38.0,38.45,32.45,36.0,36.0,36.33,6567,23859525000.0,,4823,0.7343999999999999
2010-11-29,NAGREEKCAP,EQ,36.0,35.1,37.6,35.1,36.0,36.0,36.42,1686,6139970000.0,,673,0.3992
2010-11-30,NAGREEKCAP,EQ,36.0,33.3,38.3,33.3,37.05,37.5,36.54,686,2506920000.0,,493,0.7187
