Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-12-03,NAHARINVST,EQ,47.9,47.0,48.25,47.0,48.25,48.05,47.98,43029,206445635000.0,,42471,0.9870000000000001
2010-12-06,NAHARINVST,EQ,48.05,48.1,48.1,45.65,46.25,46.2,46.64,7897,36829560000.0,,7111,0.9005
2010-12-07,NAHARINVST,EQ,46.2,45.5,45.5,43.9,44.0,44.0,44.32,3486,15450054999.999998,,2952,0.8468000000000001
2010-12-08,NAHARINVST,EQ,44.0,44.5,44.5,42.0,43.05,43.05,43.01,2399,10317950000.0,,2161,0.9008
2010-12-09,NAHARINVST,EQ,43.05,42.0,42.9,40.9,40.9,40.9,41.19,4638,19104875000.0,,4183,0.9019
2010-12-10,NAHARINVST,EQ,40.9,39.0,41.0,38.85,39.95,40.0,39.81,2731,10871720000.0,,2239,0.8198000000000001
2010-12-13,NAHARINVST,EQ,40.0,40.0,42.0,40.0,42.0,42.0,41.91,2069,8671140000.0,,1905,0.9207
2010-12-14,NAHARINVST,EQ,42.0,41.4,43.0,40.5,41.0,41.1,41.19,1274,5247975000.0,,1085,0.8516
2010-12-15,NAHARINVST,EQ,41.1,41.5,41.5,40.6,41.0,41.0,41.16,2109,8681400000.0,,1804,0.8554
2010-12-16,NAHARINVST,EQ,41.0,40.5,41.35,40.1,41.0,41.05,41.04,4040,16579860000.0,,3454,0.855
2010-12-20,NAHARINVST,EQ,41.05,41.5,42.35,40.0,40.0,40.05,40.2,3381,13591210000.0,,3363,0.9947
2010-12-21,NAHARINVST,EQ,40.05,40.25,41.45,40.25,40.5,40.5,40.49,415,1680425000.0,,408,0.9831000000000001
2010-12-22,NAHARINVST,EQ,40.5,41.95,41.95,40.05,41.45,41.15,40.8,8838,36062910000.0,,3604,0.4078
2010-12-23,NAHARINVST,EQ,41.15,41.75,41.75,40.5,41.0,41.45,41.11,2251,9253115000.0,,1931,0.8578
2010-12-24,NAHARINVST,EQ,41.45,41.75,41.75,40.25,40.3,40.3,40.48,480,1942845000.0,,474,0.9875
2010-12-27,NAHARINVST,EQ,40.3,40.35,41.7,40.35,41.7,41.45,41.08,1984,8150945000.0,,1373,0.6920000000000001
2010-12-28,NAHARINVST,EQ,41.45,41.0,41.0,40.6,40.6,40.6,40.74,3412,13900929999.999998,,3102,0.9091
2010-12-29,NAHARINVST,EQ,40.6,40.65,40.75,40.65,40.75,40.75,40.68,1015,4128680000.0000005,,1015,1.0
2010-12-30,NAHARINVST,EQ,40.75,40.2,41.25,40.2,40.6,40.6,40.96,9908,40587535000.0,,8921,0.9004000000000001
2010-12-31,NAHARINVST,EQ,40.6,40.65,42.45,40.6,41.5,41.5,41.55,10921,45372955000.0,,6354,0.5818
2011-01-03,NAHARINVST,EQ,41.5,41.5,42.5,40.85,41.7,41.9,41.84,9221,38579560000.0,,8265,0.8963
2011-01-04,NAHARINVST,EQ,41.9,41.25,42.4,41.2,42.3,42.3,41.69,1903,7933039999.999999,,1526,0.8019
2011-01-05,NAHARINVST,EQ,42.3,41.6,41.6,41.0,41.0,41.0,41.38,1421,5880140000.0,,1419,0.9986
2011-01-06,NAHARINVST,EQ,41.0,40.0,42.95,40.0,41.0,41.0,40.78,14066,57366155000.00001,,11937,0.8486
2011-01-07,NAHARINVST,EQ,41.0,41.0,41.0,39.5,40.0,40.0,40.11,1911,7664860000.000001,,1656,0.8666
2011-01-10,NAHARINVST,EQ,40.0,37.7,41.0,37.7,40.1,40.1,39.76,2429,9657555000.0,,2075,0.8543000000000001
2011-01-11,NAHARINVST,EQ,40.1,39.5,40.4,39.3,40.1,40.0,39.82,2060,8202030000.0,,1210,0.5874
2011-01-12,NAHARINVST,EQ,40.0,40.05,40.05,38.75,39.1,39.1,39.27,7707,30267480000.0,,5565,0.7221
2011-01-13,NAHARINVST,EQ,39.1,38.75,41.0,38.15,40.9,40.9,39.09,2686,10499380000.0,,2167,0.8068000000000001
2011-01-14,NAHARINVST,EQ,40.9,40.0,41.0,39.1,41.0,39.1,39.11,446,1744270000.0,,442,0.991
2011-01-17,NAHARINVST,EQ,39.1,36.35,42.6,36.35,38.5,38.5,38.49,974,3748619999.9999995,,970,0.9959
2011-01-18,NAHARINVST,EQ,38.5,38.5,40.5,38.5,38.8,38.5,38.55,1598,6160215000.0,,1253,0.7841
2011-01-19,NAHARINVST,EQ,38.5,38.05,39.0,38.05,38.8,38.55,38.43,375,1441220000.0,,274,0.7306999999999999
2011-01-20,NAHARINVST,EQ,38.55,38.0,38.1,38.0,38.1,38.1,38.06,66,251210000.0,,41,0.6212
2011-01-21,NAHARINVST,EQ,38.1,38.0,38.95,38.0,38.7,38.5,38.56,2646,10203920000.0,,2318,0.876
2011-01-24,NAHARINVST,EQ,38.5,37.5,40.25,37.5,38.5,38.45,39.11,6157,24077925000.0,,5451,0.8853
2011-01-25,NAHARINVST,EQ,38.45,38.0,38.95,37.3,37.3,37.9,38.01,6135,23317970000.0,,3855,0.6284000000000001
2011-01-27,NAHARINVST,EQ,37.9,40.95,41.4,39.3,40.65,40.45,40.42,9807,39639715000.0,,7729,0.7881
