Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-10-04,NATCOPHARM,EQ,288.65,292.4,293.0,287.0,288.2,288.2,289.8,121965,3534497204999.9995,,42674,0.34990000000000004
2010-10-05,NATCOPHARM,EQ,288.2,289.9,293.3,283.0,283.0,284.95,287.44,283020,8135066340000.001,,151242,0.5344
2010-10-06,NATCOPHARM,EQ,284.95,286.5,289.65,273.0,274.8,278.6,285.16,280269,7992122650000.0,,163585,0.5837
2010-10-07,NATCOPHARM,EQ,278.6,277.6,282.0,270.25,273.0,272.8,276.9,341001,9442316580000.0,,188793,0.5536
2010-10-08,NATCOPHARM,EQ,272.8,273.0,278.8,265.1,268.1,269.35,272.04,101868,2771242985000.0,,30243,0.2969
2010-10-11,NATCOPHARM,EQ,269.35,283.5,298.0,270.4,273.0,272.5,273.83,64160,1756903210000.0002,,25037,0.39020000000000005
2010-10-12,NATCOPHARM,EQ,272.5,273.35,274.0,267.1,273.5,273.0,271.38,56753,1540142815000.0,,20063,0.35350000000000004
2010-10-13,NATCOPHARM,EQ,273.0,273.6,282.0,272.1,282.0,280.35,279.11,174901,4881681265000.0,,96719,0.5529999999999999
2010-10-14,NATCOPHARM,EQ,280.35,283.0,283.5,277.8,280.5,280.15,280.41,68403,1918067070000.0,,42299,0.6184000000000001
2010-10-15,NATCOPHARM,EQ,280.15,284.05,287.6,278.2,281.0,280.1,282.61,100483,2839761855000.0,,34691,0.34520000000000006
2010-10-18,NATCOPHARM,EQ,280.1,283.2,284.0,270.5,281.5,282.95,279.76,46897,1312010785000.0,,29867,0.6369
2010-10-19,NATCOPHARM,EQ,282.95,281.5,284.0,275.2,278.0,279.15,279.41,97338,2719705200000.0,,21665,0.22260000000000002
2010-10-20,NATCOPHARM,EQ,279.15,266.25,277.9,266.25,277.4,275.5,274.88,48327,1328399395000.0,,22645,0.4686
2010-10-21,NATCOPHARM,EQ,275.5,277.5,285.0,277.0,283.0,282.15,281.86,73116,2060811939999.9998,,25569,0.3497
2010-10-22,NATCOPHARM,EQ,282.15,284.95,284.95,279.0,283.05,281.1,280.52,28606,802462415000.0,,10486,0.3666
2010-10-25,NATCOPHARM,EQ,281.1,280.1,284.85,277.0,277.5,281.7,281.39,39795,1119782205000.0,,11813,0.2968
2010-10-26,NATCOPHARM,EQ,281.7,279.0,283.9,276.3,279.0,279.1,279.99,32417,907634640000.0,,10654,0.3287
2010-10-27,NATCOPHARM,EQ,279.1,277.0,297.8,276.0,289.35,288.95,290.53,685856,19926156435000.0,,132621,0.19340000000000002
2010-10-28,NATCOPHARM,EQ,288.95,296.7,296.7,278.1,281.4,280.2,288.6,357818,10326752565000.0,,102983,0.2878
2010-10-29,NATCOPHARM,EQ,280.2,280.4,280.8,266.4,270.7,269.85,272.2,113114,3078984960000.0,,52664,0.4656
2010-11-01,NATCOPHARM,EQ,269.85,273.9,275.0,270.05,272.0,271.95,272.02,56933,1548676715000.0,,16751,0.2942
2010-11-02,NATCOPHARM,EQ,271.95,272.0,283.8,267.5,277.85,276.85,276.99,186450,5164455155000.0,,30460,0.1634
2010-11-03,NATCOPHARM,EQ,276.85,279.0,280.0,273.0,276.6,276.65,277.28,69287,1921212160000.0002,,31008,0.4475
2010-11-04,NATCOPHARM,EQ,276.65,278.0,280.0,273.0,277.0,279.25,277.09,85989,2382650215000.0,,28948,0.33659999999999995
2010-11-05,NATCOPHARM,EQ,279.25,280.0,280.0,277.2,278.0,279.55,279.57,31138,870529894999.9999,,24728,0.7941
2010-11-08,NATCOPHARM,EQ,279.55,280.0,294.7,275.0,289.0,289.2,289.2,295867,8556609170000.0,,92825,0.31370000000000003
2010-11-09,NATCOPHARM,EQ,289.2,291.0,314.0,289.5,313.0,311.7,306.47,1280082,39230212045000.0,,269626,0.21059999999999998
2010-11-10,NATCOPHARM,EQ,311.7,314.75,344.95,310.0,338.5,338.2,329.17,1681219,55341182245000.01,,383382,0.228
2010-11-11,NATCOPHARM,EQ,338.2,340.9,344.0,323.0,333.0,332.6,334.97,488454,16361956694999.998,,111475,0.22820000000000001
2010-11-12,NATCOPHARM,EQ,332.6,335.5,335.9,310.0,312.35,312.85,319.78,193675,6193328970000.0,,66687,0.3443
2010-11-15,NATCOPHARM,EQ,312.85,314.0,335.4,306.0,328.0,322.05,325.2,490885,15963477310000.0,,92928,0.1893
2010-11-16,NATCOPHARM,EQ,322.05,323.0,329.5,315.65,319.5,320.15,322.33,204750,6599630930000.0,,85052,0.4154
2010-11-18,NATCOPHARM,EQ,320.15,321.0,328.0,304.0,308.0,308.5,311.34,113068,3520307890000.0,,38245,0.3382
2010-11-19,NATCOPHARM,EQ,308.5,310.0,331.9,306.05,315.0,315.0,323.22,411506,13300895580000.0,,50907,0.12369999999999999
2010-11-22,NATCOPHARM,EQ,315.0,318.3,328.0,316.25,319.5,319.9,320.73,97913,3140407620000.0,,23260,0.23760000000000003
2010-11-23,NATCOPHARM,EQ,319.9,321.0,321.3,292.65,314.0,312.4,309.61,102991,3188705895000.0,,32364,0.31420000000000003
2010-11-24,NATCOPHARM,EQ,312.4,312.6,338.5,312.0,324.1,324.05,330.06,633843,20920325245000.0,,79846,0.126
2010-11-25,NATCOPHARM,EQ,324.05,325.0,342.0,318.65,326.5,327.2,334.08,601203,20084798875000.0,,72379,0.1204
2010-11-26,NATCOPHARM,EQ,327.2,329.8,332.9,275.0,320.5,318.05,315.39,293453,9255195285000.0,,72510,0.24710000000000001
2010-11-29,NATCOPHARM,EQ,318.05,322.9,326.0,310.0,318.0,319.95,318.46,127517,4060909900000.0,,51765,0.40590000000000004
2010-11-30,NATCOPHARM,EQ,319.95,318.0,323.0,313.5,316.1,316.6,318.59,78092,2487941400000.0,,14110,0.1807
2010-12-01,NATCOPHARM,EQ,316.6,319.25,339.9,319.25,334.0,335.65,330.98,184433,6104301440000.0,,50383,0.2732
2010-12-02,NATCOPHARM,EQ,335.65,339.65,357.0,335.65,347.4,348.05,350.62,587632,20603798940000.0,,95760,0.163
2010-12-03,NATCOPHARM,EQ,348.05,350.9,350.9,327.5,334.0,335.15,336.79,130358,4390377240000.0,,43545,0.334
2010-12-06,NATCOPHARM,EQ,335.15,337.0,346.0,325.0,327.0,327.35,336.68,83201,2801249070000.0,,32578,0.39159999999999995
2010-12-07,NATCOPHARM,EQ,327.35,325.0,334.4,312.2,331.0,329.85,324.06,176216,5710465375000.0,,41965,0.23809999999999998
2010-12-08,NATCOPHARM,EQ,329.85,328.05,339.0,321.2,321.2,324.35,330.94,199125,6589789445000.0,,45181,0.22690000000000002
2010-12-09,NATCOPHARM,EQ,324.35,326.8,326.8,288.0,290.0,292.05,306.11,172846,5290959965000.0,,63482,0.36729999999999996
2010-12-10,NATCOPHARM,EQ,292.05,290.0,314.9,286.0,314.0,311.3,304.0,152862,4646972910000.0,,44227,0.2893
2010-12-13,NATCOPHARM,EQ,311.3,316.85,327.95,313.0,322.3,320.05,319.65,153699,4913053655000.0,,48229,0.3138
2010-12-14,NATCOPHARM,EQ,320.05,323.7,329.0,318.2,325.0,323.7,323.9,79031,2559796230000.0,,24035,0.3041
