Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-10-04,NAUKRI,EQ,693.9,700.35,780.0,700.0,730.5,727.8,733.04,110677,8113030770000.0,,49474,0.44700000000000006
2010-10-05,NAUKRI,EQ,727.8,730.0,765.0,721.05,730.0,730.0,742.23,293133,21757139030000.0,,253394,0.8644
2010-10-06,NAUKRI,EQ,730.0,741.05,749.9,727.5,744.0,741.95,739.72,78996,5843502650000.0,,59311,0.7508
2010-10-07,NAUKRI,EQ,741.95,740.0,754.0,722.25,750.0,747.6,746.08,55353,4129799700000.0,,27374,0.49450000000000005
2010-10-08,NAUKRI,EQ,747.6,750.0,763.0,737.05,752.1,753.05,752.51,81773,6153509990000.0,,76821,0.9394
2010-10-11,NAUKRI,EQ,753.05,780.0,780.0,723.1,737.5,736.0,742.74,236067,17533731550000.0,,223968,0.9487000000000001
2010-10-12,NAUKRI,EQ,736.0,729.0,729.0,681.1,688.0,696.75,704.33,31010,2184128664999.9998,,18570,0.5988
2010-10-13,NAUKRI,EQ,696.75,696.75,704.9,666.35,694.0,690.4,684.13,37011,2532019330000.0,,20976,0.5668
2010-10-14,NAUKRI,EQ,690.4,697.0,697.0,670.2,673.8,674.6,683.57,9374,640777445000.0,,5957,0.6355
2010-10-15,NAUKRI,EQ,674.6,670.0,691.9,660.0,663.0,663.05,674.38,3995,269412945000.00003,,2480,0.6208
2010-10-18,NAUKRI,EQ,663.05,660.0,670.0,634.2,639.0,638.85,640.62,8962,574123720000.0,,5872,0.6552
2010-10-19,NAUKRI,EQ,638.85,650.0,650.0,615.15,620.0,621.15,639.54,114450,7319519490000.001,,109429,0.9561000000000001
2010-10-20,NAUKRI,EQ,621.15,620.0,634.8,614.0,627.0,624.95,628.15,26560,1668357885000.0,,20586,0.7751000000000001
2010-10-21,NAUKRI,EQ,624.95,625.0,679.0,625.0,645.1,654.5,657.58,85962,5652655675000.0,,33312,0.3875
2010-10-22,NAUKRI,EQ,654.5,657.4,657.4,632.0,634.8,634.9,641.64,27073,1737106620000.0,,12805,0.473
2010-10-25,NAUKRI,EQ,634.9,644.0,660.0,632.8,635.0,646.5,648.37,83087,5387100655000.0,,44475,0.5353
2010-10-26,NAUKRI,EQ,646.5,654.0,737.7,650.0,687.0,687.25,691.48,311504,21539947250000.0,,128120,0.41130000000000005
2010-10-27,NAUKRI,EQ,687.25,688.0,688.0,655.0,675.0,670.75,674.69,102337,6904533575000.0,,76638,0.7489
2010-10-28,NAUKRI,EQ,670.75,688.0,688.0,670.3,680.0,678.6,679.86,57600,3915975904999.9995,,42921,0.7452
2010-10-29,NAUKRI,EQ,678.6,670.0,697.6,670.0,680.0,680.35,680.27,60905,4143176429999.9995,,54553,0.8956999999999999
2010-11-01,NAUKRI,EQ,680.35,690.0,710.0,672.15,677.1,689.5,689.46,78627,5421006555000.0,,58152,0.7395999999999999
2010-11-02,NAUKRI,EQ,689.5,677.0,686.7,660.1,661.4,664.9,670.51,12521,839548419999.9999,,6664,0.5322
2010-11-03,NAUKRI,EQ,664.9,683.0,690.0,651.05,661.5,657.7,673.85,39141,2637525430000.0,,18719,0.4782
2010-11-04,NAUKRI,EQ,657.7,660.8,689.0,660.8,673.0,675.1,676.15,29963,2025936164999.9998,,12327,0.4114
2010-11-05,NAUKRI,EQ,675.1,689.5,689.5,663.2,663.2,676.1,677.44,924,62595385000.0,,514,0.5563
2010-11-08,NAUKRI,EQ,676.1,687.0,687.0,663.0,663.0,668.2,671.97,8264,555314985000.0,,5111,0.6185
2010-11-09,NAUKRI,EQ,668.2,662.0,678.5,661.2,668.0,666.95,668.97,26959,1803484510000.0002,,22816,0.8462999999999999
2010-11-10,NAUKRI,EQ,666.95,668.2,673.6,662.3,662.3,667.75,669.01,25702,1719501820000.0,,13317,0.5181
