Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-10-04,NAVINFLUOR,EQ,303.9,305.0,308.8,280.8,298.5,298.25,298.05,64174,1912684475000.0,,31994,0.4986
2010-10-05,NAVINFLUOR,EQ,298.25,298.0,308.2,295.0,303.6,303.9,304.25,93663,2849689575000.0,,27726,0.29600000000000004
2010-10-06,NAVINFLUOR,EQ,303.9,305.0,308.65,301.0,305.5,305.1,305.89,47823,1462876335000.0,,24556,0.5135000000000001
2010-10-07,NAVINFLUOR,EQ,305.1,305.0,309.95,302.0,305.5,304.35,306.38,54425,1667456690000.0,,24347,0.4473
2010-10-08,NAVINFLUOR,EQ,304.35,305.0,306.8,300.0,301.85,301.35,302.81,20087,608256935000.0,,13494,0.6718000000000001
2010-10-11,NAVINFLUOR,EQ,301.35,303.55,312.0,301.3,306.3,307.5,308.09,67232,2071319889999.9998,,21001,0.3124
2010-10-12,NAVINFLUOR,EQ,307.5,305.35,308.95,301.9,303.0,302.95,304.21,21591,656819115000.0,,17030,0.7888
2010-10-13,NAVINFLUOR,EQ,302.95,300.15,306.0,298.25,298.25,299.85,302.19,53513,1617134155000.0,,39897,0.7456
2010-10-14,NAVINFLUOR,EQ,299.85,306.9,306.9,296.5,296.6,298.0,299.86,31609,947816280000.0001,,21321,0.6745
2010-10-15,NAVINFLUOR,EQ,298.0,298.0,303.0,295.0,296.5,295.35,297.45,19458,578774000000.0,,14947,0.7682
2010-10-18,NAVINFLUOR,EQ,295.35,299.0,303.0,295.15,299.25,299.9,299.11,19119,571867160000.0,,11004,0.5756
2010-10-19,NAVINFLUOR,EQ,299.9,303.0,308.5,300.05,301.0,301.55,304.6,45448,1384342620000.0,,19347,0.4257
2010-10-20,NAVINFLUOR,EQ,301.55,295.0,295.8,288.4,290.0,289.25,291.35,54335,1583053390000.0,,34307,0.6314000000000001
2010-10-21,NAVINFLUOR,EQ,289.25,291.0,291.2,285.5,287.25,287.35,288.63,25129,725305365000.0,,17290,0.688
2010-10-22,NAVINFLUOR,EQ,287.35,292.95,298.4,288.55,293.1,293.45,294.71,45484,1340438550000.0,,16372,0.36
