Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-10-04,NECLIFE,EQ,32.55,32.7,32.95,32.15,32.35,32.2,32.43,93148,302121040000.0,,55493,0.5958
2010-10-05,NECLIFE,EQ,32.2,32.15,32.45,31.9,31.9,32.0,32.16,162038,521191270000.0,,118673,0.7323999999999999
2010-10-06,NECLIFE,EQ,32.0,32.5,32.8,32.05,32.2,32.45,32.34,102373,331059030000.0,,61788,0.6036
2010-10-07,NECLIFE,EQ,32.45,33.0,33.0,31.75,31.9,31.8,32.07,282286,905283880000.0001,,237410,0.841
2010-10-08,NECLIFE,EQ,31.8,32.0,32.15,31.1,31.5,31.5,31.48,136989,431305805000.0,,98900,0.7220000000000001
2010-10-11,NECLIFE,EQ,31.5,31.6,32.0,31.3,31.3,31.4,31.59,80460,254188795000.00003,,62067,0.7714
2010-10-12,NECLIFE,EQ,31.4,31.4,31.85,30.75,30.85,30.95,31.13,93354,290632670000.0,,66809,0.7156999999999999
2010-10-13,NECLIFE,EQ,30.95,31.1,31.95,30.8,31.75,31.7,31.28,159281,498221505000.0,,94817,0.5953
2010-10-14,NECLIFE,EQ,31.7,31.55,32.5,31.5,32.0,31.95,31.98,308692,987342800000.0,,209586,0.6789000000000001
2010-10-15,NECLIFE,EQ,31.95,31.8,32.65,31.7,31.7,31.7,32.05,104378,334503635000.0,,60703,0.5816
2010-10-18,NECLIFE,EQ,31.7,31.55,31.9,31.1,31.45,31.4,31.43,74605,234466340000.0,,49840,0.6681
2010-10-19,NECLIFE,EQ,31.4,31.2,31.55,31.05,31.35,31.25,31.27,84999,265754175000.0,,53307,0.6271
2010-10-20,NECLIFE,EQ,31.25,31.05,31.45,31.0,31.05,31.05,31.2,55002,171621335000.0,,35361,0.6429
2010-10-21,NECLIFE,EQ,31.05,31.1,31.45,30.75,30.9,31.05,31.15,91506,285009535000.0,,67037,0.7326
2010-10-22,NECLIFE,EQ,31.05,31.1,31.35,30.7,30.9,30.85,30.99,68811,213214640000.0,,52994,0.7701000000000001
2010-10-25,NECLIFE,EQ,30.85,31.05,31.3,30.5,30.6,30.65,30.83,101183,311899295000.0,,65366,0.6459999999999999
2010-10-26,NECLIFE,EQ,30.65,30.7,30.9,30.4,30.55,30.45,30.61,84604,258947490000.0,,63801,0.7541
2010-10-27,NECLIFE,EQ,30.45,30.55,30.8,30.05,30.15,30.1,30.28,89992,272524229999.99997,,60467,0.6718999999999999
2010-10-28,NECLIFE,EQ,30.1,30.35,30.8,30.15,30.7,30.5,30.46,85215,259581854999.99997,,57062,0.6696
2010-10-29,NECLIFE,EQ,30.5,30.3,30.6,29.9,30.0,30.1,30.12,114331,344322340000.0,,85447,0.7474
2010-11-01,NECLIFE,EQ,30.1,30.3,30.5,29.75,29.75,29.85,30.17,57179,172509235000.0,,43284,0.757
2010-11-02,NECLIFE,EQ,29.85,29.9,30.4,29.85,30.1,30.1,30.11,53973,162524865000.0,,36637,0.6788
2010-11-03,NECLIFE,EQ,30.1,30.5,31.4,30.2,31.4,31.2,31.01,132722,411618745000.0,,87881,0.6620999999999999
2010-11-04,NECLIFE,EQ,31.2,31.45,31.7,30.75,30.75,30.95,31.23,93107,290796500000.0,,51706,0.5553
2010-11-05,NECLIFE,EQ,30.95,31.3,33.95,30.65,33.2,32.55,32.38,140686,455509965000.00006,,97600,0.6937000000000001
2010-11-08,NECLIFE,EQ,32.55,32.9,33.4,32.2,33.1,33.05,32.88,231543,761303345000.0,,130184,0.5622
2010-11-09,NECLIFE,EQ,33.05,33.0,33.05,31.55,31.65,31.7,32.1,210606,675973190000.0,,133059,0.6318
2010-11-10,NECLIFE,EQ,31.7,31.5,32.4,31.15,31.5,31.4,31.8,193962,616765310000.0,,130684,0.6738
2010-11-11,NECLIFE,EQ,31.4,31.15,32.5,30.9,31.0,31.1,31.37,105466,330888950000.0,,73681,0.6986
2010-11-12,NECLIFE,EQ,31.1,30.3,31.3,30.1,30.35,30.25,30.56,76797,234675585000.0,,56802,0.7395999999999999
2010-11-15,NECLIFE,EQ,30.25,30.5,33.0,30.25,31.6,31.6,31.26,190360,595158150000.0,,146714,0.7706999999999999
2010-11-16,NECLIFE,EQ,31.6,31.25,32.4,31.2,31.6,31.45,31.63,330874,1046623810000.0,,255113,0.7709999999999999
2010-11-18,NECLIFE,EQ,31.45,31.4,31.75,30.1,30.75,30.7,30.8,63344,195084460000.0,,40709,0.6426999999999999
2010-11-19,NECLIFE,EQ,30.7,31.0,31.4,29.6,29.6,30.0,30.22,91979,277924310000.0,,77600,0.8437000000000001
2010-11-22,NECLIFE,EQ,30.0,30.05,30.4,30.0,30.0,30.1,30.16,47116,142123970000.0,,38380,0.8146
2010-11-23,NECLIFE,EQ,30.1,30.2,30.25,28.85,29.45,29.3,29.45,114260,336527195000.0,,89608,0.7842
2010-11-24,NECLIFE,EQ,29.3,29.55,29.85,28.55,29.3,29.1,29.49,38373,113148605000.0,,26111,0.6805
2010-11-25,NECLIFE,EQ,29.1,29.3,29.8,29.05,29.5,29.45,29.44,61634,181462225000.0,,50647,0.8217
2010-11-26,NECLIFE,EQ,29.45,29.7,29.9,24.6,27.2,27.2,26.57,237876,632060480000.0,,146364,0.6153000000000001
2010-11-29,NECLIFE,EQ,27.2,28.0,28.75,26.2,26.6,26.4,26.71,78050,208433935000.0,,45975,0.589
2010-11-30,NECLIFE,EQ,26.4,26.5,26.95,26.1,26.9,26.75,26.53,46675,123844020000.0,,34398,0.737
2010-12-01,NECLIFE,EQ,26.75,26.75,29.15,26.1,28.4,28.3,27.86,145432,405111920000.0,,69560,0.4783
2010-12-02,NECLIFE,EQ,28.3,29.8,29.8,28.05,28.75,28.6,28.82,121520,350228515000.0,,64997,0.5349
2010-12-03,NECLIFE,EQ,28.6,29.0,29.0,27.0,27.4,27.25,27.87,55625,155035395000.0,,26516,0.4767
2010-12-06,NECLIFE,EQ,27.25,27.5,28.25,27.05,27.05,27.1,27.49,49184,135211160000.00002,,32710,0.6651
2010-12-07,NECLIFE,EQ,27.1,27.05,27.45,26.6,26.85,26.7,26.93,31982,86129930000.0,,22600,0.7066
2010-12-08,NECLIFE,EQ,26.7,26.85,26.85,24.25,25.5,25.4,25.39,155686,395237700000.0,,105454,0.6774
2010-12-09,NECLIFE,EQ,25.4,25.0,26.1,24.0,24.25,24.3,24.75,81273,201143540000.0,,54754,0.6737000000000001
2010-12-10,NECLIFE,EQ,24.3,25.95,25.95,23.5,24.65,24.65,24.63,53072,130715960000.00002,,32551,0.6133
2010-12-13,NECLIFE,EQ,24.65,24.95,25.9,24.2,25.55,25.55,25.09,104960,263312940000.0,,46239,0.4405
2010-12-14,NECLIFE,EQ,25.55,20.5,26.0,20.5,25.6,25.4,24.98,103620,258833865000.0,,59427,0.5735
2010-12-15,NECLIFE,EQ,25.4,25.55,26.25,25.15,26.0,25.75,25.72,79997,205761390000.0,,38538,0.4817
2010-12-16,NECLIFE,EQ,25.75,25.75,25.95,25.0,25.4,25.35,25.28,50078,126612864999.99998,,37001,0.7389
2010-12-20,NECLIFE,EQ,25.35,25.95,25.95,25.05,25.3,25.35,25.33,22059,55869825000.0,,15857,0.7188
2010-12-21,NECLIFE,EQ,25.35,25.65,26.15,25.15,25.6,25.95,25.73,77564,199580010000.0,,42153,0.5435
2010-12-22,NECLIFE,EQ,25.95,26.0,27.9,25.65,27.5,27.35,27.05,163264,441654909999.99994,,79214,0.4852
2010-12-23,NECLIFE,EQ,27.35,27.4,28.45,27.2,27.7,27.6,27.73,113184,313901385000.0,,52764,0.4662
2010-12-24,NECLIFE,EQ,27.6,28.2,28.2,26.2,27.1,27.25,27.34,39402,107705495000.0,,25890,0.6570999999999999
