Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2018-01-29,NEWGEN,EQ,245.0,254.1,266.7,246.25,252.7,252.4,257.14,14008351,360216365610000.0,271016,5011328,0.3577
2018-01-30,NEWGEN,EQ,252.4,250.7,261.0,234.4,253.55,252.95,247.93,2036442,50489177515000.0,96139,678692,0.3333
2018-01-31,NEWGEN,EQ,252.95,252.0,258.0,244.55,249.5,249.55,250.92,658605,16526044390000.0,34722,289853,0.4401
2018-02-01,NEWGEN,EQ,249.55,245.0,261.0,242.5,253.8,252.95,253.46,784681,19888395325000.0,46403,324183,0.4131
2018-02-02,NEWGEN,EQ,252.95,246.15,251.8,231.65,234.4,233.9,238.54,483743,11539274305000.0,31761,281899,0.5827
2018-02-05,NEWGEN,EQ,233.9,225.1,237.4,223.0,232.0,232.6,232.52,218693,5085144270000.0,14027,107791,0.4929
2018-02-06,NEWGEN,EQ,232.6,224.0,227.95,215.0,224.5,226.6,221.19,303655,6716578945000.0,23845,162559,0.5353
2018-02-07,NEWGEN,EQ,226.6,230.0,236.2,228.35,232.0,233.3,232.38,207757,4827888295000.0,5303,60917,0.2932
2018-02-08,NEWGEN,EQ,233.3,233.3,238.95,233.3,238.0,237.9,237.13,159340,3778373295000.0005,2788,80426,0.5047
2018-02-09,NEWGEN,EQ,237.9,235.0,243.0,231.1,235.4,236.3,236.0,132285,3121951695000.0,4184,61369,0.46390000000000003
2018-02-12,NEWGEN,EQ,236.3,237.9,252.0,237.55,245.75,248.6,247.4,319651,7908084465000.001,6733,129100,0.40390000000000004
2018-02-14,NEWGEN,EQ,248.6,248.9,251.8,245.55,246.05,249.3,248.64,152694,3796634404999.9995,4030,74109,0.4853
2018-02-15,NEWGEN,EQ,249.3,250.0,251.5,238.0,239.0,239.15,244.97,92349,2262266250000.0,2414,28657,0.3103
2018-02-16,NEWGEN,EQ,239.15,240.25,244.0,231.6,231.6,234.05,236.65,91927,2175472435000.0002,2458,22034,0.2397
2018-02-19,NEWGEN,EQ,234.05,230.15,236.8,228.2,230.2,229.8,231.97,62408,1447655390000.0,3643,26773,0.429
2018-02-20,NEWGEN,EQ,229.8,230.4,233.45,228.0,231.0,230.0,230.74,59487,1372588195000.0,4000,16548,0.2782
2018-02-21,NEWGEN,EQ,230.0,231.0,233.05,227.25,231.0,230.2,230.56,73689,1698945805000.0,4084,23325,0.3165
2018-02-22,NEWGEN,EQ,230.2,228.9,237.65,228.9,237.45,236.55,233.7,93627,2188101489999.9998,2687,27060,0.289
2018-02-23,NEWGEN,EQ,236.55,236.95,238.2,232.5,233.0,234.0,236.17,48360,1142107410000.0,1286,8893,0.1839
2018-02-26,NEWGEN,EQ,234.0,234.45,244.25,231.1,239.0,239.05,237.87,113804,2707096405000.0,3052,46394,0.40770000000000006
2018-02-27,NEWGEN,EQ,239.05,245.9,248.0,241.0,244.4,244.5,244.09,196307,4791631940000.0,4479,109248,0.5565
2018-02-28,NEWGEN,EQ,244.5,244.8,246.0,240.0,243.35,243.5,243.01,114283,2777174460000.0,2827,58866,0.5151
